favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
69,Twitter Web Client,"Polls in New York are open until 9PM. If you are on line when your poll closes, you can still vote. Make your voice… https://t.co/ITqVg7BTUi",,False,Tue Nov 06 21:17:12 +0000 2018,35,1059917641790439424
57,Twitter Web Client,Polls are open until 9 PM. Vote vote vote vote! https://t.co/utkDURYZAU,,False,Thu Sep 13 20:06:06 +0000 2018,31,1040330803845259265
69,Twitter Web Client,Freedom of the press is a bedrock of our Democracy. We honor those lost in senseless gun violence and thank all jou… https://t.co/KBB1vgibbD,,False,Fri Jun 29 17:33:54 +0000 2018,31,1012751020919795713
26,Twitter for iPhone,Trump is waging a war on immigrant families putting as many as one million New Yorkers at risk. We will always prot… https://t.co/5sUV0j8WKX,,False,Mon Aug 13 15:29:42 +0000 2018,10,1029027222571704320
34,Twitter Web Client,An overwhelming majority of New Yorkers support Roe v. Wade. We need one more vote to codify Roe into law. Call you… https://t.co/QGQPR87NSy,,False,Thu Jul 19 19:16:10 +0000 2018,19,1020024514879639552
23,Twitter for iPhone,I wear my F rating from the NRA as a badge of honor. New York will never be intimidated by the gun lobby and will a… https://t.co/Ef5D4x7uv9,,False,Tue Jun 05 00:05:54 +0000 2018,11,1003789975303974914
217,Twitter Web Client,"New York is a model of progressive policy in action. Together, we’re building a more prosperous and fair state for… https://t.co/XonTbnO0SR",,False,Thu Jun 07 23:52:29 +0000 2018,54,1004873763949703168
397,Twitter Web Client,It’s all on the line for women. We won’t go back. We can’t leave this to Trump’s Supreme Court. Tell your NY Senato… https://t.co/7KsJeNLD4v,,False,Mon Jul 09 12:05:55 +0000 2018,157,1016292360530157570
24,Twitter Web Client,Proud to join with Long Island’s Democratic candidates for State Senate today to launch our plan to turn Long Islan… https://t.co/zRuqWz3XfU,,False,Mon Oct 01 23:33:36 +0000 2018,7,1046906003361542144
35,Twitter Web Client,"With 17 days until election day, #TeamCuomo is out reminding New Yorkers to make a plan to vote on Thursday, Septem… https://t.co/NJsjIKaNBR",,False,Mon Aug 27 20:53:14 +0000 2018,15,1034182070350819330
122,Twitter Web Client,New York is leading the way forward. Know this President Trump: We are better as a state and as a country than you… https://t.co/yqjAZyOLaF,,False,Wed Sep 26 17:34:56 +0000 2018,49,1045003804809326597
219,Twitter Web Client,Mr. President: Do you think the American people are stupid? https://t.co/ZK9IgzTZMN,,False,Tue Jul 17 20:51:22 +0000 2018,78,1019323699655270402
65,Twitter Web Client,Polls are open across New York. We're going to change the course of this state and this nation and we're going to d… https://t.co/NPF19dwR8H,,False,Thu Sep 13 16:54:20 +0000 2018,34,1040282544544120832
103,Twitter Web Client,Did you think it was impossible to stop the @NRA? Think again. https://t.co/RcpWoe3bSL,,False,Tue Aug 07 16:39:17 +0000 2018,40,1026870403501883392
21,Twitter Web Client,"Last night, the Empire State Building was lit orange to honor those lives lost to gun violence. Today, we must take… https://t.co/iusf2zh84E",,False,Sat Jun 02 14:07:59 +0000 2018,8,1002914729562640384
113,Twitter Web Client,Teachers are the backbone of our communities &amp; have the greatest responsibility: to educate our sons &amp; daughters. T… https://t.co/xvFjU0c4x4,,False,Wed Oct 17 15:37:02 +0000 2018,52,1052584277240700928
88,Twitter Web Client,"What President Trump did for Puerto Rico was criminal and NY is suing. When you push a New Yorker, we’re going to p… https://t.co/dniu8WCB81",,False,Tue Sep 04 21:13:00 +0000 2018,38,1037086148760358912
156,Twitter Web Client,Vote today for the experienced leaders who will keep New York moving forward #PrimaryDay https://t.co/fxcNey5wT8,,False,Thu Sep 13 12:46:27 +0000 2018,67,1040220161792507904
562,Twitter Web Client,Linda’s son is a Parkland hero who tragically died while saving a classroom of students. I’m honored and proud to h… https://t.co/qRd7We6GC4,,False,Sun Aug 12 23:01:19 +0000 2018,106,1028778485953847297
38,Twitter for iPhone,"Bridges can be built, Mr. President. https://t.co/Kb9Ms0Uvjt",,False,Fri Sep 07 15:21:14 +0000 2018,11,1038084786651389952
10,Twitter Web Client,"Sen. Phil Boyle:

Will you come back now and vote to codify Roe v. Wade into New York law? New Yorkers deserve to k… https://t.co/PnZ17qP3IN",andrewcuomo,False,Mon Jul 16 18:07:27 +0000 2018,8,1018920058951782402
10,Twitter Web Client,This is a flagrant attempt to control the press. This cannot stand. Free press is the backbone and engine of our de… https://t.co/xterLYOOtI,,False,Thu Jul 26 15:03:37 +0000 2018,6,1022497675755876354
57,Twitter Web Client,"Proud to be endorsed by the @nytimes 

Find your polling and make your voice heard: https://t.co/E4dMw4FBLp… https://t.co/z7X9ynLHCy",,False,Thu Sep 13 15:46:54 +0000 2018,16,1040265571663798273
39,Twitter Web Client,It was great to visit with our friends at Eastchester Gardens NYCHA Family Day. We have a lot of work to do and I w… https://t.co/qGJC3MfcTc,,False,Sun Jul 22 13:05:14 +0000 2018,14,1021018333544673280
339,Twitter for iPhone,Suffrage began in NY state leading the way to advancing women's rights. The NY Senate needs to continue to advance… https://t.co/Q7TysQoPjP,,False,Sun Jul 29 14:35:37 +0000 2018,115,1023577793077108738
132,Twitter for iPhone,Today at #NYCPride we come together to mobilize against the extreme conservatives in Washington and to say no to bi… https://t.co/IsHe2GO0gx,,False,Sun Jun 24 16:31:25 +0000 2018,24,1010923358253469697
51,Twitter Web Client,It's not too late to vote. Stand with us for gun safety https://t.co/zaAsWWUIOb,,False,Thu Sep 13 21:24:01 +0000 2018,23,1040350410027016192
39,Twitter for iPhone,"The release of Ms. Gonzalez Garcia's children is a victory for her family, and we will continue to fight to reunify… https://t.co/toQq36duYE",,False,Sun Jul 15 21:56:45 +0000 2018,17,1018615377511804929
91,Twitter Web Client,"As @HillaryClinton says, @KathyHochul has consistently stood up for New York's progressive values. Join me at the p… https://t.co/dhx3CtEOd8",,False,Wed Sep 12 15:30:56 +0000 2018,42,1039899165646577664
14,Twitter Web Client,"New York’s new Raise the Age law takes effect today. By raising the age of criminal responsibility, we are putting… https://t.co/kKp9ezzkWO",,False,Mon Oct 01 17:30:29 +0000 2018,8,1046814623876485120
28,Twitter Web Client,"In New York, we will continue to hold our colleges and universities to the highest possible standards to ensure the… https://t.co/kqhHqohsUF",,False,Thu Aug 30 15:32:44 +0000 2018,14,1035188578521890818
