favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
19,Twitter Web Client,Join Susan and I today for “Lunch at the People’s House. Today we will be having a delicious club sandwich which is… https://t.co/qoX8pWNV1D,,FALSE,Wed Jun 06 14:00:30 +0000 2018,2,1.00436E+18,neg
5,Twitter for iPhone,@johnbrummett I confess I did not read the entire thread.   Just went out on a limb in response.  Longer discussion is always needed.,johnbrummett,FALSE,Sat Jun 30 03:28:52 +0000 2018,0,1.0129E+18,neg
101,Twitter for iPhone,"Rooting for #TeamAR as they travel to Seattle, Washington for @SpecialOlympics USA games! @SOArkansas https://t.co/O4EPkImlxd",,FALSE,Sat Jun 30 15:13:22 +0000 2018,28,1.01308E+18,neg
40,Twitter Web Client,Today's launch of Rage Fabrications in Truman​n is a 3-generation tale. Austin Samual started with auto sales &amp; ser… https://t.co/Ik2p5BNJ03,,FALSE,Mon Jun 18 20:55:23 +0000 2018,10,1.00882E+18,neg
35,Twitter Web Client,Proud to be in Monticello today to help cut the ribbon on the new UAM Student Success Center &amp; University Police Bu… https://t.co/u83bp1sS1j,,FALSE,Tue Sep 11 22:57:47 +0000 2018,6,1.03965E+18,neg
43,Twitter Web Client,"Today, I'm pleased to announce Arkansas Coding Academy scholarships for adults. Arkansans are excited about our com… https://t.co/wiqsWPaOFK",,FALSE,Wed Dec 06 21:05:07 +0000 2017,23,9.38515E+17,neg
33,Twitter for iPhone,Delighted to help open AR’s first Crisis Stabilization Unit in Sebastian Co. The nation’s first integrated system o… https://t.co/XTLPEs98tx,,FALSE,Wed Feb 28 19:20:17 +0000 2018,13,9.68929E+17,neg
24,Twitter Web Client,"On Tuesday, May 1st at 5pm I will be hosting a Town Hall Meeting to discuss my transformation and state government… https://t.co/GCPyCT669o",,FALSE,Fri Apr 27 19:26:46 +0000 2018,10,9.89949E+17,neg
159,Twitter for iPhone,I am pleased to announce that over 70 firearms instructors across the state are now eligible to teach the new enhan… https://t.co/I8mvfWAN3N,,FALSE,Tue Jan 30 17:31:08 +0000 2018,39,9.58392E+17,neg
53,Twitter Web Client,"By offering training in high-demand fields, Tyson Foods Logan County Career Center is opening the door for our stud… https://t.co/KzS75UlUC4",,FALSE,Mon Jan 22 21:10:05 +0000 2018,15,9.55548E+17,neg
50,Twitter Web Client,"True motivation for tax reform is to do the best for the people of our state. Today, I’m proposing that we cut Arka… https://t.co/0YKq5fFf79",,FALSE,Mon Feb 12 22:58:22 +0000 2018,7,9.63186E+17,neg
8,Twitter Web Client,LIVE at 1:30: Governor Hutchinson announces a new rivalry series between @ucabears and @UALR. Watch it here: https://t.co/PMJAO4SSRV #arpx,,FALSE,Thu Aug 16 18:27:06 +0000 2018,4,1.03016E+18,neg
28,Twitter Web Client,(1/2) Arkansans in every county of the state can now conveniently access their vital records. There is now at least… https://t.co/V3X6m2LwBO,,FALSE,Mon Sep 17 18:27:05 +0000 2018,15,1.04176E+18,neg
