favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
28,Twitter for iPhone,"Our second stop of the day is in Madisonville in Monroe County, and again, it’s humbling to see so many come out to… https://t.co/VyLuiiWTDQ",,False,Sat Jul 14 16:36:24 +0000 2018,9,1018172368370503681
18,Twitter Web Client,Great story in @JCPress about my #FaithinTN tour through Upper East.  What a great day visiting with some amazing o… https://t.co/mr3SV28ULJ,,False,Fri Mar 02 15:22:54 +0000 2018,11,969593898669666305
21,Twitter Web Client,Great town hall this afternoon at the Marshall County Community Theatre in Lewisburg. Thanks to everyone for coming… https://t.co/buZqwiW9km,,False,Mon Jul 09 19:32:10 +0000 2018,4,1016404665787912197
37,Twitter for iPhone,We had a great fourth stop of the day in Rutherford County on the Roadmap to Victory. We’re headed to West Tennesse… https://t.co/1MbN5NICkn,,False,Mon Nov 05 20:59:44 +0000 2018,5,1059550859015667712
2,Twitter Web Client,ICYMI: Thanks to Roy Exum for the opportunity to visit with you while in Chattanooga. Via @Chattanoogancom - Bill L… https://t.co/TUizYtz78v,,False,Sun May 06 19:00:03 +0000 2018,4,993203760028626947
37,Twitter for iPhone,Super Saturday is coming up! Our volunteers will be knocking on doors and making phone calls all around the state!… https://t.co/9wDxOvIkZQ,,False,Mon Sep 24 17:51:13 +0000 2018,11,1044283125508046848
33,Twitter for iPhone,Great to be in Fayette County today with @DavidKustoff on the #kustoffbustour talking about why I #BelieveinTN. We’… https://t.co/jHPEaD8PFG,,False,Fri Oct 26 18:36:06 +0000 2018,11,1055890832878903298
8,Twitter for iPhone,Great visit today at @TCATDickson. A remarkable facility doing remarkable work. As Governor I will expand TCAT part… https://t.co/WlFuK0nDyx,,False,Wed May 23 21:54:50 +0000 2018,2,999408338176757760
59,TweetDeck,"Good to be in Halls this afternoon at Hurt Seed Company, talking about my vision for the state and why I believe Te… https://t.co/vdmyDFSBCp",,False,Wed Aug 22 22:30:02 +0000 2018,13,1032394490198208512
17,Twitter for iPhone,"It was an honor to join our veterans today in Franklin, for the Veterans Day Parade. Thank you for your service. https://t.co/G4RNuDoGnL",,False,Fri Nov 10 19:51:00 +0000 2017,3,929073929339265024
2,Twitter Web Client,"For more on my Business Principles for Governing, you can visit https://t.co/itC51WWS3v.",BillLeeTN,False,Thu May 24 14:41:49 +0000 2018,0,999661755130400768
16,Twitter Web Client,Out knocking doors in Chattanooga with volunteers for #SuperSaturday. Great day meeting voters. Stop by any of our… https://t.co/hCvVXhY0I3,,False,Sat Jun 09 16:02:36 +0000 2018,4,1005480287999086594
15,Twitter for iPhone,"These men and women risk their lives every day to keep our neighborhoods safe, and I am proud to have their support… https://t.co/YXrqVop8u6",BillLeeTN,False,Thu Oct 04 20:48:26 +0000 2018,2,1047951603452563457
