favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
34,Hootsuite,I built my first company from the ground up &amp; took decades of business experience with me into the SOS office. With… https://t.co/SSr1X838I2,,FALSE,Wed Apr 18 15:50:12 +0000 2018,23,9.86633E+17,neg
26,Hootsuite,#Stop 45: Talking shop and sharing my plan to make Georgia #1 for small business at Aerotech Machining in Bloomingd… https://t.co/DEHBvmqAmR,,FALSE,Thu Mar 01 18:23:38 +0000 2018,15,9.69277E+17,neg
19,Hootsuite,I'm the only candidate for governor with a proven track record of fighting - and winning - against the left. I took… https://t.co/6p1KfXQtut,,FALSE,Fri Feb 09 16:45:20 +0000 2018,14,9.62005E+17,neg
53,Hootsuite,".@williamsforga: ""Kemp has a plan to deport criminal aliens, dismantle street gangs, end Common Core, cap governmen… https://t.co/ef8m5ZxrCi",,FALSE,Tue Jul 24 12:55:10 +0000 2018,25,1.02174E+18,neg
548,Twitter Web Client,"WATCH as former ICE Director Thomas Homan calls for Stacey Abrams to ""withdraw"" from the race after openly advocati… https://t.co/JrZ5mla9qM",,FALSE,Sun Oct 14 21:09:31 +0000 2018,460,1.05158E+18,neg
105,Twitter Web Client,Signs are going up on Milledge Avenue in Athens. Just in time! #GoDawgs #gapol https://t.co/XB9zbVitSM,,FALSE,Wed Aug 22 03:23:55 +0000 2018,32,1.03211E+18,neg
4187,Hootsuite,The Black Panther Party is backing my opponent. RT if you think Abrams is TOO EXTREME for Georgia!… https://t.co/Q3SGVmZ0BK,,FALSE,Mon Nov 05 23:00:51 +0000 2018,4043,1.05958E+18,neg
55,Hootsuite,"As Hurricane Florence nears, be prepared and stay alert. https://t.co/2VPa5p90ES #gapol #gagop #tcot #gafirst",,FALSE,Wed Sep 12 16:50:00 +0000 2018,23,1.03992E+18,neg
89,Hootsuite,.@realDonaldTrump struck a chord with working Georgians that are fed up with government. They are ready for somebod… https://t.co/IBJzu8axmL,,FALSE,Sun May 20 00:59:44 +0000 2018,28,9.98005E+17,neg
89,Twitter Web Client,Senator Mullis and Rep. Hill are choppin' hard for us in NW Georgia! #gapol #gafirst #tcot #gagop https://t.co/LWgGe3qrTO,,FALSE,Fri Sep 07 19:20:40 +0000 2018,34,1.03815E+18,neg
