favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
50,Twitter Web Client,Happy #ChineseNewYear ! Wishing a happy and healthy #YearOfTheDog to all!,,False,Fri Feb 16 22:36:06 +0000 2018,12,964629486208679937
37,Twitter for iPhone,A great night in Springfield for Mercy Hospital’s addiction &amp; behavioral health services programs.  Thanks to all w… https://t.co/aRaSF39T7W,,False,Sun Apr 22 01:15:56 +0000 2018,8,987862533947166720
2108,Twitter for iPhone,"Just about 34 years ago today, I met Lauren Baker.  And exactly 31 years ago today I was lucky enough to marry her.… https://t.co/Vg0zmbAPYL",,False,Wed Sep 19 14:31:20 +0000 2018,59,1042420881920806912
1,Twitter for iPhone,@mysteriousrook Check out sand sculpting up in Revere too! https://t.co/6KiSi731AR,mysteriousrook,False,Sat Jul 21 20:52:44 +0000 2018,0,1020773593125441537
33,Twitter Web Client,"""For seven years in a row, Massachusetts has been ranked the most energy efficient state in the country."" #MASOTC https://t.co/z0Xm2uyOuJ",,False,Wed Jan 24 00:21:49 +0000 2018,10,955958783037108230
45,Twitter for iPhone,Honored to join with others to remember and thank our lost loved ones and their families. #MemorialDay18 https://t.co/EjMHeDX81G,,False,Mon May 28 21:06:31 +0000 2018,7,1001208118548881409
14,Twitter for iPhone,The BASE is great organization that does great work in Boston with young men and women.  Bravo! #successliveshere https://t.co/ceJXmUmCCV,,False,Sat Nov 18 20:08:32 +0000 2017,0,931977441882640384
215,Twitter for iPhone,My mom Betty with one of her grandchildren and my wife Lauren with her children &amp; me. These two - like moms everywh… https://t.co/A9LghDgxrY,,False,Sun May 13 13:40:13 +0000 2018,15,995659986687660032
28,Twitter for iPhone,A great project for our Veterans - proud to be part of it. #NeverForget https://t.co/rBc80FTl7j,,False,Tue Jun 19 00:16:56 +0000 2018,6,1008866184043859973
609,Twitter for iPhone,As I think about the attack at @capgaznews - I think of the reporters &amp; editors I’ve gotten to know over 30 years.… https://t.co/02qYrqrQGj,,False,Sat Jun 30 02:36:11 +0000 2018,108,1012887494491279361
137,Twitter for iPhone,Amazing “cakery” from the folks at Koffee Kup Bakery in Springfield - my second birthday with my mom.  Dad took the… https://t.co/zyOa5grjTD,,False,Mon Nov 13 14:59:56 +0000 2017,10,930087840830164993
3,Twitter for iPhone,@gatelywire More than enough.,gatelywire,False,Sat May 26 03:02:02 +0000 2018,0,1000210424321757194
72,Twitter Web Client,"""We are all here to help people. We may differ about how we get that done, but we all share that goal - we want to… https://t.co/cFw7Jc5DdD",,False,Wed Jan 24 00:32:19 +0000 2018,28,955961427927425024
35,Twitter for iPhone,👍👍 https://t.co/02FjfWKNsv,,False,Tue Apr 03 01:38:11 +0000 2018,1,980982766048305152
