favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
30,Twitter Web Client,Thank you Milford for cheering us on at your Labor Day Parade this weekend - always a great time! https://t.co/0HvByZpHxt,,False,Thu Sep 06 13:25:07 +0000 2018,9,1037693176788787200
14,Twitter for iPhone,"Perfect start to fall at the Bedford Olde Towne Day! Got to give some campaign advice to my new friend, Will, who’s… https://t.co/8L1BB4RwEJ",,False,Sat Sep 22 18:48:14 +0000 2018,7,1043572697769422848
11,Twitter Web Client,"A wonderful, celebratory night at Ray Wieczorek's 90th Birthday Gala hosted by the @ManchesterGOP - such a packed h… https://t.co/25dxM8j4lp",,False,Fri Jun 15 02:09:42 +0000 2018,2,1007445008973168640
6,Twitter for iPhone,@grantbosse @NHkevinsmith I love this idea!,grantbosse,False,Wed Aug 22 01:59:26 +0000 2018,0,1032084800826470405
49,Twitter Web Client,"No family should ever know the heartache and loss that Scarlett Lewis has known. As Governor, and as a father, I’ve… https://t.co/gEpQrCqZuz",,False,Thu Nov 01 15:42:25 +0000 2018,21,1058021448835575808
21,Twitter Web Client,"Yesterday #TeamSununu blanketed the state with 4x8s, knocked thousands of doors and made thousands of calls. Join t… https://t.co/ibhYssgYh3",,False,Sun Jul 29 16:59:16 +0000 2018,14,1023613942046834688
47,Twitter for iPhone,"Good morning, New Hampshire! It’s primary day, and Team Sununu was out in force in Newfields as Valerie and I voted… https://t.co/CFcNi1CxmC",,False,Tue Sep 11 11:43:10 +0000 2018,20,1039479461840871424
22,Twitter Web Client,"A wonderful evening in support of the @NashuaGOP at their annual STEAK OUT! Great crowd, great energy! https://t.co/nwALanuY9t",,False,Sat Aug 25 02:23:19 +0000 2018,8,1033177975825604608
12,Twitter Web Client,"First and foremost I'm a husband and a father, and a member of my community. I'll keep fighting for New Hampshire -… https://t.co/NjNrAzog0P",,False,Tue Oct 02 16:05:32 +0000 2018,5,1047155633475256322
26,Twitter for iPhone,"Greetings from Barrington! Thanks to @mattmayberrynh, @CoulpMarga, and so many others for supporting Team Sununu th… https://t.co/HaGsmX68XH",,False,Tue Sep 11 13:22:04 +0000 2018,14,1039504350614380544
50,Twitter for iPhone,"New Hampshire’s leading papers are lining up behind our campaign. We’ve accomplished great things these two years,… https://t.co/tVpsxWtbgZ",,False,Sun Nov 04 12:56:09 +0000 2018,35,1059066770395463680
12,Twitter Web Client,"My 10 Year State Energy Strategy puts ratepayers first. Smart investments will lower rates, secure New Hampshire’s… https://t.co/IPLuRr6jnC",,False,Thu Nov 01 23:11:57 +0000 2018,8,1058134579465338880
51,Twitter for iPhone,PACKED house in Manchester today for a GOTV canvass kick-off with @EddieEdwardsNH! Let’s win this! https://t.co/LLy7v7F975,,False,Sat Nov 03 15:22:57 +0000 2018,31,1058741325259042816
25,Twitter for iPhone,"I am committed to supporting our first responders, creating jobs, and fighting for job training programs that suppo… https://t.co/Dre7s3jDv8",,False,Tue Oct 16 15:13:28 +0000 2018,10,1052215959828791296
19,Twitter Web Client,Our new website is live! View our accomplishments and join the team at https://t.co/O3o7snLx7e. https://t.co/6gwWyhtH9H,,False,Mon Jul 09 13:17:32 +0000 2018,8,1016310385090220033
