favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
151,TweetDeck,Arizona is one of the most attractive states to start or grow a business — and those in #California taken notice. S… https://t.co/4GqXtzM5Io,,FALSE,Tue Jul 03 16:39:28 +0000 2018,43,1.01419E+18,neg
14,Twitter Web Client,"In @WESDschools, teachers will receive a total 15.5% raise! Along with raises for support staff professionals. Than… https://t.co/QnmF5leedl",dougducey,FALSE,Wed May 23 17:19:57 +0000 2018,9,9.99339E+17,neg
26,Twitter Web Client,"MORE:
✅ Respecting the #2A rights of law-abiding Americans, while enforcing our laws on the books
✅ Increased schoo… https://t.co/KiHQMvdTsu",dougducey,FALSE,Thu Mar 15 21:30:07 +0000 2018,13,9.74397E+17,neg
17,Twitter for iPhone,"Great work from @azagriculture to support farmers, ranchers, businesses and consumers across the state. https://t.co/q4UubuZjCy",,FALSE,Tue Jun 26 21:04:13 +0000 2018,8,1.01172E+18,neg
8,Twitter Web Client,There will be 10% teacher pay raises and additional raises for support staff in Union Elementary School District… https://t.co/JjSYdoaNDd,dougducey,FALSE,Tue May 29 19:55:13 +0000 2018,3,1.00155E+18,neg
34,Twitter Web Client,"To parents, I understand the pain and pressure caused by today’s strike. I want you to know, I am working to get th… https://t.co/lY1Po8gUY2",,FALSE,Thu Apr 26 18:11:30 +0000 2018,15,9.89568E+17,neg
21,Twitter for iPhone,Yes! Teachers have earned this raise! #20x2020 https://t.co/dRSrD1GCeK,,FALSE,Mon Apr 16 16:38:17 +0000 2018,5,9.8592E+17,neg
26,TweetDeck,Nearly 50 AZ school districts have already announced meaningful teacher raises for this fall. Many districts going… https://t.co/6u9drJcqGF,,FALSE,Mon Jun 18 20:03:39 +0000 2018,12,1.0088E+18,neg
33,TweetDeck,"Maricopa County - home to Phoenix, Mesa, Scottsdale, Tempe &amp; many more - is the FASTEST-GROWING county in the ENTIR… https://t.co/W9gMOme5an",,FALSE,Wed Jun 20 16:39:17 +0000 2018,12,1.00948E+18,neg
28,TweetDeck,"""So I’m proud to announce that our budget investment this year will be in adoption services, because we are finding… https://t.co/XEHMRU35m6",,FALSE,Mon Jan 08 21:58:56 +0000 2018,15,9.50487E+17,neg
20,Twitter Web Client,"Thanks to the hard work of the #ArizonaBorderStrikeForce, what began as a traffic stop in Cochise County led to the… https://t.co/aqSXmxkmbt",dougducey,FALSE,Wed Jul 11 18:34:01 +0000 2018,4,1.01711E+18,neg
5,Twitter Web Client,LIVE- calling into @TucsonNewsNow with @ACNewsman. Tune-in here: https://t.co/XS1Jh454Bv,,FALSE,Thu Apr 26 15:33:03 +0000 2018,4,9.89528E+17,neg
8,Twitter for iPhone,Going on air with @HeidiRenpenning on @UnivisionAZ at 5:15 PM. Tune-in here: https://t.co/xgzMmN65aD #JonKyl #KylforAZ,,FALSE,Fri Sep 07 00:02:59 +0000 2018,5,1.03785E+18,neg
19,TweetDeck,"While there’s more work to do, we are investing in education and working for safe, high-quality schools. Nearly $2.… https://t.co/bebhHTWXpB",,FALSE,Mon Jun 18 19:01:59 +0000 2018,11,1.00879E+18,neg
7,Twitter Web Client,"Teachers in @MaranaSchools will receive a 10% raise this fall, along with raises for support staff #20x2020 Read mo… https://t.co/EUdpwneios",dougducey,FALSE,Wed May 23 16:59:01 +0000 2018,7,9.99334E+17,neg
2939,Twitter for iPhone,Senator #JohnMcCain will lie in state here at the Arizona Capitol this Wednesday -- his birthday. This is a rare an… https://t.co/VuMxGxW8Qk,,FALSE,Sun Aug 26 17:06:21 +0000 2018,696,1.03376E+18,neg
