favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
1638,Twitter for iPhone,"LGBT Americans should be counted like they should be treated, equally. 

Without this count, the government cannot… https://t.co/PQR4De4Ihn",,FALSE,Thu Mar 29 23:46:33 +0000 2018,539,9.79505E+17,neg
1200,Twitter for iPhone,You know what else is a “gift from our creator?” LIFE. Yet you’re willing to ignore the 96 lives that are lost ever… https://t.co/qNOAXAmhVr,,FALSE,Fri May 04 20:56:30 +0000 2018,285,9.92508E+17,neg
3356,Twitter Web Client,"Anthony is just 15 years old. He barricaded a door in his classroom, preventing the Parkland gunman from coming in,… https://t.co/57Al0UuFLT",,FALSE,Fri Apr 06 17:18:25 +0000 2018,816,9.82307E+17,neg
11732,Twitter for iPhone,"Sandy Hook: 20 first graders and 6 adults killed.

Aurora: 12 movie goers killed.

San Bernardino: 14 people killed… https://t.co/fORCYCplqD",,FALSE,Thu Oct 04 22:04:16 +0000 2018,3139,1.04797E+18,neg
1721,Twitter for iPhone,"Teachers across the country cannot afford to buy basic school supplies for their classrooms.

But we’re discussing… https://t.co/Rh3ORQGFDD",,FALSE,Thu Aug 23 14:23:14 +0000 2018,704,1.03263E+18,neg
317,TweetDeck,"My whole life, we’ve faced down skeptics. Defeatist Democrats who suggest we need to “pick our battles.”",,FALSE,Sun Feb 25 01:00:11 +0000 2018,44,9.67565E+17,neg
9543,Twitter Web Client,"California is not ""begging"" you for this wall. Your wall is a waste of money and is literally impossible to complet… https://t.co/jF8VpF0zQg",,FALSE,Tue Mar 13 20:21:33 +0000 2018,2268,9.73655E+17,neg
4382,Twitter for iPhone,"Tweeted less than 3 hours apart. 

Speaking of “bigotry” and “small plates for small minds”... https://t.co/l94lnBbcBm",,FALSE,Sat Jun 23 19:00:33 +0000 2018,1188,1.0106E+18,neg
1566,Twitter for iPhone,The word tragedy doesn’t even begin to describe this. https://t.co/Lm8Lih95ii,,FALSE,Fri Aug 10 14:15:29 +0000 2018,621,1.02792E+18,neg
734,Twitter Web Client,"A little mid-week pick me up...

""How hard you work matters more than how much you make...helping others means more… https://t.co/IaWE3ShXGo",,FALSE,Wed Apr 18 16:24:46 +0000 2018,174,9.86642E+17,neg
336,Twitter for iPhone,💪💪💪 https://t.co/zN6BLw1bUy,,FALSE,Thu May 31 00:27:51 +0000 2018,48,1.00198E+18,neg
16616,Twitter for iPhone,"Trump has no plans to reunite the 2,300 children with their parents.

Trump has no plans to reunite the 2,300 child… https://t.co/op7DruD0dC",,FALSE,Thu Jun 21 02:45:01 +0000 2018,7563,1.00963E+18,neg
928,Twitter Web Client,California has a message for the @FCC: We will not tolerate putting corporations above people. Putting the control… https://t.co/mrSclPfO6T,,FALSE,Tue Jan 16 22:55:41 +0000 2018,251,9.534E+17,neg
4796,Twitter for iPhone,The Easter Bunny’s face sums it all up for me. https://t.co/f9dmbLhmXL,,FALSE,Mon Apr 02 15:45:39 +0000 2018,677,9.80834E+17,neg
3087,Twitter for iPhone,"This is Havana Edwards. She’s 7-years-old. She was the only one at her school to walk out of classes today.

When a… https://t.co/H5Xk54FQGy",,FALSE,Fri Apr 20 22:57:48 +0000 2018,631,9.87465E+17,neg
1346,Twitter Web Client,What we need is comprehensive immigration reform. What we need is to renew DACA and for you to stop playing politic… https://t.co/8zqM6Oghl2,,FALSE,Thu Apr 19 16:41:50 +0000 2018,337,9.87008E+17,neg
11720,Twitter for iPhone,"You’re a pathetic disgrace, @realDonaldTrump. https://t.co/kngCXBUhlS",,FALSE,Mon Aug 27 16:41:26 +0000 2018,2259,1.03412E+18,neg
2583,Twitter for iPhone,"The right to organize is the backbone of our economy. We wouldn’t have the minimum wage, paid sick leave, overtime,… https://t.co/EZr3IWdlIH",,FALSE,Mon Sep 03 17:40:14 +0000 2018,570,1.03667E+18,neg
805,Twitter for iPhone,"Oklahoma lawmakers have passed a bill that allows adoption agencies to ban LGBT couples. 

Not allowing a child to… https://t.co/HnNIpsj3s7",,FALSE,Wed May 02 14:37:23 +0000 2018,281,9.91688E+17,neg
9893,Twitter Web Client,"Our...
Homes
Offices
Streets
Music festivals
Nightclubs
Movie theaters
Classrooms
Post offices
Churches

Synagogues… https://t.co/J5bpDhh3Qz",,FALSE,Sat Oct 27 18:19:18 +0000 2018,2591,1.05625E+18,neg
3015,Twitter for iPhone,"If we cannot care for our children, we have failed. https://t.co/1P9KJKK87j",,FALSE,Fri Jun 08 16:39:47 +0000 2018,968,1.00513E+18,neg
3597,Twitter for iPhone,First trans state legislator in America.  This is a huge deal!  #RejectHate https://t.co/yoWjPQGW0c,,FALSE,Wed Nov 08 01:13:28 +0000 2017,869,9.28068E+17,neg
2263,Twitter for iPhone,"CA ballots start going out this week!!

We cannot afford to sit this election out. If you’re not registered, there’… https://t.co/ATGtQkzpUk",,FALSE,Mon Oct 08 20:56:01 +0000 2018,947,1.0494E+18,neg
40128,Twitter for iPhone,"Tomorrow, America will wake up to see @GOP passed a huge tax overhaul in the dead of the night. There were no publi… https://t.co/uUieOEykUg",,FALSE,Sat Dec 02 07:20:33 +0000 2017,18285,9.36858E+17,neg
502,Twitter for iPhone,FaceTiming the kids on the bus -- can’t wait to see them tonight!! https://t.co/wt4ex4FYjK,,FALSE,Tue Jun 05 00:49:50 +0000 2018,46,1.0038E+18,neg
823,Twitter Web Client,Could not be more proud of our state for leading the way on this issue. https://t.co/3Ff0uB468g,,FALSE,Sat Apr 21 17:06:37 +0000 2018,170,9.87739E+17,neg
1317,Twitter Web Client,My mom passed away over a decade ago. She was a single mom who worked 3 jobs and waitressed at night to support her… https://t.co/zBGPnrA1R9,,FALSE,Thu Mar 01 20:41:05 +0000 2018,185,9.69312E+17,neg
1966,Twitter for iPhone,Spoiler alert: NO https://t.co/VyOHgavZ7v,,FALSE,Fri Jan 12 02:07:57 +0000 2018,288,9.51637E+17,neg
8674,Twitter for iPhone,"We should never become numb to this: Trump actually said that all Haitians have AIDS, and Nigerians would never “go… https://t.co/pXLEFCnH9Q",,FALSE,Sat Dec 23 19:22:23 +0000 2017,4170,9.44649E+17,neg
250,Twitter for iPhone,"Together, young and old, we can be the generations that end gun violence and make a safer America for everyone. -… https://t.co/FwP5qaNnVt",,FALSE,Wed Mar 14 18:28:30 +0000 2018,50,9.73989E+17,neg
471,Twitter for iPhone,Casual......... https://t.co/w0pfvzlFhf,,FALSE,Thu Mar 29 00:24:30 +0000 2018,129,9.79152E+17,neg
12246,Twitter for iPhone,"We’re sick and tired of the chaos.

Of the cruelty.

Of the cages.

Of the concrete.

We’re sick and tired of the p… https://t.co/DJ0LZCs2Uc",,FALSE,Sun Jul 01 01:22:36 +0000 2018,3114,1.01323E+18,neg
73728,Twitter for iPhone,"Jeff Sessions just called me an embarrassment.  A man whose legacy is targeting immigrants, re-waging the failed Wa… https://t.co/AiAKLKODp7",,FALSE,Wed Mar 07 17:01:52 +0000 2018,16056,9.71431E+17,neg
654,Twitter for iPhone,"Heartbreaking.

America has become numb to waking up to these headlines. https://t.co/cJMghXVFDX",,FALSE,Mon Sep 03 17:19:55 +0000 2018,189,1.03667E+18,neg
