favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
10,Twitter for iPhone,Capital for a Day in Sugar City. Thank you Sugar-Salem High School for being gracious hosts. #idpol #idleg #idgop https://t.co/nKmkPmyXUE,,FALSE,Sat Aug 25 01:32:17 +0000 2018,2,1.03317E+18,neg
27,Twitter for iPhone,"Today, we take a moment to remember all the fallen Americans who lost their lives on September 11, 2001 and those w… https://t.co/3wE5kCYEDx",,FALSE,Tue Sep 11 18:01:56 +0000 2018,6,1.03957E+18,neg
53,Twitter for iPhone,Today it was my great privilege to present the Idaho Federation of Republican Women State honoree award to my frien… https://t.co/0iBdmuJ1Ny,,FALSE,Sat Jun 30 14:49:55 +0000 2018,7,1.01307E+18,neg
42,Twitter for iPhone,Idaho ended fy 18 w/a $100.7M surplus due to our state’s strong economy. Our stability allows us to invest in prior… https://t.co/g8r9CejHR1,,FALSE,Fri Jul 13 20:50:10 +0000 2018,8,1.01787E+18,neg
17,Twitter for iPhone,GOP Bus Tour 2018 is off and running! We will see you all around the state! #idaho #gop #bustour… https://t.co/L596tsA1cv,,FALSE,Wed Oct 17 14:24:23 +0000 2018,6,1.05257E+18,neg
5,Twitter for iPhone,By ending Obamacare for many Idahoans we are restoring choice and affordability back into the healthcare marketplac… https://t.co/nLVVGxRB3s,,FALSE,Wed Jan 31 21:54:09 +0000 2018,1,9.58821E+17,neg
17,Twitter for iPhone,Go Yotes! Our stop in Caldwell lets us cheer on the College of Idaho! #GOPBusTour https://t.co/4YIM3zv2qm,,FALSE,Sat Oct 27 19:03:22 +0000 2018,2,1.05626E+18,neg
12,Twitter for iPhone,Quick pit stop from the GOP Bus Tour for a quick conversation with 1310 KLIX’s Bill Colley.#GOPBusTour #idaho… https://t.co/gG4aG0kDBn,,FALSE,Fri Oct 26 13:26:33 +0000 2018,3,1.05581E+18,neg
48,Twitter for iPhone,Go vote! #idgop #idleg #idpol https://t.co/hrxGTyHZbc,,FALSE,Tue Nov 06 15:35:39 +0000 2018,15,1.05983E+18,neg
5,Twitter for iPhone,"#Idaho Grown Company, Black Sage #Technology, has created drones that are used for counter terrorism. Yesterday the… https://t.co/DpE1zbdGO0",,FALSE,Thu Feb 22 13:21:28 +0000 2018,1,9.66664E+17,neg
1,Twitter Web Client,"Earlier this month the Governor and I signed an executive order that ended obamacare for many Idahoans. Since then,… https://t.co/CyfmFbAw6B",,FALSE,Wed Jan 17 15:29:57 +0000 2018,1,9.53651E+17,neg
9,Twitter Web Client,Idaho Medical Association endorses Little in governor's race https://t.co/9zNFDOHNkN,,FALSE,Fri Apr 27 18:27:12 +0000 2018,0,9.89934E+17,neg
2,Twitter for Android,Crapo to chair Finance? https://t.co/nL1BkBpBQ1,,FALSE,Wed Jan 03 03:59:33 +0000 2018,0,9.48403E+17,neg
9,Twitter for iPhone,Thank you to those who attended our Idaho County stops in Riggins and Grangeville. https://t.co/Be3DK80rvc,,FALSE,Thu Oct 18 20:29:51 +0000 2018,2,1.05302E+18,neg
6,Twitter for iPhone,Great evening with the @IdahoAGC last night - Over $20K raised for college scholarships! #idgop #idpol #idahogrown https://t.co/Q0eAsuKMBl,,FALSE,Fri Dec 08 14:56:07 +0000 2017,0,9.39147E+17,neg
6,Twitter for iPhone,Today I spoke at the Idaho Airport Managers Association annual conference.  Idaho enjoys the most backcountry airpo… https://t.co/9eQl94Pws0,,FALSE,Tue Apr 17 01:14:41 +0000 2018,2,9.8605E+17,neg
10,Twitter for iPhone,2017 Harvest Meeting in Eastern Idaho! @IdahoPotato #idahogrown #idgop #idpol https://t.co/MyYHmARG2E,,FALSE,Wed Nov 15 13:23:54 +0000 2017,0,9.30788E+17,neg
2,Twitter Web Client,"Thanks Ray - affordability with more choices, that's the Idaho solution! #idpol #idleg #idgop https://t.co/F7HE2D2ZK4",,FALSE,Sun Jan 21 23:39:42 +0000 2018,0,9.55223E+17,neg
4,Twitter for iPhone,Firefighters Support Lt. Governor Brad Little https://t.co/jnzX5SkE5V via @kpvi #idpol #idleg #idgop,,FALSE,Tue Apr 10 01:30:28 +0000 2018,0,9.83518E+17,neg
7,Twitter for iPhone,Good morning from the Idaho GOP Winter meeting - started the morning out visiting with my home region. #idgop #idpol https://t.co/HgYioHt8iT,,FALSE,Sat Jan 06 16:55:21 +0000 2018,0,9.49686E+17,neg
0,Twitter Web Client,Idaho poised to upend states' Obamacare plans https://t.co/zwRbr5peCk via @dcexaminer #idpol #idleg #idgop,,FALSE,Fri Jan 26 17:04:31 +0000 2018,2,9.56936E+17,neg
17,Twitter for iPhone,Last stop of #BL365 in #Gem County...our home! #bradlittleforgovernor #may15 #home #idaho #idahome https://t.co/pq0H35Iaiu,,FALSE,Tue May 15 02:01:27 +0000 2018,4,9.96209E+17,neg
4,Twitter for iPhone,Stop #62 is Shoshone! #GOPBusTour https://t.co/1tx7N0EQW9,,FALSE,Fri Oct 26 19:04:57 +0000 2018,2,1.0559E+18,neg
14,Twitter for iPhone,"Phone bank and pizza party at our campaign HQ tonight - tomorrow is Election Day, make sure you get out and vote!… https://t.co/4YDGprpQrj",,FALSE,Tue Nov 06 01:41:20 +0000 2018,6,1.05962E+18,neg
4,Twitter Web Client,Governor candidate sees schools as a tool to halt exodus of Idaho talent https://t.co/qmMwdjdzY0,,FALSE,Wed Feb 21 15:07:33 +0000 2018,1,9.66329E+17,neg
14,Twitter for iPhone,"In the past 5 years, Newby-ginnings has assisted more than 2,500 veterans in north Idaho with everyday needs to hel… https://t.co/Tt41sAD9fD",,FALSE,Fri Oct 19 19:25:32 +0000 2018,5,1.05337E+18,neg
13,Twitter for iPhone,@MeganBlanksma Live shot of Jeff preparing for next weekend’s “can you bring home a few potatoes” phone call. https://t.co/thD6a2kwIh,MeganBlanksma,FALSE,Mon Sep 17 14:35:38 +0000 2018,4,1.0417E+18,neg
5,Twitter for iPhone,"We started day 7 of the #GOPBusTour  in Rigby! Stops today include Victor, Driggs, Sugar City, Menan and Idaho Fall… https://t.co/cLccrLTfl2",,FALSE,Wed Oct 24 17:03:35 +0000 2018,1,1.05514E+18,neg
