favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
8,Twitter Web Client,"We had a great morning meeting in Ellis County where Oklahomans asked about jobs, taxes, &amp; energy. Ellis County see… https://t.co/LCgdIcpvkg",,False,Thu Jan 04 17:27:21 +0000 2018,2,948969110536368129
8,TweetDeck,"Despite the icy weather, we made it to Enid to share about our movement to make Oklahoma a Top Ten state! Enid is c… https://t.co/pFjHqe6WwO",,False,Fri Feb 23 21:06:39 +0000 2018,2,967143691755409411
15,TweetDeck,I decided to get in this race for governor because I am convinced the politicians who got Oklahoma into this mess cannot get us out.,,False,Tue Apr 03 19:47:51 +0000 2018,4,981256987546718215
6,Twitter Web Client,Did you know a national advocacy group touts its 100% success rate in overturning OK’s #prolife laws? Unacceptable.… https://t.co/UHOsYz932X,,False,Sat May 19 14:30:56 +0000 2018,3,997847076225548289
9,Twitter for iPhone,Thank you to all who came to Grove for the meet and greet last night! What an awesome turnout! Oklahomans are ready… https://t.co/SOQeRcEaS0,,False,Sat Mar 17 15:02:28 +0000 2018,2,975024574176915456
66,Twitter for iPhone,Ending the day at a town hall meeting with the Ada and Stradford communities. This area is prime for growth and opp… https://t.co/nawLKereEy,,False,Sat Oct 06 22:28:53 +0000 2018,20,1048701656517562368
5,TweetDeck,"I had a great time in Woodward recently where we held a town hall meeting, met with community leaders, and visited… https://t.co/AlfAxd9vGl",,False,Sat Jan 20 22:34:00 +0000 2018,1,954844486626172929
706,Tweetbot for Mac,"It is an honor to earn the support of U.S. Senator, and conservative champion, @TedCruz. I have long admired Cruz’s… https://t.co/x9OFwCWhji",,False,Wed Aug 22 19:34:02 +0000 2018,293,1032350200281686016
1,Sprout Social,"In this piece by ESPN, the reporter highlights how Baker Mayfield’s life events made it seem unlikely he would ever… https://t.co/JfuMsQNlr8",,False,Mon Dec 11 21:45:11 +0000 2017,0,940336685379878912
25,Twitter for iPhone,Team Stitt hanging out in Moore today for the 4th of July! 🇺🇸 https://t.co/dg3YDA0EtM,,False,Wed Jul 04 21:51:02 +0000 2018,6,1014627673707089927
42,joe.sentry,"Polls close in just TWO MORE HOURS. If you haven’t already cast a ballot, find your polling location at the link be… https://t.co/FYa59zW2a5",,False,Tue Aug 28 22:00:07 +0000 2018,9,1034561291627716608
95,joe.sentry,"Bottom Line: My opponent is a liberal, Hillary supporter who has made his living as a career politician. I'm a busi… https://t.co/PjXkWswjCR",,False,Sat Oct 20 15:30:09 +0000 2018,49,1053669709680394240
7,Tweetbot for Mac,"I love seeing friends, neighbors, and fellow Oklahomans showing off their support for our campaign. If you want to… https://t.co/DWW3JTgThU",,False,Fri Mar 09 18:05:21 +0000 2018,2,972171496301977606
29,joe.sentry,"Thanks for joining the team, Rep. Downing. Let's get Oklahoma's turnaround started right here, right now! https://t.co/nyLOt9puxf",,False,Fri Aug 24 00:05:06 +0000 2018,8,1032780806211690496
47,Twitter for iPhone,Enjoying the Farm Girl Fair in Norman supporting @YoungLife in Oklahoma. https://t.co/INO5zbinor,,False,Sun Oct 21 20:30:31 +0000 2018,18,1054107688538378240
30,Tweetbot for Mac,"Bureaucrats are often afraid of making tough decisions, because they might be criticized. I’m not that way. I’m rea… https://t.co/diSwV8PNLm",,False,Wed Aug 15 13:54:06 +0000 2018,13,1029727939846451200
36,joe.sentry,"Thanks for joining the team, Sen. Smalley. Let's get Oklahoma's turnaround started right here, right now! https://t.co/PgJR0dT2cn",,False,Sun Aug 26 18:10:05 +0000 2018,11,1033778623583604738
43,joe.sentry,242 years old and still going strong! Join me in celebrating our nation this #IndependenceDay &amp; in praying for the… https://t.co/MfwnXsoMKz,,False,Wed Jul 04 13:05:05 +0000 2018,16,1014495310318657537
52,Twitter Web Client,"I believe OK can be a Top Ten state. Top Ten in growth. Top Ten in education. And, Top Ten in infrastructure. But,… https://t.co/iao8OtUlsc",,False,Wed Jun 27 15:08:54 +0000 2018,21,1011989755788251136
13,TweetDeck,"From the day I announced my campaign &amp; on the day I filed, I said we must pay our teachers competitive raise. I wan… https://t.co/gNyn6ygP4u",,False,Sun Apr 29 21:44:52 +0000 2018,8,990708521355358208
1,Twitter for iPhone,@SaraHow89484141 Stability comes by looking at how we can better leverage local property dollars while ensuring a R… https://t.co/xW5ZRXSJZr,GovStitt,False,Sun Sep 30 02:24:15 +0000 2018,0,1046224172198723584
11,Twitter Web Client,"Across America, wages are increasing and unemployment rates are falling. As your governor, I will be committed to r… https://t.co/ySH2sYUwHr",,False,Tue Jan 02 22:39:32 +0000 2018,2,948322899034890245
12,Twitter Web Client,"""Kevin Stitt is a unique overachiever, and he has a history of taking on big tasks. Kevin will not just be a good g… https://t.co/QhBmmiTRW2",,False,Fri May 11 15:04:13 +0000 2018,2,994956349795721216
12,Twitter for iPhone,"After a great day of talking to voters in Owasso, Broken Arrow and Tulsa, I ended the evening with the family catch… https://t.co/MskjyyU8eZ",,False,Wed May 16 02:42:00 +0000 2018,4,996581502845640704
39,joe.sentry,"We’re less than 24 hours away from polls opening. I need your vote tomorrow, and your support in encouraging friend… https://t.co/5VdcfpE7yN",,False,Mon Aug 27 18:00:05 +0000 2018,15,1034138494258569217
2,Twitter for iPhone,"@Kirk405 Thank you for watching! Working every day to keep your vote and to earn the vote of your friends, neighbors, and family",Kirk405,False,Wed Aug 08 03:20:29 +0000 2018,0,1027031766039715841
11,Twitter Web Client,"In a Stitt admin, you are finally going to have an #okgov that is focused on moving all 4M Oklahomans forward. Plea… https://t.co/05K5CadcB3",,False,Mon Jun 04 17:37:02 +0000 2018,5,1003692113886924800
7,TweetDeck,Thank you to all who attended our town hall meeting in Stilwell today! #OKListeningTour #Stitt4Gov https://t.co/sAR03ch0Rf,,False,Mon Feb 05 23:27:47 +0000 2018,2,960656228019068930
2,Twitter for iPhone,LIVE right now on KOKC with @ChadAlexander2. Tune in #OKC!,,False,Fri Jan 12 22:06:42 +0000 2018,0,951938514903552000
71,Twitter for iPhone,We’re going to build a red wall right here when you elect Kevin Stitt as your next governor of this great state! -@mike_pence,,False,Thu Oct 18 22:49:17 +0000 2018,19,1053055445315829760
20,Twitter Web Client,"""The state of Oklahoma needs a leader like Kevin. We need a strong conservative who is not afraid to make the tough… https://t.co/MdiKwm4Tjc",GovStitt,False,Tue Jul 24 21:22:53 +0000 2018,12,1021868342913761280
18,joe.sentry,"Thanks for joining the team, Rep. O'Donnell. Let's get Oklahoma's turnaround started right here, right now! https://t.co/nexz6PdORy",,False,Sat Aug 25 14:45:06 +0000 2018,2,1033364651776598017
126,Twitter Web Client,"As we’ve travelled the state for #okgov, my wife Sarah has been a leader in sharing our message and speaking about… https://t.co/mC1t70vOqL",,False,Mon Oct 29 18:42:07 +0000 2018,48,1056979508362952710
11,TweetDeck,"We had a full day on the campaign trail from Okmulgee, Holdenville, Seminole, to Ada. Now on my way to OKC for the… https://t.co/s8PZVARgf6",,False,Mon Apr 23 21:50:03 +0000 2018,4,988535496543490048
175,TweetDeck,Vice President Mike Pence is coming to Oklahoma! Please join us for a rally on Thursday in Tulsa by registering for… https://t.co/5bkoDLL3po,,False,Sat Oct 13 11:44:00 +0000 2018,74,1051076080277303296
30,Twitter Web Client,"""I'm voting Kevin Stitt for governor because as an OSU student I have seen him invest in the university, specifical… https://t.co/2GElTuiGna",,False,Thu Apr 26 14:28:22 +0000 2018,6,989511506554441730
5,Twitter for iPhone,🙌🏼 https://t.co/V7GKvgQZOC,,False,Sun Apr 22 02:06:43 +0000 2018,0,987875315056824320
31,joe.sentry,"EARLY VOTING ENDS TODAY AT 2PM! If you want to avoid the Election Day lines, early voting is open from 9am-2pm toda… https://t.co/5RkhglCNEH",,False,Sat Nov 03 12:30:05 +0000 2018,20,1058697824496435200
18,Twitter for iPhone,#TeamStitt is out block walking in 5 towns across Oklahoma today! Thankful for volunteers who are willing to get ou… https://t.co/inRwEtGtLI,,False,Sat May 19 16:16:28 +0000 2018,3,997873635128852480
46,Tweetbot for Mac,"It is official! Today, I filed as a GOP candidate for #okgov w/my best friend by my side, my wife Sarah. I am runni… https://t.co/cmAWCZHvgN",,False,Thu Apr 12 17:34:31 +0000 2018,15,984484925024894982
17,TweetDeck,"Oklahomans are calling for change! We can bring about change w/ conservative, pro-growth ideas &amp; without electing t… https://t.co/iXIusIepdU",,False,Sun Nov 19 21:23:03 +0000 2017,4,932358583848722434
7,TweetDeck,Thank you to all who came to our meet and greet in Oklahoma City this past week! We had a robust discussion about e… https://t.co/I1lLm6X0tp,,False,Sun Nov 26 20:06:09 +0000 2017,2,934875944749281281
13,Tweetbot for Mac,"Today, we remember President #RonaldReagan on what would have been his 107th birthday. His conservative leadership,… https://t.co/H4Fhise900",,False,Tue Feb 06 14:08:07 +0000 2018,3,960877770938245120
6,Twitter for iPhone,"“I like that he’s a businessman and not a politician,” said Carissa in Chandler, OK. #Stitt4Gov https://t.co/peEJweFtAe",,False,Mon Jan 08 20:29:32 +0000 2018,1,950464511105994753
10,Twitter Web Client,"""It's easy for me to vote for Kevin Stitt for governor because he is a conservative Christian, a successful busines… https://t.co/PTv6apR0Tw",,False,Sat May 12 15:11:38 +0000 2018,3,995320602268438530
15,Tweetbot for Mac,"Excited that my company, Gateway Mortgage Group, is renewing our partnership with @FoldsofHonor. Their non-profit p… https://t.co/4az11ClJms",,False,Mon May 14 19:23:07 +0000 2018,4,996108666016280582
36,TweetDeck,FACT CHECK: Learn more about Kevin Stitt's story with Gateway: https://t.co/dNiNScf9z6 #GovernorDebate #OKpol,,False,Thu Oct 25 00:35:13 +0000 2018,15,1055256432935759872
10,TweetDeck,State gov't is broken. The first action of a Stitt admin will be to deliver accountability &amp; transparency. Only a p… https://t.co/ftLpkaRzBj,,False,Wed Aug 08 01:05:51 +0000 2018,4,1026997886633095168
68,Twitter for iPhone,Thankful for the Tulsans who gathered this morning to join me in blockwalking and phone calls to voters ahead of El… https://t.co/v2Si71kLwy,,False,Sat Nov 03 14:41:05 +0000 2018,23,1058730791478460417
3,Twitter Web Client,@oklahomanCON @oklahomanCON make sure to include #JointheTurnaround on your post!,oklahomanCON,False,Tue Oct 16 21:03:20 +0000 2018,1,1052304004808695809
41,Twitter Web Client,"""We are so tired of Oklahoma coming in at 48th and 49th of everything. I truly believe Kevin Stitt can get us back… https://t.co/MmyAYp4Ge3",,False,Tue Aug 14 17:48:23 +0000 2018,14,1029424511232471042
57,Twitter for iPhone,THANK YOU to our volunteers who filled both our Tulsa and OKC field offices yesterday for GOTV calls as we kick off… https://t.co/vEF730Ix85,,False,Fri Nov 02 13:00:44 +0000 2018,21,1058343148202745856
44,Tweetbot for Mac,"At last night’s #okgov debate, I spoke about the need to bring a political outsider into the governor’s office. The… https://t.co/RpjFKiVsOJ",,False,Wed Aug 08 15:46:56 +0000 2018,10,1027219619491270657
22,Tweetbot for Mac,"Every Oklahoman deserves to know where their money is going &amp; how their tax dollars are being spent, but the career… https://t.co/wiu8Xwaudw",,False,Wed May 30 19:30:05 +0000 2018,10,1001908625755996161
39,Twitter Web Client,"""Kevin &amp; I met a little over 20 years ago at church. We got married and we built our business here in OK. Today, we… https://t.co/SFrkg903sh",,False,Tue Jul 24 21:22:52 +0000 2018,20,1021868339080163328
9,TweetDeck,Thank you to the Oklahoma Trooper Association for giving me the opportunity to speak this week about our campaign's… https://t.co/1duRGnGfPL,,False,Sat Feb 10 01:26:46 +0000 2018,2,962135724043751427
16,joe.sentry,"I am excited to have the support of the Publisher of the Cushing Citizen, David Reid. I agree with him that we must… https://t.co/CJiDhD7T6O",,False,Thu Feb 22 02:00:04 +0000 2018,0,966492757488488449
82,joe.sentry,"Drew Edmondson has spent forty years as a career politician, and had decades to solve the problems facing our state… https://t.co/vvG6rxbXSH",,False,Thu Oct 18 13:05:05 +0000 2018,41,1052908424021860352
15,Twitter for iPhone,"After a full morning of Meet &amp; Greets in Tulsa, I’m spending the afternoon in the garden with the family. I hope yo… https://t.co/PJ5j1zSKfd",,False,Sat Mar 17 20:18:32 +0000 2018,1,975104114605658114
7,TweetDeck,"On Tuesday, we held public meetings in Cordell, Mangum, &amp; Hobart. In Cordell, the police station allowed us to use… https://t.co/YKjpD0paTQ",,False,Sat Jan 20 16:31:00 +0000 2018,2,954753135008014336
32,Twitter Web Client,I will seek ways to improve our Medicaid through policy measures/audits and work with the new insurance commissione… https://t.co/P47M8UFuyK,GovStitt,False,Mon Sep 24 23:59:24 +0000 2018,10,1044375782389415936
31,Twitter for iPhone,Where’s my Oklahoma flag emoji to use with this awesome house? Love the #TeamStitt spirit in OKC. It is going to ta… https://t.co/1xd61yAJW4,,False,Thu Jul 26 23:54:18 +0000 2018,10,1022631225977122816
10,Tweetbot for Mac,In yesterday’s #okgov forum I outlined my plan for improving Oklahoma education by securing competitive pay raises… https://t.co/OOotN7ntro,,False,Tue Jun 05 20:23:52 +0000 2018,6,1004096489470201858
9,TweetDeck,I am proud to have the endorsement of more than 80 Oklahoma farmers &amp; ranchers across 37 counties. Learn more about… https://t.co/utubVjmDu4,,False,Wed Aug 08 01:43:48 +0000 2018,0,1027007438808145921
9,Tweetbot for Mac,Fixing the Health Dept &amp; preventing another crisis is simple: we can no longer be bottom ten in budget transparency… https://t.co/WpS9WifIxG,,False,Wed May 23 17:46:40 +0000 2018,3,999345884201738241
74,Twitter Web Client,I am honored to have the endorsement of Congressman Frank Lucas. Read about our shared commitment to rural Oklahoma… https://t.co/HX4Zi0eZa3,,False,Mon Oct 15 14:37:11 +0000 2018,35,1051844438413193217
13,TweetDeck,We had an awesome time in Ardmore this week where we visited The Suites at Elmbrook &amp; also spoke to the Carter Coun… https://t.co/H7OKbFg0UT,,False,Sat Feb 10 01:44:44 +0000 2018,3,962140245058781184
350,Twitter Web Client,"I am honored to receive the endorsement of President Trump. I am ready to work with him to support our veterans, ad… https://t.co/o5asjwySjz",,False,Thu Aug 30 20:38:50 +0000 2018,106,1035265611167870983
9,TweetDeck,"On Monday, we were in Boise City, Beaver, and Guymon sharing my story for why I am running governor and listening t… https://t.co/iOocGW6hkS",,False,Sat Jan 20 01:32:00 +0000 2018,2,954526894258503680
26,TweetDeck,We've been receiving pictures from all over the state of voters showing their support for #TeamStitt! Keep the mome… https://t.co/xjoHRXuTdh,,False,Sat Jun 23 18:30:41 +0000 2018,6,1010590986731507712
41,TweetDeck,The Oklahoma Department of Health is the poster child of why this government reform is long overdue. The people hav… https://t.co/io3Ono6bfL,,False,Wed Aug 08 01:21:00 +0000 2018,13,1027001700643733509
1,Twitter for iPhone,@KennedyBeason If I could only change one thing I would make it possible for #OKGov to fire State agency leaders th… https://t.co/eTavu1UNYc,KennedyBeason,False,Sun Sep 30 02:08:24 +0000 2018,0,1046220185739427841
5,Tweetbot for Mac,DEADLINE ALERT: Today is your last chance to register as a voter in Oklahoma in order to cast a ballot in the June… https://t.co/OTHWx7d2Zc,,False,Fri Jun 01 13:53:46 +0000 2018,3,1002548765360885760
42,TweetDeck,Today is your last chance to attend the Oklahoma State Fair! Don't miss this wonderful opportunity to support local… https://t.co/PkcoybOSna,,False,Sun Sep 23 16:32:46 +0000 2018,11,1043900993333800967
7,Twitter Web Client,Andrew founded Java 39 in Bethany out of a passion to serve his community through business &amp; do it as a family team… https://t.co/kjk0N4DS0L,,False,Tue Dec 19 22:34:00 +0000 2017,2,943248073505099778
7,Twitter for iPhone,We’ve held town halls all across Oklahoma &amp; people are ready for change. They are ready for conservative leadership… https://t.co/EGNZMDdpAG,,False,Tue Jan 23 00:01:26 +0000 2018,1,955591266670202880
16,Twitter Web Client,"""I'm voting for Kevin Stitt because as an educator for over 30 years, I know Kevin is going to make education a pri… https://t.co/sVYvKQSIyD",,False,Sun Apr 29 17:00:58 +0000 2018,8,990637075878858752
376,joe.sentry,"THANK YOU! On behalf of my entire family, my staff, and all our volunteers and supporters I want to say thank you f… https://t.co/BJo9BIQTYa",,False,Wed Aug 29 02:50:05 +0000 2018,111,1034634263356948480
13,Twitter Web Client,"""I am proud to support Kevin Stitt for governor of Oklahoma because Kevin is a true leader and he knows what it tak… https://t.co/S545a9qr9L",,False,Sat Apr 28 13:00:31 +0000 2018,4,990214177603153920
12,TweetDeck,Thank you to those in McAlester who hosted a meet and greet this week so we can continue to get the word out about… https://t.co/EmakHRt8D7,,False,Fri Dec 01 02:06:21 +0000 2017,4,936416147012014081
7,Twitter Web Client,"""As an entrepreneur, I believe that a vote for Kevin Stitt is a vote that will grow our communities and grow our wo… https://t.co/GMyZf6aduq",,False,Fri Jun 01 16:01:26 +0000 2018,2,1002580891137343488
34,TweetDeck,Thank you @LeadershipOK for allowing me to speak to your group in Stillwater this week. I am inspired by this organ… https://t.co/DulsfFDjGz,,False,Sun Sep 23 16:36:44 +0000 2018,9,1043901992295440384
8,TweetDeck,Tune in to KWHW radio in Altus this morning! I had a great conversation w/ Cameron Dole about what issues were impo… https://t.co/xNUZo8qXGl,,False,Tue Nov 28 15:02:17 +0000 2017,0,935524251083399169
