favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
54,Twitter for iPad,Thanks Jack https://t.co/uV7updEM7V,,False,Mon Feb 26 05:18:02 +0000 2018,7,967992128726061056
532,Twitter for iPhone,The Texas economy continues to thrive. Strong job growth pushes the Texas unemployment rate to a record low.… https://t.co/zqswfXJrYL,,False,Fri Dec 22 18:55:00 +0000 2017,196,944280126715498496
1786,Twitter for iPhone,We have a new First Puppy of Texas at the Governors Mansion. ⁦@TexasPancake⁩ has a little sister. Name coming later… https://t.co/pqbX2Hgzpn,,False,Tue Jun 12 16:48:05 +0000 2018,295,1006578898962874368
730,Twitter Web Client,Rising property taxes claims another victim that will close a business &amp; force job losses. That's why I've made it… https://t.co/WxegSrcHpe,,False,Thu Sep 13 01:07:22 +0000 2018,292,1040044231904165888
536,Twitter for iPhone,Thanks @TAMUSystem for hosting me today. https://t.co/tcW9RabLtK,,False,Sun Apr 15 00:23:30 +0000 2018,78,985312625377628160
969,OS X,Thanks to South Carolina Gov. @HenryMcMaster for sending National Guard &amp; helicopters to support border security. https://t.co/2V4x4PyVc5,,False,Sat May 12 17:40:29 +0000 2018,330,995358062398660608
237,Twitter for iPhone,Thanks for your hard work and for your commitment to values like protecting innocent life. https://t.co/BBEVTXYGpj,,False,Wed Jun 27 01:13:03 +0000 2018,45,1011779410020782082
1134,Twitter for iPhone,"Congratulations to CONGRESSMAN Michael Cloud on winning the special election for Congressional District 27, beating… https://t.co/NPgvLyyjuZ",,False,Sun Jul 01 01:50:57 +0000 2018,441,1013238496591351809
76,Twitter for iPhone,"Great shopping options for our Veterans just in time for the holidays. 
Dallas-based veteran shopping mall opens on… https://t.co/FhwWfnfsFl",,False,Wed Nov 29 20:17:57 +0000 2017,39,935966080098594816
845,Twitter for iPhone,A former student is arrested for threats made on social media. This is the type of proactive action that must be ta… https://t.co/MMxVSKoHF7,,False,Thu Mar 01 22:34:54 +0000 2018,340,969340226572238848
1807,Twitter for iPhone,This is the path that has guided my life. https://t.co/mR33co3fd8,,False,Mon Oct 29 03:22:47 +0000 2018,467,1056748150994677760
2980,Twitter for iPhone,Your vote is essential today to keep Texas the model for the rest of the nation. We can’t let liberal ideas that ha… https://t.co/EgVrCPx6ya,,False,Tue Mar 06 14:24:25 +0000 2018,1562,971028732818403328
540,OS X,Texas is providing rifle-resistant vests to Outfit 40% of Police Officers in the State. #txlege #BackTheBlue https://t.co/kEIAw3jS7Q,,False,Wed Jan 17 19:56:44 +0000 2018,172,953717744184291328
120,Twitter Web Client,"Not very many Texans know where Hargill, Texas is located. We do. And we are working there and across the state to… https://t.co/J0GDLYD9mQ",,False,Sat Feb 10 20:29:58 +0000 2018,53,962423417784938496
376,Twitter for iPhone,We are promoting the role of the entire family in the learning process by empowering parents in their child’s educa… https://t.co/uLzkQYbLxN,,False,Mon Nov 27 05:30:16 +0000 2017,104,935017913039409152
103,Twitter for iPhone,Thanks for firing up the #RGV for a visit by the First Hispanic First Lady in Texas History. @TexasFLCA… https://t.co/kD45fJEl0o,,False,Wed Jan 31 02:11:27 +0000 2018,36,958523089897312257
293,Twitter for iPhone,I appreciate all that the Texas Realtors do to keep the Texas economy # 1 in America. https://t.co/8XNrGHhZbR,,False,Thu Oct 11 19:17:40 +0000 2018,73,1050465476504104960
2675,Twitter for iPhone,The best way to start the weekend is with a puppy at the office. https://t.co/83oTHdBHqH,,False,Fri Jan 05 21:15:28 +0000 2018,304,949388905463320576
472,Twitter for iPhone,"Texas added 394,500 jobs over the past 12 months, with 32,000 added in August. More Texans have jobs today than eve… https://t.co/4G2NnclCrr",,False,Fri Sep 21 15:47:23 +0000 2018,185,1043164796412207107
418,Twitter for iPhone,Happy National Hunting and Fishing Day. It’s been a source of fond memories in our family. https://t.co/ZfUSocwEc1,,False,Sun Sep 23 00:44:53 +0000 2018,134,1043662453228351488
2473,Twitter for iPhone,"RT if you agree the Texas Constitution should not allow a state income tax in Texas. 
Currently it says an income t… https://t.co/NlxVCR161g",,False,Tue Sep 04 23:18:50 +0000 2018,1803,1037117813935296512
2702,Twitter for iPhone,It’s time for Texas tamales for Christmas. https://t.co/3lsqv0VMPK,,False,Thu Dec 14 02:08:38 +0000 2017,599,941127762114424832
531,OS X,Prayers for a swift recovery for President George H.W. Bush who is hospitalized in Maine. https://t.co/eHDVL6A9hX,,False,Sun May 27 20:57:57 +0000 2018,144,1000843572134989825
483,Twitter for iPad,Here’s information about my policy plans to help veterans. They served our country and deserve to go to the front o… https://t.co/MikL7z3pUd,,False,Wed May 09 05:18:05 +0000 2018,189,994084068605210625
377,Twitter for iPhone,This tells more about my bail reform proposal to make it tougher for dangerous criminals to endanger your safety. I… https://t.co/aWIaxySbQt,,False,Tue Aug 07 19:50:56 +0000 2018,140,1026918634701111297
230,Twitter for iPhone,Honored to be with the Texas Farm Bureau today: the people who produce the food we eat &amp; the fiber that makes our c… https://t.co/YxDlL4hfyo,,False,Mon Dec 04 21:12:41 +0000 2017,67,937791795085434881
1007,Twitter for iPad,A new memorial will be placed on the Texas Capitol grounds honoring Texans who served in Iraq &amp; Afghanistan. We tha… https://t.co/BDrI1om2VQ,,False,Thu Nov 23 23:00:10 +0000 2017,367,933832573914157056
1339,Twitter for iPhone,We are escalating efforts to combat &amp; prevent terrorism in Texas. The $55.5 million grant from Homeland Security wi… https://t.co/5fGv8YTDqP,,False,Sun Oct 28 16:23:47 +0000 2018,508,1056582309133066246
29,Twitter for iPad,Thanks Kathy https://t.co/zfXwepPE8K,,False,Mon Feb 26 05:17:26 +0000 2018,3,967991977475264513
5192,Twitter for iPhone,In Texas if you commit “honor killings” you will get the death penalty.  https://t.co/V29lHxKmwe,,False,Wed Aug 15 03:56:43 +0000 2018,2355,1029577603655655425
229,Twitter Web Client,"Thanks to our tireless warriors of winning. You're helping to #KeepTexasRed.
#txege @TexasGOP #tcot https://t.co/6RvspIl0RN",,False,Sun Dec 03 21:24:17 +0000 2017,62,937432322655342593
85,OS X,Computer 'Mis-clicks' Faulted for Data that Incorrectly Showed Spiking Maternal Mortality Rate in Texas. #txlege https://t.co/tWgEYKKx2k,,False,Wed Apr 11 22:01:59 +0000 2018,54,984189847618408448
198,Twitter for iPhone,Every day our team adds new members who will work relentlessly all the way through Election Day. There’s too much a… https://t.co/YJCgStofoA,,False,Sun Feb 04 17:25:41 +0000 2018,55,960202713106612224
323,Twitter for iPhone,Thanks Governor Ivey to you &amp; the outstanding First Responders in Alabama for your efforts to rescue &amp; aid all who… https://t.co/SQzx1aBkwJ,,False,Tue Mar 13 22:10:08 +0000 2018,104,973682651642163200
212,Twitter for iPhone,More great economic news in Texas. The Greater Waco Economic Index hit a new record high. I believe the best is yet… https://t.co/FpdMhvfzdL,,False,Fri Mar 30 23:24:06 +0000 2018,81,979861859842117632
301,OS X,Our universities continue to excel. Congrats to UT Dallas on achieving Tier One research university status. #txlege https://t.co/AQamUPO9LP,,False,Wed Jul 25 20:50:44 +0000 2018,69,1022222641426509824
922,Twitter for iPhone,"The Texas unemployment rate is now the lowest it’s been in 40
Years &amp; Texas led the nation last month in new job cr… https://t.co/Dni7NgN4yb",,False,Wed Nov 15 18:30:38 +0000 2017,329,930865642332442630
65,Twitter for iPad,Thanks Joy https://t.co/q1eet0m3o8,,False,Mon Feb 26 04:42:56 +0000 2018,8,967983295488241664
419,Twitter for iPhone,Another grand opening adding more jobs in Texas. Today we are proud to welcome Liberty Mutual. #txlege #jobs… https://t.co/Wfx6pWJG15,,False,Wed Nov 29 20:08:02 +0000 2017,134,935963584999383040
1046,Twitter for iPhone,Listening to the U. S. Army Chorus sing God Bless America at the White House. We are grateful for our Army &amp; all wh… https://t.co/iZTJUxLdTh,,False,Mon Feb 26 02:57:27 +0000 2018,362,967956748224094208
1387,Twitter for iPhone,Tonight I unveiled a cornerstone plaque that will be on the U.S. Embassy in Israel. It recounts the Texas-Israel co… https://t.co/MXcrYKs5zc,,False,Thu Sep 06 00:16:54 +0000 2018,415,1037494816928616448
1454,Twitter for iPhone,"Interest in program for armed teachers and employees exploding in Texas. 
The number of 'school marshals' could qua… https://t.co/mZ6DmNwQso",,False,Sat Jun 30 20:29:20 +0000 2018,599,1013157558545104896
131,Twitter Web Client,What a great team. https://t.co/QZSCEZbm0o,,False,Tue Aug 21 02:35:15 +0000 2018,39,1031731426163679232
1043,Twitter for iPhone,Congratulations to Texas Tech Baseball for earning a trip to the College World Series. Proud of the Red Raiders.… https://t.co/EPUacBzHUg,,False,Tue Jun 12 04:19:09 +0000 2018,172,1006390422279786497
1170,Twitter for iPhone,Another MS-13 gang member has been arrested. He’s accused of a brutal murder in Texas. He had a stolen firearm. A t… https://t.co/E5OCWGbOXQ,,False,Sat May 26 15:43:14 +0000 2018,477,1000401986498514945
