favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
4,Twitter Web Client,"JACKSON:
https://t.co/kUsD1rzTL7 https://t.co/rbgGe1gOy8",GovWhitmer,False,Fri Oct 12 15:58:35 +0000 2018,2,1050777762103996418
79,TweetDeck,"We must reverse the erosion of tenured faculty at Michigan's universities. As governor, I'll use every lever of power in my office to do it.",,False,Sat Jan 13 18:17:27 +0000 2018,21,952243208716718080
223,Gain App,"This election is about everyone in our state. This is about coming together for better roads, good schools, better… https://t.co/KQmiCnZcXv",,False,Thu Oct 25 20:01:02 +0000 2018,77,1055549817999503360
168,Twitter Web Client,"This is why we need a governor with a real plan to protect our water

https://t.co/95zUeVRQJX",GovWhitmer,False,Wed Aug 29 15:25:19 +0000 2018,69,1034824322815324161
124,Gain App,"This movement is about the future of Michigan and putting the people, not the bottom line, first. When we come toge… https://t.co/Lnt7ALK5wQ",,False,Sun Mar 25 23:06:02 +0000 2018,33,978045370428219393
152,Twitter for iPhone,Our race is ranked #7 in top 10 gubernatorial races of 2018! Join our movement today visit: https://t.co/S5o3g2mlZ5 https://t.co/NnMaTZk7Go,,False,Sat Jan 06 19:45:56 +0000 2018,50,949728761402060800
79,TweetDeck,"The inventors of the automobile assembly line, home to 20% of the world's fresh water, and our hard work and ingenu… https://t.co/NZ9a4CzrQV",,False,Fri Jan 26 23:33:57 +0000 2018,18,957033900781522945
171,Twitter for iPhone,"“Whitmer has made ‘fixing the damn roads’ the rallying cry of her campaign, and surely that is a sentiment shared w… https://t.co/vAvISUvCCH",,False,Thu Jul 19 12:57:57 +0000 2018,36,1019929337125130245
58,Gain App,So proud of the support we have on this campaign. There is no question about it; this is a movement for Michigan wi… https://t.co/TQQg0XCagr,,False,Wed Jan 31 21:38:04 +0000 2018,23,958816677118038017
507,Gain App,"It's here, Michigan -- Election Day! It's time to get this done because when we vote, we WIN!… https://t.co/sW7Pk6a9sG",,False,Tue Nov 06 12:05:58 +0000 2018,172,1059778916188147714
51,Gain App,"I joined @StatesideRadio yesterday to talk about my plan to bring back the Michigan we deserve. 

https://t.co/OdidK59LEI",,False,Fri Apr 13 21:35:05 +0000 2018,7,984907853914951680
143,Tweetbot for Mac,Vernors. No question. https://t.co/u264DivxU7,,False,Thu Jul 19 14:42:23 +0000 2018,13,1019955618344521734
50,Gain App,We fought too hard to expand Medicaid in this state to let Washington politicians ransack Medicare and Medicaid whi… https://t.co/37LEFEEUwC,,False,Wed Nov 29 18:30:25 +0000 2017,14,935939020194045952
376,Tweetbot for Mac,“Schuette is not the type of candidate who appeals to young voters… Schuette's campaign is the voice of the past. W… https://t.co/z7gtM3ZKas,,False,Thu Oct 25 20:15:49 +0000 2018,123,1055553537382473728
782,Gain App,I'm tired of politicians who just repeat talking points. We need a governor who has real solutions and is ready to… https://t.co/JC5pmnCSHR,,False,Thu Oct 25 22:16:12 +0000 2018,243,1055583836153790464
224,Twitter Web Client,"Michiganders created the middle-class and put the world on wheels. But today, too many people are struggling just t… https://t.co/JN5JEWR1FU",,False,Fri Sep 07 19:44:45 +0000 2018,78,1038151104503140352
442,Twitter for iPhone,Saw Shri sent some more mail today. Just re-upping this. https://t.co/04wle53yUk,,False,Fri Jul 27 00:44:11 +0000 2018,117,1022643779042467841
42,Twitter for iPhone,Here at the @MEAOnline Caucus! https://t.co/vx1NWDfops,,False,Sat Aug 25 14:37:51 +0000 2018,6,1033362825815777282
43,Gain App,"Last night volunteers came together at events across the state, and the turnout was terrific. I truly appreciate ev… https://t.co/VKLvF7fnmN",,False,Fri Jan 12 18:15:19 +0000 2018,10,951880283242008578
68,Twitter for iPhone,Detroiters are ready for a governor who’s in their corner. Had a great conversation with small business owners at G… https://t.co/c8pyREiqrI,,False,Tue Dec 19 21:49:13 +0000 2017,9,943236805264138241
101,Twitter Web Client,Don't you think it's time that we start providing teachers with the tools they need to help our students succeed?… https://t.co/Ig3ia0DYH9,GovWhitmer,False,Tue Sep 04 17:34:28 +0000 2018,19,1037031153545437184
138,Twitter Web Client,Our legislature isn't working for us right now because of how gerrymandered it is. Do you want a legislature that w… https://t.co/GelHnot88m,,False,Thu Oct 25 00:50:56 +0000 2018,42,1055260387317309440
1017,Twitter Web Client,"Bill Schuette has been in office for 33 years, and he hasn't done a darn thing to help get Michiganders health care… https://t.co/sS3Y5QaLgA",,False,Fri Oct 12 23:15:50 +0000 2018,485,1050887798369255424
30,Twitter for iPhone,"I enjoyed the first edition, looking forward to the sequel! https://t.co/3i7H6jizxa",,False,Wed Jul 11 16:44:08 +0000 2018,6,1017087154512695298
97,Gain App,Proud to be supported by the Michigan Pipe Trades Association! I'm ready to fight for Michigan workers and families… https://t.co/kZQ8V6qcKN,,False,Sat Aug 04 20:05:58 +0000 2018,37,1025835255218020352
77,Twitter for iPhone,"Thank you Affirmations for showing @SenGillibrand, @JeremyAllenMoss, @Wittenberg4Rep, and me around your amazing fa… https://t.co/fRJE1t4lxo",,False,Mon Oct 08 15:00:56 +0000 2018,19,1049313703248764933
