favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
48,Twitter Web Client,I am proud to have a conservative leader like @KatrinaShealy on our team. She knows that South Carolina is moving i… https://t.co/q0WEkLhZ1a,,False,Thu Jun 14 22:24:33 +0000 2018,17,1007388349965873153
21,TweetDeck,"SC continues to attract industry from all corners of the globe, and that’s a testament to the pro-business strategy… https://t.co/2pFC8T0he8",,False,Mon Nov 20 17:08:10 +0000 2017,5,932656829762560000
37,Twitter for iPhone,"Thank you for your support, Ambassador Wilkins! Please read his full statement on tonight’s debate victory:

https://t.co/XMXQoIso1P",,False,Thu Jun 21 01:04:07 +0000 2018,16,1009602834638295040
81,Twitter Web Client,James Smith has FAILED South Carolina. He supports government-run health care that would cost taxpayers $32 TRILLIO… https://t.co/NgrGEhO5ar,,False,Fri Aug 24 20:26:19 +0000 2018,28,1033088131854000128
92,Twitter for iPhone,Peggy and I are hoping for a fast recovery for @GregHembree and we ask that you lift him and his family up in praye… https://t.co/qloHRBvvxm,,False,Fri Jul 27 02:44:16 +0000 2018,14,1022673999556423680
1,Twitter for iPhone,@rogue4169 Polls are open until 7pm! -Team McMaster,rogue4169,False,Tue Jun 12 21:05:19 +0000 2018,0,1006643634740125696
44,Twitter Ads,"President Trump knows: when your team’s winning, you don’t fire the coach and put in a rookie–you just keep winning. https://t.co/SLpoIfsGJ5",,False,Thu May 31 19:09:57 +0000 2018,10,1002265944859832320
61,Twitter Web Client,I am proud of the work Team South Carolina has done to be ranked one of the nation's best states for business. We m… https://t.co/hNb75SbuhO,,False,Wed May 02 23:36:53 +0000 2018,17,991823876286857222
10,TweetDeck,"From the talented people who make up our workforce to the critical infrastructure necessary to do business, our sta… https://t.co/tTbEyxoP5u",,False,Fri Dec 15 20:09:05 +0000 2017,5,941762053655719936
36,Twitter for iPhone,"Good morning, Bluffton! The #SCWinning bus tour is now headed to Mt. Pleasant, Georgetown, and Conway today. Hope y… https://t.co/WVyYqo1d1J",,False,Thu Nov 01 14:12:36 +0000 2018,14,1057998846935138311
9,TweetDeck,This legislation will allow the future of Santee Cooper to be objectively determined through a transparent and acco… https://t.co/JgbBTG1uq2,henrymcmaster,False,Tue Apr 03 20:12:28 +0000 2018,3,981263183645159424
42,TweetDeck,"This is what we're up against. 

I've been fighting to protect the lives of unborn babies for decades. Now, after o… https://t.co/RviimiqqLm",,False,Sat May 26 15:06:55 +0000 2018,21,1000392846136967168
31,Twitter for iPhone,Peggy and I were thrilled to welcome guests to the Governor’s Mansion (which belongs to all of the people of SC) fo… https://t.co/e2qxKE2T11,,False,Tue Dec 05 01:09:23 +0000 2017,7,937851359143059457
17,Twitter for iPhone,"Pulling into Lexington for our next stop on the #SCWinning tour! 

Thank you to the folks in Anderson and Aiken for… https://t.co/8ELGWukFjW",,False,Thu Jun 07 17:43:46 +0000 2018,8,1004780971156234241
59,Twitter Web Client,It was great to join @FoxNews this afternoon to discuss @realDonaldTrump’s endorsement and what we're doing to keep… https://t.co/CAqn8kpzVD,,False,Sun Jun 10 18:21:32 +0000 2018,20,1005877642124578816
58,Twitter Web Client,The tax bill passed today means BIG tax cuts for South Carolina families. THANK YOU to President Trump and our cong… https://t.co/Hlru8xrQDU,,False,Thu Dec 21 01:52:52 +0000 2017,12,943660507944251394
92,Twitter for iPhone,"Today I toured Nichols with Mayor Lawson Battle, Sen. Kent Williams, and other local officials. The town, devastate… https://t.co/W6BguekU3S",,False,Sun Sep 23 01:57:04 +0000 2018,33,1043680615969828865
6,TweetDeck,@SCEMD School closing decisions are made at the district level. A list of closings and early dismissals can be foun… https://t.co/BSALGaNjvJ,henrymcmaster,False,Wed Jan 03 16:50:53 +0000 2018,4,948597547135913984
21,Twitter for iPhone,Thank you to @UofSCCR for having me to speak to your group tonight. It is always a pleasure to hear from engaged fu… https://t.co/Y0qsFNoLKQ,,False,Wed Mar 07 03:29:57 +0000 2018,11,971226419849146368
88,Twitter Web Client,"SC Department of Health and Human Services Director Joshua Baker has served our state in many ways, and I’m gratefu… https://t.co/gb8FpC275Q",,False,Thu Feb 08 21:53:56 +0000 2018,8,961719772701478912
0,Twitter for iPhone,"@havik912 @Zachary_Cohen Some people ask if we are cousins, but we're not kin to my knowledge.",havik912,False,Tue Nov 21 00:23:41 +0000 2017,1,932766428796805121
11,Twitter for iPhone,"We also honored law enforcement, often the first to the scene, whose hard work and dedication has resulted in 450 i… https://t.co/gx0mmat2W4",henrymcmaster,False,Thu Sep 06 21:09:31 +0000 2018,1,1037810046871199745
265,Twitter for iPhone,"Thank you for the flawless teamwork of the South Carolina National Guard, Chesterfield County Sheriff’s Office, and… https://t.co/lWFjRr7ms1",,False,Mon Sep 17 23:00:50 +0000 2018,63,1041824328403378176
60,Twitter for iPhone,"I look forward to welcoming them back to South Carolina!

https://t.co/34s83r8dSm",henrymcmaster,False,Wed Jun 20 02:51:56 +0000 2018,27,1009267578571841537
419,Twitter for iPhone,"I will never forget John McCain. He was among the greatest of men, and he was my friend. I hope his family can find… https://t.co/9YuRN9LU6l",,False,Sun Aug 26 00:36:54 +0000 2018,75,1033513582770774016
46,Twitter Web Client,Peggy and I are heartbroken to hear of the passing of Iris Campbell. We loved her. We were blessed to have called h… https://t.co/mzIpHB1yin,,False,Tue Nov 21 17:45:35 +0000 2017,16,933028630564831234
100,TweetDeck,"By removing the U.S. from the disastrous Iran nuclear deal, President Trump is further solidifying our role on the… https://t.co/YzFwUtOIcZ",,False,Tue May 08 22:57:45 +0000 2018,18,993988352901877760
205,Twitter for iPhone,"Any act of violence shakes us to our core, but it's particularly gut-wrenching when it is perpetrated against innoc… https://t.co/dIIMBtXylO",,False,Wed Feb 14 23:41:25 +0000 2018,56,963921150714830849
7,Twitter for iPhone,@petermccoyforsc Thank you Rep @petermccoyforsc for your determined leadership chairing SC House ratepayer committe… https://t.co/NLSgdQkYFS,petermccoyforsc,False,Wed Mar 28 02:06:33 +0000 2018,2,978815575353851904
4,TweetDeck,@SCEMD State offices follow the lead of the county in which they are located. You can find a list of closures here: https://t.co/NZUxN2ZB2h,henrymcmaster,False,Wed Jan 03 16:49:06 +0000 2018,4,948597096315326464
30,Twitter Web Client,"Today, @POTUS proclaimed a National Day of Prayer, keeping with a decades-old tradition affirming our country's roo… https://t.co/RFc0PzYH2x",,False,Thu May 03 23:38:47 +0000 2018,10,992186739899826177
0,TweetDeck,"@LAMGO Allied Air is air conditioning, not an airline.",LAMGO,False,Thu Dec 07 17:07:07 +0000 2017,0,938817158544543744
194,Twitter for iPhone,"Under Harris Pastides’ leadership, the University of South Carolina has achieved 217 years worth of “firsts” in jus… https://t.co/carwHMsURU",,False,Wed Oct 03 16:18:13 +0000 2018,45,1047521212115685377
51,Twitter Web Client,"South Carolina just keeps winning. We have announced over 20,000 new jobs across the state, more South Carolinians… https://t.co/p04ugLQSGy",,False,Fri Jun 15 18:23:09 +0000 2018,21,1007689987733663744
33,Twitter for iPhone,I will never stop fighting for your religious freedom. The generous foster families at @MiracleHill make sacrifices… https://t.co/1hGtxLVvid,,False,Thu Feb 22 17:26:51 +0000 2018,6,966725990499024896
23,TweetDeck,The House of Representatives and I have remained steadfast in our belief that there is no acceptable amount for Sou… https://t.co/e93aTMcQWq,,False,Wed Apr 25 19:24:40 +0000 2018,8,989223685461565440
44,Twitter for iPhone,Send me a bill that replaces the BLRA and prevents ratepayers from being charged in the future for the abandoned re… https://t.co/R572VxkS4K,,False,Tue Jan 23 18:46:10 +0000 2018,27,955874315114827776
45,Twitter Web Client,Our #SCWinning tour rolls on! Check out this quick look at Day 1: https://t.co/rXltj9TzjC,,False,Thu Jun 07 12:26:47 +0000 2018,12,1004701202565611521
88,Twitter for iPhone,Just cast my vote. Hope you will get out and vote today to keep #SCWinning! https://t.co/X7gxQMH9D8,,False,Tue Jun 12 14:29:16 +0000 2018,24,1006543964466446336
62,Twitter Web Client,It was a pleasure meeting local business owners in @CityofEasley. Small businesses are one of the economic engines… https://t.co/djoTJE9NV1,,False,Fri May 04 22:24:56 +0000 2018,21,992530544930967552
123,TweetDeck,President Trump is following through on his promises to secure our borders. I've seen firsthand the dedication &amp; de… https://t.co/VD401zinuP,,False,Wed Apr 04 22:06:19 +0000 2018,50,981654222604263425
36,Twitter for iPhone,I remember when the Reedy River was on fire; now Greenville is a world class destination. One of many examples of S… https://t.co/ti2LqqJIDl,,False,Tue Nov 28 18:10:01 +0000 2017,10,935571494863810562
8,Twitter Web Client,"Send me the bills to strengthen the public’s trust in government, and I will sign them. https://t.co/k58yS1bCT7",,False,Thu Jan 25 00:39:26 +0000 2018,5,956325602801283072
14,TweetDeck,"Our young people are the most important asset in our state and country, and we must do everything we can to support… https://t.co/IE4X1bL0xs",henrymcmaster,False,Mon Feb 26 16:14:51 +0000 2018,0,968157423620980738
16,Twitter Web Client,"She is a precious, gifted child who is a reminder of both the need to do whatever it takes to keep our children saf… https://t.co/HQhP50d8OA",henrymcmaster,False,Wed Feb 28 20:56:16 +0000 2018,2,968953016282857473
67,Twitter Web Client,We must take a bold new approach to this unprecedented threat. https://t.co/Kpee0CahDg,,False,Thu Jan 25 00:32:08 +0000 2018,30,956323767478661120
40,Twitter for iPhone,It was a pleasure to stop by Tommy’s Ham House this morning for Law Enforcement Appreciation Day and to present Mr.… https://t.co/F1w4nhByuL,,False,Fri May 18 17:37:59 +0000 2018,11,997531759838400512
1856,Twitter for iPhone,"Thank you, South Carolina! I am so proud to be your governor. Together we will keep our state working for you. I love South Carolina!",,False,Wed Jun 27 02:37:17 +0000 2018,468,1011800605982109696
41,TweetDeck,"For months i have called for a uniformed law enforcement officer stationed in every South Carolina school all day,… https://t.co/Dr6pt0XUR4",,False,Tue Mar 13 18:37:07 +0000 2018,9,973629043915575296
33,Twitter for iPhone,"We don't need anymore legislative study committees, debates, or deliberation, we know what we need to do and we nee… https://t.co/miLbSICOBS",henrymcmaster,False,Thu Mar 15 02:52:07 +0000 2018,9,974116002853195778
