favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
49,TweetDeck,"Today I visited @TheTellingRoom, an organization empowering Maine youth by helping them express their voices throug… https://t.co/F6YJOpZfoU",,False,Wed Jul 11 23:48:00 +0000 2018,19,1017193821858291714
1,Twitter Web Client,"@casekaem @StephenKing I last got a positive rating from the NRA in the 2007-2008 election, more than a decade ago.… https://t.co/PfFE3guQLk",casekaem,False,Tue Jun 05 00:39:12 +0000 2018,0,1003798356043468800
3,Twitter Web Client,"""I am proud to stand as a Democrat, holding fast to Democratic values.

That is why we refused to stand by as the o… https://t.co/9mwPhkTZk7",JanetMillsforME,False,Fri May 18 23:04:14 +0000 2018,0,997613864396185601
80,Twitter for iPhone,Congratulations to the #RedSox on their #WorldSeries win! Well deserved after an incredible season.,,False,Mon Oct 29 03:18:58 +0000 2018,11,1056747191329583105
1,Twitter Web Client,"@mayhewformaine said on radio yesterday that ME shouldn't expand medicaid """"all because you put a couple sentences… https://t.co/V4E1cluSMo",mayhewformaine,False,Thu Nov 09 17:10:37 +0000 2017,0,928671179241676800
121,TweetDeck,Access to reproductive health care is vital to the independence and dignity of women and girls in Maine. As Maine’s… https://t.co/DbOM5LDlCO,,False,Sun Jul 01 14:19:54 +0000 2018,41,1013426978433662976
5,Twitter Web Client,"You can find all the candidate's answers here: 

https://t.co/fi4uEt6Tnz",JanetMillsforME,False,Thu Apr 12 16:44:35 +0000 2018,1,984472358886035462
13,Twitter Web Client,I had a great afternoon at @MainePublic for a debate with my fellow #megov candidates! I'm told the segment is plan… https://t.co/4w3xMC9Hg1,,False,Wed May 30 20:19:34 +0000 2018,1,1001921080167157760
190,Twitter Web Client,"Honored to earn the endorsement of the @BangorDailyNews today! 

""Mills is the best choice for a fresh, consistent,… https://t.co/nnaZ5NGWFQ",,False,Fri Oct 19 14:36:41 +0000 2018,88,1053293866676375553
0,Twitter Web Client,"@BradstreetFarm Thanks for the heads up about the broken link! We couldn't find it on our end, can you DM us where… https://t.co/mz4RcPpelG",BradstreetFarm,False,Sat Jun 23 15:59:38 +0000 2018,0,1010552974219841537
37,Twitter for iPhone,"This is a lifelong appointment to the highest court in the land, with critical issues like women’s reproductive rig… https://t.co/10Tn7J7ItS",,False,Fri Sep 28 22:36:38 +0000 2018,20,1045804502308323328
7,Twitter Web Client,2) As the Trump administration and Scott Pruitt continue to turn the EPA away from its mission of safeguarding our… https://t.co/MB485LI9n7,JanetMillsforME,False,Mon Apr 23 02:35:51 +0000 2018,1,988245033273839616
30,Twitter Web Client,"4/4 As AG, I've distributed naloxone across Maine, saving nearly 500 lives to date. This issue is personal to me, l… https://t.co/NR7GZfr6UB",JanetMillsforME,False,Thu Jul 19 00:25:58 +0000 2018,17,1019740092473184256
28,Twitter Web Client,"I'm standing against the Trump Administration's attempts to repeal #NetNeutrality , and as Governor, I will continu… https://t.co/ChsZM6x3sE",,False,Sun Nov 26 16:44:52 +0000 2017,3,934825290232160256
80,Twitter for iPhone,"I’ve stood up for women my entire career, and I will continue to do that as governor. #mepolitics #MEGovDebate #YourVoiceYourFuture",,False,Thu Nov 01 23:16:05 +0000 2018,22,1058135618117607425
27,Twitter for iPhone,Starting my Saturday morning in Yarmouth with a fabulous canvass kickoff. Want to join #TeamJanet and volunteer? Vi… https://t.co/jADROEPSWi,,False,Sat Nov 03 14:16:27 +0000 2018,8,1058724591546388480
53,Twitter for iPhone,"On the campaign trail at the Reiche School in Portland. 

We’re working to earn every vote we can across Maine! 

H… https://t.co/5VudiprEHw",,False,Tue Nov 06 21:59:22 +0000 2018,12,1059928252783955971
55,Twitter for iPhone,I will always stand with working people for our rights. #mepolitics https://t.co/Z0WaOg7QVl,,False,Mon Oct 08 15:57:28 +0000 2018,17,1049327928851533825
1,Twitter for iPhone,@sashlund @WomenCount @staceyabrams @gretchenwhitmer @Michelle4NM Thank you so much for your support!,sashlund,False,Wed Apr 04 17:40:04 +0000 2018,0,981587219189321728
12,Twitter for iPhone,Proud to work with coalition of AGs to take Trump admin and @EPA to court for ignoring duty to control methane emis… https://t.co/k0Bqyi5ST8,,False,Sat Apr 07 07:12:41 +0000 2018,2,982516495489126401
175,TweetDeck,"I am honored to earn the endorsement of Planned Parenthood Maine Action Fund. I pledge to the people of Maine that,… https://t.co/8DWpPRCbxG",,False,Tue Aug 28 17:53:01 +0000 2018,53,1034499104334925825
44,TweetDeck,"As governor, I will make Maine a renewable energy leader. 

Investing in renewables will lower energy costs, create… https://t.co/YZRuv18Ppy",,False,Wed Oct 17 23:19:23 +0000 2018,20,1052700629792116737
55,Twitter Web Client,Happy Pride! #mepolitics https://t.co/NUgZDd3x0w,,False,Sat Jun 16 17:22:27 +0000 2018,8,1008037098916630528
12,Twitter Web Client,"Today we mark the 50th anniversary of the assassination of Dr. Martin Luther King, Jr. His legacy is honored not on… https://t.co/OwKKFNAleM",,False,Thu Apr 05 02:44:47 +0000 2018,0,981724300309942273
34,Twitter for iPhone,"I was concerned by the tone and tenor of Judge Kavanaugh’s testimony yesterday, and I do not trust him to protect t… https://t.co/Bc1qv0D86W",JanetMillsforME,False,Fri Sep 28 22:37:17 +0000 2018,11,1045804665512898562
13,TweetDeck,3/3 The ongoing work I saw and heard about yesterday is a great example of what we can do across Maine to help crea… https://t.co/trrpfKAksU,JanetMillsforME,False,Sat Jul 28 17:41:55 +0000 2018,2,1023262290429308929
10,Twitter Web Client,"I find the allegations made against Eric Schneiderman deeply disturbing, and I'm glad he has chosen to do the right… https://t.co/1CMtnnqItf",,False,Tue May 08 19:41:34 +0000 2018,4,993938983049711617
2,Twitter Web Client,"@elburnett We think voters will approve of our strong stance against taking money from replicants.

More seriously,… https://t.co/LJfM2wc0rw",elburnett,False,Thu Apr 05 03:06:57 +0000 2018,0,981729881082990593
10,Twitter Web Client,"I had a great time at the WGME/BDN gubernatorial debate last night - thanks to everyone who tuned in!

https://t.co/ynI0gJcgbs",,False,Wed Apr 11 15:04:05 +0000 2018,3,984084680520667137
22,TweetDeck,"My family struggled firsthand with and expensive &amp; complex health care system. Too many Mainers do too.

I‘ll fight… https://t.co/7E6g6MkOVf",,False,Wed Oct 17 23:31:23 +0000 2018,8,1052703653264547842
31,TweetDeck,"""In Maine, the state legislature passed renewable energy initiatives in the past year but they were vetoed by the G… https://t.co/qj9D8uPQMA",,False,Wed Oct 17 23:21:59 +0000 2018,20,1052701285286404096
10,Twitter Web Client,"Just a reminder — if you're not sure where your polling place is, here's where you can look it up!

https://t.co/BF4kFmi9Ux",,False,Tue Jun 12 12:54:19 +0000 2018,2,1006520069982244864
1,Twitter Web Client,Why did you join Team Janet? Send us a photo and your reason for supporting Janet for Governor to info@janetmills.c… https://t.co/wdWY2QTaCo,,False,Sat Dec 09 15:22:53 +0000 2017,0,939515701487906816
