favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
70,Twitter Media Studio,"Senator @TammyforIL and Senator @DickDurbin are fighting for our values every single day, and I am so honored to ha… https://t.co/xmqxLqhUS6",,False,Mon Dec 11 19:07:15 +0000 2017,33,940296943640727552
11,Twitter Web Client,"@JesseWhite2018 When I think about our values and the values I want to bring to my campaign and my administration,… https://t.co/hTM4Kz4wlV",JBPritzker,False,Fri Dec 15 20:51:19 +0000 2017,2,941772682084970497
266,Twitter Web Client,"Today we saw a sitting U.S. President cozy up to our enemies, disrespect our allies, disgrace our country, and emba… https://t.co/aLY684142w",,False,Mon Jul 16 21:42:45 +0000 2018,92,1018974240559726594
71,Twitter Web Client,"Bruce Rauner has done whatever he can to weaken unions; it’s disgraceful. With your help and your vote, we’re going… https://t.co/K4GFQ0Meuy",JBPritzker,False,Fri Nov 02 02:22:30 +0000 2018,20,1058182532179640321
34,Twitter Web Client,"While @BruceRauner forced a 736-day budget crisis on Illinois and wiped his hands of responsibility, real people ac… https://t.co/hPFpDe5ay1",,False,Wed Mar 21 18:20:01 +0000 2018,18,976523840284184577
10,Twitter for iPhone,Thank you to everyone who attended to learn more about my plans and to share their own ideas and concerns with me.… https://t.co/Fk45EDDyTe,JBPritzker,False,Sat Nov 18 01:57:44 +0000 2017,1,931702932906659840
9,TweetDeck,Join the team! RSVP for a #JBforGov Weekend of Action event near you: https://t.co/jbdxW0FhDg https://t.co/PWHx2P3y2p,,False,Thu Feb 15 20:10:00 +0000 2018,5,964230332244377600
19,Twitter Web Client,This proposal would allow religious and faith-based groups to deny abortion and healthcare services for transgender… https://t.co/Ij7vyyh6WK,,False,Tue Dec 19 21:41:53 +0000 2017,8,943234961322147841
17,TweetDeck,"Our statewide #JBforGov Weekend of Action is kicking off tomorrow!

It’s not too late to RSVP! Sign up here:… https://t.co/qaAajhOO77",,False,Fri Feb 16 15:30:00 +0000 2018,11,964522257598074885
38,Twitter Media Studio,"As the son and grandson of Veterans, I’ve seen the sacrifice brave men and women make for our country. That’s one r… https://t.co/qIU3aVh6ZA",,False,Thu Oct 11 19:02:00 +0000 2018,19,1050461531635298305
23,Twitter for iPhone,I’m heartbroken to hear about this senseless tragedy and keeping the officer and his loved ones in my thoughts duri… https://t.co/Tn3CNcGcTH,,False,Tue Feb 13 20:43:09 +0000 2018,8,963513899516678144
26,Twitter Web Client,It’s disgraceful that the U.S. Supreme Court is allowing Donald Trump to impose a poorly disguised religious test f… https://t.co/azqHMXQcVi,,False,Tue Dec 05 17:30:34 +0000 2017,15,938098283104362499
22,Twitter Media Studio,"Together, with State Senator @AndyManar, we’re going to make sure every child in Illinois gets the quality educatio… https://t.co/6BbrQljr2E",,False,Tue Dec 05 17:45:06 +0000 2017,7,938101941598425088
12,Twitter Web Client,"Our Veterans served us, defended us, and risked their lives for us. For them to come home expecting our support and… https://t.co/ploN70vGsd",JBPritzker,False,Tue Jan 30 17:54:05 +0000 2018,4,958397922974019585
28,Twitter for iPhone,"Today in Collinsville, Juliana and I were thrilled to be endorsed by Senate Majority Leader James Clayborne, Assist… https://t.co/0eLXPYUhKr",,False,Sun Dec 17 21:17:10 +0000 2017,8,942503962485428224
27,Twitter Web Client,This afternoon I spoke at the UAW Fall Conference about our commitment to protecting the rights of workers in Illin… https://t.co/7S4BpleATP,,False,Sat Oct 06 19:10:45 +0000 2018,7,1048651796485492736
37,Twitter for iPhone,I urge @BruceRauner to protect immigrant families and sign SB35. Immigrants in Illinois deserve a governor who will… https://t.co/4Q6u6HFrKz,,False,Sat Jul 14 15:22:58 +0000 2018,14,1018153890712293380
10,TweetDeck,"We’ve got an election in just 27 days, and if you haven’t signed up yet, join #TeamJB and commit to vote today! https://t.co/XjF2Y5KFv6",,False,Wed Feb 21 20:10:00 +0000 2018,8,966404659295412224
18,TweetDeck,"Honored to have the endorsement of the @IFTAFT and the 100,000 teachers, paraprofessionals, higher education facult… https://t.co/C8ML5FX4wA",,False,Wed Dec 20 20:10:00 +0000 2017,10,943574223951241216
2,Twitter for iPhone,"Eight months ago, I announced my campaign to be the next governor of Illinois. Every day I travel this state, meeti… https://t.co/qibnlrIcTM",JBPritzker,False,Fri Dec 08 17:53:11 +0000 2017,0,939191140313714690
13,TweetDeck,Want to help get Illinois back on track? Apply to be an Organizing Fellow today! https://t.co/L1jglhMgIX,,False,Thu Dec 21 21:40:00 +0000 2017,7,943959261599580161
55,Twitter for iPhone,"Illinoisans young and old, working families downstate and in Chicago, our middle class and those striving to get th… https://t.co/BHgvljJrWy",,False,Wed Mar 21 23:56:49 +0000 2018,20,976608601392414720
27,Twitter Media Studio,"Thank you for your kind words, @RepJGB! Juliana and I will fight to move this state forward with the support and pa… https://t.co/EkXpKvdEdR",,False,Thu Aug 02 15:37:04 +0000 2018,10,1025042809969987585
28,Twitter Web Client,It’s disappointing that @BruceRauner has continued to remain silent on this important issue. Illinois women deserve… https://t.co/thmwseigrN,JBPritzker,False,Wed May 16 16:56:49 +0000 2018,17,996796624637743104
51,TweetDeck,"Come join our hardworking team!
https://t.co/CkhjtxCatf",,False,Sun Jul 15 21:00:00 +0000 2018,25,1018601097240436736
28,Twitter for iPhone,Ending a fun-filled weekend in southern Illinois with a grassroots event with the Monroe County Dems! Thank you to… https://t.co/z4cOj4qsRo,,False,Mon Dec 18 00:01:36 +0000 2017,8,942545345132843009
53,TweetDeck,Let’s celebrate the LGBTQ community together! Come join Juliana and me as we march in the Chicago Pride Parade:… https://t.co/1qT01gjA6z,,False,Sun Jun 10 17:45:00 +0000 2018,13,1005868446461186048
59,Twitter Media Studio,"Unlike @BruceRauner, when I’m governor, I will be in charge. https://t.co/fWg4u7Zu7D",,False,Thu Sep 20 23:07:44 +0000 2018,17,1042913229599461376
25,TweetDeck,.@JulianaforLG and I were proud to receive the endorsement of the North Shore Baptist Ministers’ Alliance this afte… https://t.co/MOQL4EUmoW,,False,Mon Jun 25 19:13:49 +0000 2018,10,1011326614779695106
35,Twitter Web Client,There’s no better way to start Day Three of the #ThinkBigTour than with some door knocking in East Moline and Peori… https://t.co/51lDd9DCpf,,False,Mon Aug 13 19:44:49 +0000 2018,6,1029091423394639872
54,TweetDeck,Everything is at risk with Brett Kavanaugh’s nomination. We need a Supreme Court justice that won’t ignore the fact… https://t.co/Q3dke0BlXN,,False,Tue Jul 24 18:05:00 +0000 2018,22,1021818546400227328
24,Twitter Web Client,"In order to achieve true economic inclusion, our plan focuses on twelve areas of opportunity to create economic gro… https://t.co/dvlqYphP6I",,False,Mon Mar 05 23:48:33 +0000 2018,21,970808313200988162
9,Twitter Media Studio,"Don’t forget: Today is the LAST DAY to enroll in ObamaCare for 2018 coverage.

Visit https://t.co/lmwK1pefBP now to… https://t.co/dyfFVyZuHy",,False,Sat Dec 16 00:00:01 +0000 2017,3,941820171022254080
16,Twitter Web Client,"We need to invest in higher education, infrastructure, agriculture, manufacturing and small businesses to get our s… https://t.co/b896OaBzEp",,False,Mon Dec 11 18:27:38 +0000 2017,5,940286973603909632
28,Twitter Web Client,"I’m proud to have the support of fierce champions for Illinois and the environment, like State Rep. Heather Steans,… https://t.co/I91mRrYvRl",,False,Tue Jan 09 17:50:10 +0000 2018,11,950786791136735234
33,Twitter for iPhone,Your donation to Blue Wave Illinois 2018 will help mobilize voters and make sure that Democratic candidates are get… https://t.co/EsqZFrPcDM,,False,Sat Jul 07 22:38:38 +0000 2018,8,1015726814373826562
37,TweetDeck,I believe that a fair tax will allow the state to invest in important priorities like education and help rebuild th… https://t.co/bqnQ0AXY5S,,False,Fri Oct 12 00:25:02 +0000 2018,13,1050542827258728448
51,Twitter for iPhone,Excited to mark the one-year anniversary of the inaugural Women’s March by participating in the Women’s March to th… https://t.co/CV35FD31Cb,,False,Fri Dec 22 17:34:34 +0000 2017,13,944259883632914433
24,Twitter Web Client,"If @BruceRauner supports Roe v. Wade like he claims, I urge him to join me in calling on Donald Trump to allow the… https://t.co/Jo87BdV0aG",JBPritzker,False,Wed Jun 27 19:23:18 +0000 2018,8,1012053776906248192
45,Twitter Web Client,"This is a direct attack on immigrant communities by the Trump administration, and it can only worsen the response r… https://t.co/BjhlmnaGNs",,False,Tue Mar 27 14:11:28 +0000 2018,18,978635619592175616
