favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
42,TweetDeck,"I'm running for re-election to help make Oregon a better place to live, work and raise a family. You can join… https://t.co/hmxLcLGfOR",,False,Thu Aug 09 23:16:38 +0000 2018,13,1027695177228476416
13,TweetDeck,Oregon's future is looking bright! ✴️ #FridayCute https://t.co/7IPRDyWJon,,False,Sat Jan 06 01:40:00 +0000 2018,0,949455476910993408
11,TweetDeck,"Oregon must be a state where learning is valued, prior learning is recognized, and every Oregonian has access to tr… https://t.co/vuom1xR8NO",,False,Fri Sep 21 01:25:02 +0000 2018,3,1042947778983284737
16,Twitter Web Client,Special thanks to Representative @alonsonhli_leon for showing me around her wonderful community! #orpol,KateBrownForOR,False,Sun Sep 16 02:36:24 +0000 2018,4,1041153801657319424
41,TweetDeck,"On this #WorldRefugeeDay2018, my heart breaks for the children who are being separated from their parents. America… https://t.co/JmE50hzqwx",,False,Wed Jun 20 18:26:25 +0000 2018,18,1009502750122508288
32,TweetDeck,"I was thrilled to appoint Judge Lynn Nakamoto to the Oregon Supreme Court in 2015, when she became the first ever A… https://t.co/Xen2VWVcTC",,False,Thu May 17 17:20:07 +0000 2018,7,997164874554687493
26,Twitter for Android,These young women are planning an event at their middle school to advocate for #NetNeutrality. Great to meet some o… https://t.co/UzwGiiFTde,,False,Thu Feb 01 03:42:40 +0000 2018,1,958908429933805568
9,TweetDeck,"After all the excitement of the Clean Air Oregon signing the other day, we were in need of some serious… https://t.co/5csvYm3tHM",,False,Fri May 04 22:45:00 +0000 2018,3,992535592616517632
8,TweetDeck,"We're at T-35 days until the election. Remember to register to vote if you haven't, make your voice heard!… https://t.co/jbuUXas9Cl",,False,Tue Oct 02 21:28:00 +0000 2018,7,1047236783652720640
34,TweetDeck,"I will always stand with working Oregonians. We've raised the minimum wage and passed paid sick leave. Together, we… https://t.co/WrjBL4maMB",,False,Tue Oct 09 23:24:29 +0000 2018,17,1049802812517826560
14,TweetDeck,"I am not turning back on Oregonians’ access to quality health care. Regardless of what this administration does, I… https://t.co/LcEGPJYzOm",,False,Tue Jul 31 15:43:16 +0000 2018,10,1024319592141733889
30,Twitter for Android,"Amazing turnout in Oregon City, #TeamKate volunteers are the best! https://t.co/h0kZnPwXOb #orpol https://t.co/FiMYaLj2LS",,False,Sat Oct 13 19:22:14 +0000 2018,8,1051191400019124224
5,TweetDeck,An important move towards justice in our nation's history. We must keep up the fight. #CivilRights #orpol https://t.co/B4CwGKRflE,,False,Mon Jul 02 19:15:37 +0000 2018,3,1013863782630633472
5,TweetDeck,#ICYMI: Yesterday marked the beginning of Open Enrollment. Visit https://t.co/an9Q5xUgFB to learn your options and… https://t.co/CV8DgMtz3M,,False,Fri Nov 02 21:15:21 +0000 2018,2,1058467623023763456
20,TweetDeck,"We owe it to our future generations to not only claim responsibility for #ClimateChange, but to address it. Oregon… https://t.co/U8HruNRcze",,False,Wed Jun 06 00:36:19 +0000 2018,6,1004160020144054272
87,TweetDeck,@AynRandPaulRyan @BlueWaveCS @phillip_woodham @NHWolf75 @rpdandy @katkel_sc @rmontanez3rd @TopRopeTravis… https://t.co/3KopSpZEU3,KateBrownForOR,False,Thu Aug 30 20:58:33 +0000 2018,48,1035270572974866432
11,TweetDeck,A great weekend ahead! Looking forward to celebrating Oregon graduates and investing in the education and future of… https://t.co/tMnREveLet,,False,Fri Jun 15 17:44:22 +0000 2018,2,1007680226204119042
19,TweetDeck,My bill to #CloseTheLoophole has passed out of committee with bipartisan support. It now heads to the floor for a v… https://t.co/9ti5L0OgJn,,False,Sat Feb 10 00:28:34 +0000 2018,8,962121077622059008
8,TweetDeck,"Exciting events are happening across the state this weekend, including a canvass with @PPAdvocatesOR PAC and… https://t.co/YzhPRJ49ps",,False,Wed Sep 19 22:21:45 +0000 2018,7,1042539265572265985
6,TweetDeck,"2/2- The #AnnapolisShooting is a tragic reminder of how common gun violence is in America, and a wake up call that… https://t.co/zUDx2tSevY",,False,Tue Jul 03 17:58:43 +0000 2018,2,1014206820884180992
21,Twitter for Android,"Oregon is a very special place. All of the places on this list are astounding, and I especially love number 20.… https://t.co/kwSTnCNgu1",,False,Sun Jul 29 18:51:13 +0000 2018,6,1023642116675788801
8,TweetDeck,Thank you @OregonGuard and all those helping to provide clean water to the communities impacted by the Detroit Rese… https://t.co/CjZQj9jMaT,,False,Fri Jun 01 16:49:40 +0000 2018,4,1002593029654368257
79,Twitter for Android,Honk if you're on #TeamKate! #OregonVotes #orpol https://t.co/LncPgs1Y3Q,,False,Tue Nov 06 16:40:36 +0000 2018,27,1059848033066659840
41,TweetDeck,"You have 8 days to register to vote, Oregon! Have you updated your information? #vote #TeamKate #orpol… https://t.co/ioW9paRhLO",,False,Mon Oct 08 16:47:23 +0000 2018,36,1049340489957171202
23,TweetDeck,".@KnuteBuehler voted to take away healthcare from 430,000 Oregonians, including 80,000 Oregon kids when he voted ag… https://t.co/qp9QIOeIA8",,False,Fri Oct 05 02:41:39 +0000 2018,16,1048040492204613634
10,TweetDeck,"Small businesses are a labor of love. I’ve had a chance to visit with a lot of Oregon businesses, and hear their in… https://t.co/5e2JYKuN3I",,False,Sat Nov 25 17:05:00 +0000 2017,3,934467971824607232
39,TweetDeck,"Everyone deserves a safe, dry, warm place to call home. This year, we've funded the construction of hundreds of aff… https://t.co/kefgCaVfHK",,False,Tue Oct 09 16:18:05 +0000 2018,16,1049695506186653696
61,TweetDeck,"I'm proud to be out, and proud to be me. Happy #Pride. #orpol https://t.co/I7DtH3Dl37",,False,Sat Jun 16 21:49:53 +0000 2018,8,1008104401616007168
51,TweetDeck,"""Gov. Kate Brown has our backs."" Thanks for your support, Anita! #TeamKate #orpol https://t.co/E2RhxaTZw1",,False,Mon Oct 08 19:35:43 +0000 2018,22,1049382852570144768
8,TweetDeck,"It's true: if we can make meaningful change in prevention, treatment and recovery from substance abuse, we can crea… https://t.co/ylIWaUICnO",,False,Fri May 04 21:20:00 +0000 2018,1,992514202026856449
42,TweetDeck,"I will continue to fight for all Oregonians to have access to essential, quality care they rely on to live healthy… https://t.co/enXjJE1FQM",,False,Fri May 18 22:49:31 +0000 2018,14,997610162058772480
38,TweetDeck,"Just 16 days left until #ElectionDay! Oregon needs a governor who will stand up for Oregon values, and stand up to… https://t.co/S9zZCBtF4L",,False,Sun Oct 21 23:34:00 +0000 2018,15,1054153861156532224
5,TweetDeck,“Oregon’s economy is growing faster than previously thought. Payroll employment figures covering the spring and ear… https://t.co/tMH9sT0KpH,,False,Tue Aug 14 20:14:00 +0000 2018,2,1029461156547547137
44,TweetDeck,"@KateBrownforOR was here, at Roosevelt HS, during the student-led #MarchforourLives. It was an inspiring moment in… https://t.co/E6X8kMSAFa",KateBrownForOR,False,Wed Oct 03 02:10:22 +0000 2018,24,1047307843374706688
2,TweetDeck,@JennyH2026 My thoughts are with you all in southern Oregon this week -- we are using all of the tools in the toolb… https://t.co/KmVARTRNu4,JennyH2026,False,Tue Jul 24 23:51:53 +0000 2018,0,1021905841299963904
22,Twitter for Android,That's our governor! -#TeamKate https://t.co/mUPQm5IluU,,False,Sun Jan 07 18:06:30 +0000 2018,1,950066127064875008
20,TweetDeck,This is a great sign of progress for our state. I'm proud to have taken steps to address on the #OpioidCrisis in th… https://t.co/FBxbvJb7h1,,False,Sat Apr 14 00:10:00 +0000 2018,6,984946838712344576
10,TweetDeck,#TeamKate is amazing! #orpol https://t.co/4S47gealTt,,False,Wed Oct 10 00:51:31 +0000 2018,5,1049824716846821376
33,TweetDeck,"Under my leadership, we're making progress. There's more work to do, and my education plan that supports students f… https://t.co/lQxRt4Xv3h",,False,Sun Sep 30 22:36:00 +0000 2018,20,1046529119402352640
17,TweetDeck,"On Friday, we #WearOrange to remember lives lost, comfort grieving families, and stand united for a future in which… https://t.co/Ot7UUYue2D",,False,Tue May 29 23:45:00 +0000 2018,9,1001610388742508545
7,Twitter Web Client,"Ballots must be received by 8pm on May 15th, cast your vote today! #OrVotes #orpol https://t.co/AlovCjlCcq",,False,Mon Apr 30 16:58:52 +0000 2018,3,990998932556730368
26,TweetDeck,“@KateBrownforOR has long been a champion for caregiving families. We are proud to support a candidate with a stead… https://t.co/OeIsU0syeB,,False,Mon Oct 15 22:35:00 +0000 2018,5,1051964686185291776
7,TweetDeck,I'm proud to have support coming in from Oregonians statewide. Want to join #TeamKate? Visit… https://t.co/Y3g6IjZ1fC,,False,Fri Oct 05 19:11:06 +0000 2018,4,1048289493298475008
6,TweetDeck,"""Giving our students hands-on learning opportunities, and once they graduate, supporting them as lifelong learners… https://t.co/x1UKeYzYV4",,False,Wed Sep 26 23:50:00 +0000 2018,5,1045098193506062336
14,Twitter Web Client,"When the #ACA was under attack, Americans came together to defend healthcare. Let's do the same to defend #RoevWade… https://t.co/U8NQvfMs4N",,False,Thu Jul 05 23:08:31 +0000 2018,0,1015009558425624576
30,TweetDeck,"Fired up, ready to go! #TeamKate #OregonVotes #orpol https://t.co/NCLZDVUL44",,False,Sat Nov 03 20:24:00 +0000 2018,6,1058817088683470849
6,TweetDeck,Thanks M.E. for your support! I'll never stop fighting for Oregonians. #TeamKate #orpol https://t.co/2cIGxWU0ck,,False,Thu Aug 23 19:53:52 +0000 2018,0,1032717578555150337
97,TweetDeck,"Great news! 2018 could be the ""highest midterm turnout for young voters in at least 32 years."" #OregonVotes #orpol https://t.co/DJ23vPY2NL",,False,Fri Nov 02 23:44:00 +0000 2018,26,1058505032063242240
50,TweetDeck,"Oregonians want their friends, family, and neighbors to have the health care they deserve, so help us get the word… https://t.co/9vzmPRE29M",,False,Fri Nov 02 03:44:04 +0000 2018,24,1058203057446502401
18,TweetDeck,Thank you @ORfirefighters for your support and for your brave work serving Oregon communities. #TeamKate https://t.co/ghfmnIODIB,,False,Tue Apr 17 22:51:19 +0000 2018,11,986376587770671104
18,TweetDeck,Now Day 46. Congress must act on #CHIP. https://t.co/nFWuE8hQ0f,,False,Wed Nov 15 18:32:22 +0000 2017,14,930866078556684288
16,TweetDeck,"Thanks to all the #TeamKate volunteers and supporters! Remember, it's #ElectionDay, and ballots must be turned in t… https://t.co/jTYMH8HSbj",,False,Tue May 15 17:26:03 +0000 2018,15,996441593300189184
5,TweetDeck,I'll be live with @algore today at 4:30pm talking climate solutions. #24HoursofReality #ActOnClimate https://t.co/JFQdADHe65,,False,Mon Dec 04 18:02:12 +0000 2017,8,937743858263146496
122,Twitter for Android,"Today and every day, I stand with women and I stand with Planned Parenthood. That's why I'm proud to have signed th… https://t.co/K83qC5qBFQ",,False,Sun Aug 19 21:34:14 +0000 2018,44,1031293287066427393
2,TweetDeck,"Catch my State of the State address LIVE this Monday, February 5th at 9:30am #ORSOTS #orpol #orleg https://t.co/7fUdsrXCMG",,False,Fri Feb 02 22:55:13 +0000 2018,1,959560869771276289
12,TweetDeck,"Great news for healthcare access and providers in Oregon's rural communities! #orpol 

https://t.co/ZEeuovs0ao",,False,Sat Jul 14 19:41:00 +0000 2018,5,1018218825676828672
18,Twitter Web Client,"Today in Oregon, we put promises into action. The fight continues and I'm standing with you @davidhogg111,… https://t.co/zqCPifgaDA",,False,Thu Feb 22 20:42:02 +0000 2018,2,966775107153620992
15,TweetDeck,"Thank you @ORSierraClub for your endorsement! Oregon is a very special place, and I'm committed to conserving the b… https://t.co/3K0bnqJ5nt",,False,Thu Apr 26 20:00:25 +0000 2018,1,989595072340549632
17,TweetDeck,"Under Kate's leadership, Oregon's economy is booming. However, Kate knows that not all of this growth has been felt… https://t.co/R5jopLaDTj",,False,Fri Oct 05 02:48:07 +0000 2018,10,1048042119380619264
62,TweetDeck,Democracy really helped this contestant out! Glad the audience knew the right answer on #whowantstobeamillionaire. https://t.co/0xBQ1WzpwH,,False,Thu Nov 30 19:19:37 +0000 2017,22,936313787199537153
20,TweetDeck,So thankful for everyone who is on #TeamKate! #orpol https://t.co/vGYiORzjSJ,,False,Sat Oct 13 22:23:03 +0000 2018,8,1051236904987836416
20,Twitter Web Client,I’ve authorized the @OregonGuard to again make water available to @cityofsalem and residents impacted by the latest… https://t.co/Ul9DLLRrce,,False,Wed Jun 06 21:16:55 +0000 2018,6,1004472225997574144
32,TweetDeck,#TeamKate is still growing! Find out more: https://t.co/kgfVikAQp8 #VoteKate #orpol https://t.co/aTcI61iFOw,,False,Thu Nov 01 17:24:07 +0000 2018,30,1058047043979997189
32,TweetDeck,Parents are writing my office wanting to know what's being done to keep their children safe and to keep guns out of… https://t.co/2ASv118Zmq,,False,Tue Feb 20 22:39:58 +0000 2018,2,966080011831660544
13,TweetDeck,Write or call @SenatorCollins and @lisamurkowski and urge them to stand up for women's healthcare. #SaveSCOTUS… https://t.co/4meIMjFI1i,,False,Thu Jul 05 20:55:44 +0000 2018,5,1014976143177314304
24,TweetDeck,"History was made in Oregon this week! #orpol

https://t.co/O0qtX3bgY1",,False,Thu Jul 05 17:18:21 +0000 2018,10,1014921434655682560
