favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,Sentiment
1,Sprout Social,"The deadline to return and postmark your completed absentee ballot is only 5 days away on Monday, June 4! If you ha… https://t.co/6LYtH1a7TR",,FALSE,Wed May 30 13:59:01 +0000 2018,0,1.00183E+18,neg
8,Sprout Social,"There’s still time to get out, vote, and make your voice heard! Polls close in 2 hours at 7PM. Find your polling lo… https://t.co/PALkC6LFRu",,FALSE,Tue Jun 05 22:00:37 +0000 2018,2,1.00412E+18,neg
10,Sprout Social,Have you voted yet? There’s only 5 hours left to vote until the polls close at 7PM. Get out and vote before it’s to… https://t.co/Fj364sBPql,,FALSE,Tue Jun 05 19:00:12 +0000 2018,1,1.00408E+18,neg
3,Sprout Social,"We’re kicking off our grassroots campaign effort this Saturday, April 7 at our campaign headquarters in Montgomery.… https://t.co/tumjkq0E2C",,FALSE,Wed Apr 04 17:28:40 +0000 2018,0,9.81584E+17,neg
1,Sprout Social,"I’ve led a conservative fight to clean up Montgomery, and I’ve banned lobbyists from appointments by the Executive… https://t.co/zmPFhSXwqF",,FALSE,Wed Mar 28 18:00:39 +0000 2018,0,9.79056E+17,neg
8,Sprout Social,"Governor Ivey is traveling across Alabama on a statewide tour on Monday, June 4. We hope to see you at one of the s… https://t.co/lNljGN6zVQ",,FALSE,Sat Jun 02 18:33:00 +0000 2018,4,1.00298E+18,neg
4,Sprout Social,We are 11 days away until Primary Day and we need your help to cross the finish line with a win! Please click below… https://t.co/S2sr5DWstG,,FALSE,Fri May 25 17:08:45 +0000 2018,2,1.00006E+18,neg
15,Sprout Social,"BREAKING: Alabama is winning! Unemployment rate is down to 3.5%, its lowest rate in recorded history! *RT* to help… https://t.co/pi84ADiFh6",,FALSE,Wed Jan 17 15:45:21 +0000 2018,14,9.53654E+17,neg
11,Sprout Social,What an honor to join Amazon today at the groundbreaking ceremony in Bessemer. Working with world class companies a… https://t.co/B8P3VjmwtX,,FALSE,Tue Oct 02 20:30:14 +0000 2018,4,1.04722E+18,neg
4,Twitter Web Client,"We have an important election in November, and I need your help because the liberals are going to try to win this s… https://t.co/9q82Y6FCnb",,FALSE,Tue Jun 12 16:53:29 +0000 2018,2,1.00658E+18,neg
26,Sprout Social,I’m a tough-as-nails straight shooter who is cutting through political correctness and corruption. There’s nothing… https://t.co/LaNwFaktPc,,FALSE,Wed May 09 19:45:23 +0000 2018,12,9.94302E+17,neg
12,Sprout Social,We can’t change or erase our history - and we shouldn't tear it down either. That's why I signed a law to protect o… https://t.co/kGgMcdsnNj,,FALSE,Tue Apr 17 14:00:37 +0000 2018,9,9.86243E+17,neg
4,Sprout Social,"June 5 is fast approaching! Every vote matters in this election, and with only 10 days left until Election Day, we… https://t.co/8yZMZfOl7P",,FALSE,Sat May 26 17:05:01 +0000 2018,0,1.00042E+18,neg
5,Sprout Social,I signed into law the largest tax cut for Alabama’s middle-class in over a decade. Read more here: https://t.co/RpAnSmn6a0,,FALSE,Sun Mar 18 20:00:50 +0000 2018,3,9.75462E+17,neg
15,Sprout Social,"FINAL REMINDER: RSVP for a rally near you tomorrow, Monday, November 5 before it’s too late! We need your help to r… https://t.co/GaVoxvVWem",,FALSE,Sun Nov 04 15:31:00 +0000 2018,10,1.05911E+18,neg
24,Sprout Social,There are only 3 hours left to vote – have you voted yet? Your vote matters. Go out and vote before it’s too late.… https://t.co/gAnrkkeKlk,,FALSE,Tue Nov 06 22:00:14 +0000 2018,6,1.05993E+18,neg
0,Sprout Social,"We’re running out of time. The Ivey Campaign Grassroots Kickoff is tomorrow, and we need you there.. Don’t delay… S… https://t.co/o5vP7KwLkI",,FALSE,Fri Apr 06 20:01:01 +0000 2018,1,9.82347E+17,neg
1,Sprout Social,Today is the deadline to return your absentee ballot. Postmark your completed ballot TODAY so your vote will count!… https://t.co/jwTxaQe7Cj,,FALSE,Mon Jun 04 15:32:01 +0000 2018,0,1.00366E+18,neg
24,Sprout Social,"Team Ivey has had a busy weekend making calls and knocking on doors. All across the state, Alabamians tell us that… https://t.co/YvIOWzVUGT",,FALSE,Sun Sep 23 22:18:32 +0000 2018,10,1.04399E+18,neg
17,Sprout Social,Can’t make it to the polls on November 6? You can still make your voice heard by voting absentee. The deadline to r… https://t.co/4hF1ysuRVO,,FALSE,Wed Oct 31 16:19:07 +0000 2018,16,1.05767E+18,neg
15,Sprout Social,"17 years ago, our nation changed forever. Join me as we remember those who lost their lives, pray for their loved o… https://t.co/SucPSGdqqi",,FALSE,Tue Sep 11 14:30:11 +0000 2018,2,1.03952E+18,neg
