favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,TweetDeck,"Check out our revamped website, https://t.co/ooOhqcixXh! https://t.co/Wi3faMBKFe",,False,Tue Apr 17 22:15:00 +0000 2018,1,986367450139815936
31,TweetDeck,"FACT: We have continued to invest money into K-12 education, because investing in our kids is investing in their fu… https://t.co/Rz9XmI5GPz",,False,Sat Oct 13 13:24:48 +0000 2018,6,1051101446710661121
59,Twitter for iPhone,🔥🔥up to keep Iowa moving FORWARD! #NumberOneState https://t.co/M9tFm24CmU,,False,Sat Jun 30 16:16:55 +0000 2018,21,1013094035672764416
25,TweetDeck,"We have the 2nd lowest unemployment rate in the nation, and I'm just getting started. I need your vote to Keep Iowa… https://t.co/HxStxnYAzg",,False,Thu Oct 11 18:10:57 +0000 2018,9,1050448685719584768
19,Twitter Web Client,Can't thank these young people enough for choosing to make a difference and helping to create an even brighter futu… https://t.co/83R03j8xJU,,False,Thu Jul 26 19:43:45 +0000 2018,0,1022568174749999104
14,TweetDeck,"This election will be close, so we need you off the sidelines! Sign up to volunteer on our campaign and do your par… https://t.co/y9dfxJLdNb",,False,Tue Oct 23 21:10:00 +0000 2018,3,1054842398126284801
38,Twitter Web Client,"Yesterday I was able to take Kevin to @BassProShops Labor Day Festival. He got to spend some of his birthday money,… https://t.co/pRRhzzGc2a",,False,Sun Sep 02 16:18:30 +0000 2018,5,1036287257030864897
24,TweetDeck,"John and I share the same passion for education. Iowa must always be a place where you can work hard, dream big, an… https://t.co/QHYOdMfPr7",,False,Tue Aug 07 18:01:16 +0000 2018,4,1026891035102855169
29,Twitter Web Client,"While we have invested $765 million in new money for K-12 education, who can guess the last Governor to cut K-12 sp… https://t.co/MTnG0VP489",,False,Fri Aug 31 01:16:32 +0000 2018,15,1035335494052274177
24,TweetDeck,"Even with a low unemployment rate, there's more to do. We must prepare our state for the jobs of tomorrow, that's w… https://t.co/vYySpsYU2W",,False,Mon Aug 20 18:46:00 +0000 2018,8,1031613335672745985
17,Twitter for iPhone,Supporting LeAnn Hughes tonight and look forward to her being elected to the Iowa Legislature this November! She wi… https://t.co/5bB5XcgODa,,False,Tue Sep 11 00:57:06 +0000 2018,4,1039316872976580608
76,Twitter for iPhone,Getting ready to watch some @UNIFootball #UNIFight! https://t.co/Zp7urjnddu,,False,Sat Nov 03 18:04:03 +0000 2018,15,1058781870614368256
49,TweetDeck,We are getting things done for Iowans! https://t.co/wbS3SzjgBS,,False,Tue May 22 00:30:00 +0000 2018,7,998722612015632384
44,Twitter Web Client,Get out and vote today! #KeepIowaMoving https://t.co/gKEmPfba81,,False,Tue Nov 06 19:40:56 +0000 2018,17,1059893414731411457
21,TweetDeck,We reformed the tax code to help Iowa families keep more of their hard-earned money and spend it the way they see f… https://t.co/Y1TYbC53lv,,False,Tue Jun 19 14:06:00 +0000 2018,7,1009074824444907521
10,TweetDeck,We are helping Iowans find the skills they need for a good-paying job and a stable career. I am not going to stop u… https://t.co/pmhgoSQrdC,,False,Thu Jun 28 18:14:01 +0000 2018,5,1012398729091903489
81,Twitter for iPhone,Thank you West Des Moines for an awesome Independence Day Parade.    Love celebrating our country! 🇺🇸🇺🇸🇺🇸 https://t.co/hqFoNs4Cxg,,False,Wed Jul 04 02:07:45 +0000 2018,7,1014329887375740928
10,Twitter for iPhone,Great program - providing opportunities for our young people!! https://t.co/nGCysJRpri,,False,Sat Apr 28 22:26:08 +0000 2018,0,990356517525258245
39,Twitter for iPhone,"Just left Ankeny, the first of 9 stops with the Republican Team that will #KeepIowaMoving! https://t.co/l2n9dAwm1m",,False,Mon Nov 05 15:50:13 +0000 2018,7,1059472966357004289
31,TweetDeck,My @IowaStateFair numbers are in! https://t.co/SdRZ2t30Ww,,False,Fri Aug 24 21:00:00 +0000 2018,3,1033096609586982913
44,Twitter for iPhone,"Thrilled to be in Davenport supporting my friend @CournoyerIA, she's going to do great things for Iowa! https://t.co/fyiIGUDTRo",,False,Fri Apr 13 01:00:37 +0000 2018,5,984597190210408448
26,TweetDeck,"This year, we fought hard to put Iowans first.  
 https://t.co/yEDyOrPzqJ",,False,Tue Aug 28 13:43:11 +0000 2018,20,1034436231227162626
55,TweetDeck,"Iowa's unemployment is 3rd lowest in the country, the lowest in the Midwest. And we are not done expanding opportun… https://t.co/IAmGjrkKv7",,False,Wed Jun 20 21:45:00 +0000 2018,16,1009552724692733952
24,Twitter Web Client,Nothing beats a tractor made completely out of butter! Come celebrate @JohnDeere's 100th anniversary at the… https://t.co/lGrQ1qln9f,,False,Mon Jul 30 20:44:14 +0000 2018,4,1024032946280386560
20,Twitter Web Client,We only have 5 days to go! I need your vote to #KeepIowaMoving!  https://t.co/GwDM3Cp0FE https://t.co/9UDOntQut4,,False,Thu Nov 01 15:34:36 +0000 2018,10,1058019484202688512
20,TweetDeck,"Join my family and I for the 2nd Annual Kim Reynolds Harvest Festival on October 13th from 4-7pm, along with specia… https://t.co/910x77cei6",,False,Sun Oct 07 21:31:00 +0000 2018,7,1049049477653450752
12,TweetDeck,We need your help to keep Iowa the #1 state in the country. Sign up today: https://t.co/fUXQviwG2C,,False,Tue Aug 28 16:04:01 +0000 2018,4,1034471674274410496
63,Twitter for iPhone,Making my way through the Ankeny SummerFest Parade for a 2nd time! Thanks to everyone who came out https://t.co/g3aTz5BMdP,,False,Sat Jul 14 18:28:11 +0000 2018,5,1018200499940675585
5,Twitter Web Client,Come be a part of our team! Sign up to volunteer for our campaign below. #KIM https://t.co/qcFE2iPV1N,,False,Wed Oct 03 22:44:46 +0000 2018,2,1047618492076384256
134,Twitter for iPhone,Congratulations Cyclones!!! #LibertyBowl https://t.co/FpJ8ZJQMD1,,False,Sat Dec 30 21:53:11 +0000 2017,13,947224068872441856
15,TweetDeck,"This year, I signed into law the largest tax cut in state history. This was significant reform that helps Iowans ke… https://t.co/iDUiV24HRd",,False,Mon Sep 10 15:14:19 +0000 2018,4,1039170211264573441
6,TweetDeck,We need your help to keep Iowa the #1 state in the country. Sign up today: https://t.co/fUXQvif5b4,,False,Thu Aug 16 23:02:43 +0000 2018,0,1030228388051603456
17,TweetDeck,"We are investing in our education system, lowering taxes, and paving the way for good-paying jobs. As a result, we… https://t.co/GllRjvcMEG",,False,Fri Aug 03 16:31:55 +0000 2018,2,1025418998652039168
42,Twitter for iPhone,"Exciting morning with two incredible women, @IvankaTrump and @hinsonashley. Talking about how we #KeepIowaMoving th… https://t.co/Jb8EeU2udD",,False,Fri Nov 02 15:21:25 +0000 2018,18,1058378553010675712
82,Twitter for iPhone,"After several Fourth of July Parades, Kevin claims he got in more steps than me. That’s debatable! https://t.co/Bv7jcH4Xkf",,False,Thu Jul 05 02:12:28 +0000 2018,10,1014693465387610112
16,Twitter Web Client,Here's how you can get involved and help keep Iowa moving forward: https://t.co/qcFE2iPV1N,,False,Sun Aug 05 16:17:54 +0000 2018,4,1026140246143066113
16,TweetDeck,"Unemployment is at a historic low, but we can't stop now! As governor I want an Iowa with endless opportunity, and… https://t.co/L6Zygnkjhn",,False,Thu May 24 19:00:30 +0000 2018,5,999726852297187328
62,Twitter for iPhone,Couldn’t make a stop in Bettendorf without making a trip to @WhiteysIceCream with @adamgregg16! Their malts are del… https://t.co/xt2WgmYXUq,,False,Wed Sep 12 19:23:44 +0000 2018,6,1039957752326569985
14,TweetDeck,We may be the number 1 state but in Iowa we always go above and beyond. We want every Iowan to have a world class e… https://t.co/B0rQFI7pbw,,False,Fri Apr 06 16:15:00 +0000 2018,0,982290587616411649
156,Twitter Web Client,"I want to thank Sarah Sanders for coming to Iowa to support my campaign, here's what she had to say on Saturday: https://t.co/SNfLKovrYt",,False,Mon Oct 15 14:15:26 +0000 2018,64,1051838967593791488
9,TweetDeck,"We celebrate our freedoms, because of the brave men and women who sacrifice everything to defend our nation. To our… https://t.co/48Js8AJvtd",,False,Mon Jul 02 19:30:20 +0000 2018,0,1013867488382279680
42,Twitter for iPhone,"Busy day, but was able to stop by the Hamilton County Fair. One little girl introduced me to her calf Redbud! https://t.co/ieGNfbhrAF",,False,Thu Jul 26 21:47:44 +0000 2018,3,1022599376475238401
27,Twitter for iPhone,What an amazing crowd in Cedar Rapids tonight supporting @hinsonashley! Onto victory in November! https://t.co/avNIT3z72G,,False,Mon Aug 27 01:38:11 +0000 2018,5,1033891392735596544
31,Twitter for iPhone,"Taking part in the Walcott Days Parade, thanks to everyone who came out! Next stop is the Jones County Fair! https://t.co/MIHyOGtSDq",,False,Sat Jul 21 16:17:31 +0000 2018,4,1020704334915538945
58,Twitter for iPhone,RT if you want to #KeepIowaMoving! https://t.co/UZ76KBkoGM,,False,Wed Oct 17 22:37:39 +0000 2018,32,1052690128743882753
4,TweetDeck,"What food are you most excited to try this year? Tell us below. 
 https://t.co/JnnpNbtZWE",,False,Wed Jul 18 20:19:00 +0000 2018,1,1019677940618022917
28,TweetDeck,"This year, we got to work and put Iowans first. Proud to work with Democrats, Republicans, and important stakeholde… https://t.co/U4wO65cNDX",,False,Fri Aug 10 21:37:07 +0000 2018,4,1028032521995476993
29,TweetDeck,We passed Future Ready Iowa so that all Iowans can get the tools and skills they need to succeed. #PromiseDelivered https://t.co/Cbu9IwpGma,,False,Mon Apr 23 21:00:04 +0000 2018,6,988522919444828161
11,TweetDeck,We need you off the sidelines. Here’s how you can volunteer for my campaign today:        https://t.co/fUXQviwG2C,,False,Mon Aug 27 20:01:00 +0000 2018,4,1034168925339103232
29,TweetDeck,We are making positive changes to help those in need. https://t.co/Wa7L6JinYQ,,False,Mon May 14 22:05:15 +0000 2018,5,996149468184698880
18,Twitter Web Client,Gov. @KimReynoldsIA is about changing the culture in state government. https://t.co/aDvtnjnvO1,,False,Sun Oct 21 13:37:44 +0000 2018,10,1054003805107511296
30,TweetDeck,"Our unemployment rate is at a historic low! Incomes are rising, our budget is balanced, and we aren't going to stop… https://t.co/yLhJhaDDDP",,False,Sat Oct 13 15:46:00 +0000 2018,14,1051136982179561473
79,Twitter Web Client,Just. Getting. Started! https://t.co/yrVK2lMOE6,,False,Tue Aug 14 23:33:07 +0000 2018,27,1029511263750115328
44,Twitter Web Client,This Saturday!!!! It's Iowa vs. Iowa State! Go Cyclones! Who's going to the game on Saturday? https://t.co/1KY3Hm5Owf,,False,Wed Sep 05 13:45:24 +0000 2018,3,1037335895144386561
11,Twitter Web Client,"Since 2013, we’ve made great strides in improving Iowa’s mental health care system. We redesigned our system to ens… https://t.co/7IEHlUfayq",KimReynoldsIA,False,Sun Oct 14 23:26:47 +0000 2018,4,1051615332417380352
46,Twitter for iPhone,Watch out world! You know it’s campaign season when @JoniScotter is in the office making phone calls. Thanks to you… https://t.co/2US1hDfpPk,,False,Mon Aug 27 19:02:51 +0000 2018,8,1034154293429972992
23,Twitter Web Client,Looking great out there! https://t.co/3x2TsZDuqw,,False,Wed Aug 01 19:17:35 +0000 2018,2,1024735916726870017
37,Twitter Web Client,Sounds like he wants to raise taxes! https://t.co/x32U8cS7VG,,False,Fri Oct 19 20:14:35 +0000 2018,14,1053378902972948481
28,Twitter for iPhone,No better way to start the day then some coffee from @CabinCoffee! Highly recommend the Pumpkin Spice Palomino. https://t.co/EIidU5Pbd4,,False,Sat Sep 22 13:04:52 +0000 2018,4,1043486285606858752
50,TweetDeck,Join me to welcome Vice President Mike Pence to Iowa. Love having the opportunity to show off the #1 State in the c… https://t.co/3gpH8DXOTR,,False,Tue Jul 10 23:20:46 +0000 2018,5,1016824581561176064
25,Twitter Web Client,This type of success is happening all over our state. It's why I am so focused on workforce development and helping… https://t.co/8XYB6DXiCo,,False,Sun Apr 29 17:54:13 +0000 2018,4,990650477963632643
22,Twitter for iPhone,Proud to have the support of the @IowaFarmBureau ! Ag is the backbone of our economy and we will do everything we c… https://t.co/xjvmMBWN00,,False,Fri Sep 07 17:36:05 +0000 2018,7,1038118724530778112
27,TweetDeck,Earlier this week I was asked about @NancyPelosi's recent visit to Iowa. Here's what I said. https://t.co/tdxQrcKABR,,False,Sat May 12 23:00:30 +0000 2018,4,995438595858190336
123,TweetDeck,I'm honored and humbled to serve as Governor of this great state. Iowa is such a special place - the best place in… https://t.co/CigUOvVuGb,,False,Tue Jun 12 20:00:01 +0000 2018,15,1006627202413289473
7,TweetDeck,Iowa is a great state with low living costs and high paying jobs. We need your help to keep it that way. Go to… https://t.co/V9rm9ppIJc,,False,Wed Aug 08 19:54:00 +0000 2018,1,1027281794360586240
10,TweetDeck,.@paulinechilton from Dubuque is running for House District 99. She is passionate about improving the community and… https://t.co/b3St5kHd40,,False,Wed Apr 18 16:30:02 +0000 2018,2,986643022027747328
29,TweetDeck,Our unemployment rate is the 2nd lowest in the country! But there is still more to do. We won’t stop until every Io… https://t.co/8MuE1eE0Zz,,False,Sat Sep 08 13:35:41 +0000 2018,11,1038420611499024385
13,TweetDeck,We need your help! Become a part of #TeamReynolds today. https://t.co/qcFE2iyjDd,,False,Tue Jun 05 19:15:00 +0000 2018,5,1004079156001320960
