favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Twitter Web Client,Noem discusses endorsement by leading pro-life organization @SBAList during #SDPBDebate,,False,Wed May 30 01:21:59 +0000 2018,0,1001634797935046657
11,Twitter for iPhone,Hey folks. I want to hear from you. Head over to our Facebook page today for the very first Feedback Friday &gt;&gt;… https://t.co/l5nWvkshLw,,False,Fri Aug 31 16:24:09 +0000 2018,3,1035563906339614720
5,joe.sentry,Have you completed your absentee ballot application for the June 5 primary? Here’s what you need to know! https://t.co/YSJheuZjvP,,False,Tue May 15 23:10:04 +0000 2018,1,996528168327671809
55,Twitter Web Client,Honored by the support of the South Dakotans who know me best. As they’ll tell you - there’s no outworking me. As g… https://t.co/q61JBedo5g,,False,Wed Sep 12 21:25:04 +0000 2018,18,1039988286016679936
7,TweetDeck,South Dakota Veteran Don Ackerman talks about Kristi's work to keep the Hot Springs VA open. WATCH: https://t.co/9bCPjWffu8,,False,Fri Jun 01 00:41:22 +0000 2018,3,1002349348984885248
15,Twitter for iPhone,Thank you to the South Dakota Newspaper Association for hosting a debate today between the GOP Governor candidates.… https://t.co/QqrXNMb4fr,,False,Sat May 05 22:13:25 +0000 2018,4,992890034645856256
14,joe.sentry,"Tuesday, June 5 is the South Dakota primary election (yes, that’s tomorrow!), and I'm asking for your support and v… https://t.co/Qjy2QhDVSz",,False,Mon Jun 04 15:30:04 +0000 2018,5,1003660163478380545
24,Twitter Web Client,"With the passage of tax reform, SD farmers and ranchers will be seeing some changes. I went through those changes w… https://t.co/Xw1s6rDVBN",,False,Mon Feb 05 23:53:17 +0000 2018,15,960662644779900933
28,joe.sentry,If you live in Mountain Time Zone... Polls are official open! They'll stay open until 7:00PM. I would appreciate yo… https://t.co/VXIKQYh7RL,,False,Tue Nov 06 14:05:08 +0000 2018,13,1059808905813995520
19,TweetDeck,"The #Allin4Kristi bus is headed to Aberdeen. See you soon! 

When: 11:25am-12:05pm
Where: Aberdeen First Assembly (… https://t.co/rSv92RHe60",,False,Sat Nov 03 15:16:00 +0000 2018,4,1058739577341435904
20,TweetDeck,"Ellsworth is critical to natl security &amp; an economic engine. Proud to endorse SB40, which will support the base's l… https://t.co/I82libGlAS",,False,Fri Feb 02 16:00:00 +0000 2018,4,959456376996085760
22,joe.sentry,SD has a real choice in the June 5 gubernatorial primary. I won't grow govt. I just don't think you need a govt boa… https://t.co/a7iorwNvy6,,False,Fri Jun 01 13:15:05 +0000 2018,5,1002539029718552577
17,joe.sentry,You deserve to know who you’re voting for &amp; what that person’s vision is for the state. We gave our website a remod… https://t.co/wEsRvelW7T,,False,Thu Mar 08 00:30:05 +0000 2018,3,971543540441538562
32,Twitter for iPhone,"Such a fun night at Wessington Springs! Several stops along the way too. Foothills Bull Bash, Fast Draw, burgers pr… https://t.co/rhTs44jmix",,False,Sun Sep 09 02:35:24 +0000 2018,3,1038616833287487489
28,Twitter for iPhone,One of the big reasons why this election matters and why I’m asking for your vote on November 6. #prolife https://t.co/YClRbD2lw5,,False,Thu Oct 11 20:39:23 +0000 2018,9,1050486039721201666
15,Twitter for iPhone,Congratulations Faith Leiseth!!!! Super proud of you! New school record in discus and first place finish at Howard Wood!,,False,Sun May 06 17:12:57 +0000 2018,0,993176806772617216
8,Twitter Web Client,The trucking industry is an important part of South Dakota. I’m thrilled to see them standing by the historic tax c… https://t.co/dUyZj4EN39,,False,Fri Apr 13 20:06:25 +0000 2018,1,984885539735293952
33,Twitter for iPhone,Who needs a bouquet when you have a Kristi for Governor sign? Congrats Taylor and Nathan - and thanks for the suppo… https://t.co/qqEZHuVSqW,,False,Fri Jun 01 14:10:01 +0000 2018,2,1002552854975078401
24,Twitter for iPhone,Team Noem did a great job in the Quarry Days Parade in Dell Rapids this weekend! Thank you!! #Allin4Kristi https://t.co/XWihRCBiLF,,False,Sun Jun 24 21:49:52 +0000 2018,1,1011003497737801729
14,TweetDeck,"PIERRE!! Come join me for an #Allin4Kristi Rally tomorrow night! 

When: Nov. 3 - 7:45pm-8:30pm
Where: Ramkota Hotel, Gallery DE",,False,Sat Nov 03 00:31:00 +0000 2018,3,1058516860130344961
6,Twitter for iPhone,#Allin4Kristi https://t.co/kbBiDQu3xc,,False,Mon Jun 04 19:45:33 +0000 2018,2,1003724457943367681
54,joe.sentry,I hope today's celebration fills you and your family with the joy found in the empty tomb. Happy Easter! Christ is… https://t.co/Hd51FU75vF,,False,Sun Apr 01 13:30:03 +0000 2018,5,980437137739927552
27,Twitter for iPhone,Thank you Sioux Falls! The energy in this room was absolutely electric. #Allin4Kristi https://t.co/9etWoMT6Ri,,False,Mon Jun 04 22:53:13 +0000 2018,3,1003771683801530368
6,joe.sentry,"The average South Dakota police officer would owe $5,096 under the old law on Tax Day. Thanks to our historic tax c… https://t.co/oCDoONWroO",,False,Tue Apr 17 17:30:06 +0000 2018,2,986295752635842561
31,Sprout Social,Proudly supported important #2ndAmendment protections last week. The House passed a new bill to grant concealed car… https://t.co/hTcA844lU8,,False,Thu Dec 14 19:30:50 +0000 2017,13,941390039967260672
24,TweetDeck,"The #Allin4Kristi bus is headed to Sioux Falls with special guest @johnthune! 

When: 2:10pm-3:10pm
Where: Holiday… https://t.co/l22jfO4NJ0",,False,Mon Nov 05 18:01:00 +0000 2018,7,1059505877370241024
18,Twitter Web Client,Violent fugitives should not be able to find haven in our communities. Grateful to work with SD law enforcement &amp;… https://t.co/eGv31nUHTw,,False,Tue Jan 30 19:20:11 +0000 2018,6,958419592140992512
18,Twitter Web Client,".@rhodenforsd gets the vision, which is grounded in a commitment not to raise taxes or grow government, as well as… https://t.co/CgR6H8bmvD",,False,Tue Jul 03 20:15:51 +0000 2018,4,1014241330992738305
21,Twitter for iPhone,One of the things I’ve always admired about the veteran community is their relentless service. So many fought for o… https://t.co/HCkfBUPuwm,,False,Wed Sep 12 15:12:13 +0000 2018,7,1039894458119200768
23,Tweetbot for Mac,"SD does a lot of things right, but with some smart infrastructure investments, strong partnerships, a larger skille… https://t.co/iBMF2EFFV9",,False,Fri Mar 09 14:21:53 +0000 2018,8,972115260294488066
130,Twitter Web Client,Wishing a very happy birthday to my fellow tax reform warrior... President @realDonaldTrump! https://t.co/PziqSiDrBr,,False,Thu Jun 14 16:08:32 +0000 2018,27,1007293723015892992
11,Twitter for iPhone,So many people braved the snow and wind to come visit this morning about the SD Governor’s race and support our cam… https://t.co/3vH36Vewnc,,False,Wed Oct 10 18:09:19 +0000 2018,3,1050085887076384770
7,Twitter Web Client,There are two things families should never have to worry about when coming to South Dakota: Safety or their ability… https://t.co/zzuliJwNKY,,False,Thu Jan 18 21:22:56 +0000 2018,2,954101828043591681
0,joe.sentry,Absentee voting starts today. (Wow!) Learn more about absentee voting here&gt;&gt; https://t.co/0PVSPpq2xd https://t.co/06gc0yPD05,,False,Fri Apr 20 18:01:05 +0000 2018,0,987390712303046657
20,Twitter for iPhone,Honk if you see Team Noem in Sioux Falls! #Allin4Kristi https://t.co/L2lAcAB9tM,,False,Tue Jun 05 21:27:29 +0000 2018,5,1004112496008073216
11,TweetDeck,Q1: What are you going to do to help solve the workforce shortage?  &gt;&gt;Expose young kids to in-demand jobs early &gt;&gt;E… https://t.co/aLjGK4Vvmg,,False,Fri Jun 01 00:12:16 +0000 2018,6,1002342027592372225
29,Twitter for iPhone,Dakota Niners = Team Kristi 🏀 #Allin4Kristi https://t.co/OhUsm4v1XK,,False,Sat Jun 02 21:27:08 +0000 2018,8,1003025244825808896
8,Sprout Social,"The Great Plains area of the Indian Health Service is a train wreck. I stressed to Robert Weaver, who's been nomina… https://t.co/5jbS7LhjAs",,False,Wed Nov 15 20:27:04 +0000 2017,4,930894945065619456
16,Twitter for iPhone,Thank you to Don and AFP for hosting the forum last night in Sioux Falls! I appreciated the opportunity to share my… https://t.co/Lu3PfqwlpB,,False,Wed May 02 12:56:41 +0000 2018,5,991662763217965063
10,Twitter for iPhone,"I’ve talked a lot in this campaign about what it means to be a farmer, but no one can explain it quite like Paul Ha… https://t.co/HMcBn5H173",,False,Fri Jun 01 01:42:09 +0000 2018,1,1002364646484037632
8,Twitter for iPhone,First Stop on the #Allin4Kristi Tour: Webster! Thanks for the love and support! And thanks to @DustyJohnson for joi… https://t.co/QzR3S7gK8R,,False,Sat Nov 03 17:36:21 +0000 2018,1,1058774897067991040
14,joe.sentry,"Are you ready for Election Day? With only two more days to go until polls open, I wanted to share this voter portal… https://t.co/OskRSdeBkG",,False,Sun Nov 04 16:00:20 +0000 2018,7,1059113122500411394
25,Twitter Web Client,Half of Americans don't have $400 in their savings account. Tax reform is an opportunity to keep more money in thei… https://t.co/5iPG14NyEM,,False,Mon Jan 29 22:08:12 +0000 2018,10,958099483153326082
19,joe.sentry,"With a growing drug epidemic &amp; rising violent crime rate, SD's law enforcement officers step into danger every day.… https://t.co/7KnnvDsTcs",,False,Tue Jan 09 18:40:07 +0000 2018,0,950799361600053248
9,Twitter for iPhone,Team Noem was in Flandreau last night at the Moody County Parade! Always a great one. Wish I could have been there… https://t.co/KBVdQEjIPM,,False,Fri Jul 27 13:37:29 +0000 2018,1,1022838388452483072
18,Sprout Social,I am so grateful to be with family today (although a little nervous that they're all coming to my house!) I hope yo… https://t.co/a55CvymIRo,,False,Thu Nov 23 14:30:06 +0000 2017,2,933704213191852034
