favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,TweetDeck,.@stardem_news: New road funding will make getting around the Shore easier #MDGov #MDPolitics https://t.co/pbwQ8l3kUi via @stardem_news,,False,Wed Jun 06 21:00:01 +0000 2018,0,1004467973749288961
11,Twitter Media Studio,"Together, we have come up with real common sense, bipartisan solutions to the problems facing our state. I am incre… https://t.co/xFu76ikm5N",,False,Thu Oct 25 18:00:00 +0000 2018,2,1055519358338789376
269,Twitter Web Client,Congratulations to @BenJealous on a hard fought victory. I look forward to a vigorous debate on the direction of ou… https://t.co/w4aPG2w7To,,False,Wed Jun 27 03:12:49 +0000 2018,72,1011809549945327616
3,Twitter Web Client,"MedImmune spin-off Viela Bio to locate in Gaithersburg, create 100 jobs #MDPolitics #MDGov https://t.co/Dk9xgLegGV",,False,Mon Mar 05 14:38:44 +0000 2018,1,970669948250009605
7,Twitter Web Client,"“He’s creating jobs, fully funding education, fighting for Maryland’s seniors, protecting the environment and he’s… https://t.co/QBMFgM5OEM",LarryHogan,False,Sun Jul 08 14:10:22 +0000 2018,2,1015961293134721025
0,TweetDeck,.@BaltBizOnline: Gov. @LarryHogan lays out economic development initiatives for 2018 legislative session… https://t.co/W58KEUQ649,,False,Thu Dec 14 16:00:03 +0000 2017,1,941336993149210624
5,Twitter Web Client,"“Time and time again, Governor Hogan has proven that he is the right person to lead Maryland and that is exactly wh… https://t.co/iG1E71ZHwF",LarryHogan,False,Fri Jul 13 15:00:24 +0000 2018,0,1017785822907633664
6,Twitter Web Client,"#FACT @GovLarryHogan provided record funding for K-12 education four years in a row, totaling over $25 billion… https://t.co/reArA0ghXX",,False,Mon Sep 24 15:58:19 +0000 2018,3,1044254712890118144
0,Twitter Web Client,#FACT @GovLarryHogan enacted the Justice Reinvestment Act -- the most comprehensive criminal justice and public saf… https://t.co/I8dqxMI99T,,False,Mon Sep 24 15:18:13 +0000 2018,2,1044244620539047936
8,Twitter Ads Composer,#FACT: @GovLarryHogan pushed for and enacted bipartisan comprehensive crime legislation to increase penalties for i… https://t.co/saf5jVKWzJ,,False,Mon Sep 24 23:15:00 +0000 2018,5,1044364608662716416
45,TweetDeck,"Fraternal Order Of Police Unanimously Endorses @GovLarryHogan #MDPolitics #MDGov
https://t.co/JTqQF8soPF",,False,Thu Aug 23 11:49:25 +0000 2018,26,1032595661697503233
41,TweetDeck,"Together, we have put Maryland on a new and better path, and we can't afford to turn back now. #MDGov #MDPolitics https://t.co/zOBBsXweIs",,False,Mon Jul 02 02:05:34 +0000 2018,15,1013604563352457216
10,Twitter Web Client,"Retired Maryland Circuit Court Judge Michael Algeo: ""...However, the selection of Mr. Jealous leaves moderates like… https://t.co/EQgnkj5TUF",,False,Mon Jul 16 12:45:18 +0000 2018,3,1018838990005460992
52,Twitter Web Client,"""In polarized times, @GovLarryHogan has stuck to the political middle, from where he has fashioned agreements that… https://t.co/ar8jkn7MdC",,False,Wed Oct 10 20:25:15 +0000 2018,18,1050120095878565890
