favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
5,joe.sentry,Campaigning is a family affair in the Gordon household! Thanks to Jennie &amp; Bea for taking to the road this past wee… https://t.co/B3Ypqgoseh,,False,Wed Jun 06 14:40:09 +0000 2018,2,1004372376409264130
4,joe.sentry,"Traveling all across Wyoming is one of the best parts of my job! As Treasurer, I’ve worked hard to safeguard our st… https://t.co/KYLzblsynu",,False,Fri Apr 27 18:40:04 +0000 2018,1,989937238988460037
3,joe.sentry,"I was proud to join citizens from across our state today in Gillette to urge the EPA to repeal this wrongheaded, co… https://t.co/0N6aPA811c",,False,Tue Mar 27 21:00:11 +0000 2018,0,978738477591298048
6,joe.sentry,"It’s branding time at our family ranch outside Kaycee! A big thank you to the friends, family and crew – young and… https://t.co/LYOj4lYE2N",,False,Fri May 04 02:01:02 +0000 2018,0,992222539073155072
0,Twitter Web Client,Judge Kavanaugh is a strong choice to serve our nation in upholding the laws of our land. His impressive credential… https://t.co/iXCvKPxENn,,False,Tue Jul 10 21:45:24 +0000 2018,0,1016800582613590017
1,joe.sentry,"A skilled workforce is absolutely critical to the future of both hospitality &amp; tourism in Wyoming. As Gov., I'll wo… https://t.co/pK4wC9a08e",,False,Thu Jul 19 15:00:06 +0000 2018,1,1019960073974697984
8,Twitter Web Client,"I’m disappointed a federal judge intervened in this way. As Governor, I will work to change the misguided narrative… https://t.co/JJ7MEPQn5F",,False,Mon Sep 03 22:23:04 +0000 2018,1,1036741392687611904
6,joe.sentry,Wyoming's ranchers and agricultural community are part of the special fabric of our state's culture. Had a wonderfu… https://t.co/mAVjJvyKTW,,False,Fri Jun 29 15:00:21 +0000 2018,1,1012712381947006976
16,joe.sentry,We're just TWO days away from the November 6th election. Do you know where your polling place is? Find out now and… https://t.co/GFGx1l8oxI,,False,Sun Nov 04 19:00:08 +0000 2018,5,1059158369095835648
2,joe.sentry,Developing our natural resources and being responsible stewards of our land are not mutually exclusive. As governor… https://t.co/0wQydUBqRI,,False,Wed Aug 01 20:00:05 +0000 2018,1,1024746609505181696
23,Twitter Web Client,"The polls have closed and we're so thankful for all the volunteers who knocked on doors, made phone calls, put up y… https://t.co/TrmUfYFxlV",,False,Wed Aug 22 01:08:16 +0000 2018,4,1032071926007701504
2,Twitter Web Client,"At the Fourth of July Parade in Saratoga, John and Diana Espy caught everyone's eye with their 1957 John Deere 620… https://t.co/dRTSo9Zqzj",,False,Mon Jul 09 20:38:18 +0000 2018,2,1016421305183240192
3,Twitter Web Client,It was great to join the @r2rpcast to talk about Wyoming public lands and wildlife issues. We must protect our way… https://t.co/Lum9zWLBbf,,False,Thu Mar 08 17:31:02 +0000 2018,0,971800471018065920
3,Twitter Web Client,"“I’m supporting Mark Gordon because I think Mark Gordon is the best candidate for Governor, plain and simple.” – WY… https://t.co/HHWeRsRpk4",,False,Tue Jun 12 14:45:30 +0000 2018,1,1006548050326769665
6,Twitter Web Client,"“He is what Wyoming is about. He’s a rancher, he’s a father, everything before a politician.” For decades, I’ve ran… https://t.co/rpQ5V9DpCf",,False,Wed Jul 11 18:45:30 +0000 2018,3,1017117697807708160
9,Twitter Web Client,"This campaign is a family affair for the Gordons! My daughter Anne &amp; nephew Ross have been campaigning in Alpine, F… https://t.co/V74CkJLfky",,False,Fri Aug 10 19:54:51 +0000 2018,2,1028006784664064000
4,joe.sentry,"I appreciate your support, Glenn!  “Mr. Gordon’s experience in state government serving on numerous boards as one o… https://t.co/0hUsB09TiS",,False,Tue Oct 16 20:00:03 +0000 2018,1,1052288081968156673
2,Twitter Web Client,"Should I be fortunate enough to be elected to serve as Governor, I look forward to working hand-in-hand with Senato… https://t.co/0cZSFrjbTZ",Mark_Gordon_WY,False,Sun Oct 14 19:38:56 +0000 2018,0,1051557988681551872
2,joe.sentry,"It was wonderful meeting everyone at our events in Laramie, Buffalo, and Rawlins. Your enthusiasm for Wyoming is in… https://t.co/zKAU5hZ0m4",,False,Thu Mar 29 16:00:12 +0000 2018,1,979387759595962368
1,joe.sentry,In case you missed it: State Auditor nominee Kristi Racines and I are committed to financial transparency in Wyomin… https://t.co/CTEdRSalKM,,False,Fri Oct 26 22:00:03 +0000 2018,0,1055942156463017984
0,Twitter Web Client,"KTWO provided great coverage of our campaign announcement last week. As Wyoming State Treasurer, I know what it tak… https://t.co/1UUxAz1QTw",,False,Wed Mar 21 19:01:44 +0000 2018,1,976534339310817283
2,joe.sentry,"“Mark's commitment to WY agricultural, energy and recreational bases is total and he brings thoughtfulness, educati… https://t.co/ojlMB4MlYI",,False,Thu Aug 16 14:00:04 +0000 2018,2,1030091825682554880
4,joe.sentry,"If you ever had doubts, I can assure you Wyoming's future is in great hands. University of Wyoming students present… https://t.co/lVSltDImLm",,False,Tue Apr 24 15:15:08 +0000 2018,1,988798503248941056
4,Twitter Web Client,"With last month's primary victory, Team Gordon is sprinting all the way to November. Volunteer by joining our team… https://t.co/1Yg0xuoDBV",,False,Fri Sep 07 14:28:59 +0000 2018,3,1038071636308701184
16,Twitter Web Client,I'm proud to have the support of the WY GOP and fellow conservative candidates for Governor who joined me in signin… https://t.co/A40JOWkgWb,,False,Fri Aug 31 15:13:44 +0000 2018,5,1035546184318963712
2,Twitter Web Client,"Wyoming’s natural resources are second to none. As Governor, I will work to smartly leverage our state resources to… https://t.co/SzR3xgwRcH",,False,Mon Jul 09 23:42:13 +0000 2018,1,1016467593127919616
6,joe.sentry,"Happy Easter from the entire Gordon family! We hope you are enjoying this day with your friends, family members, an… https://t.co/0HigZy2vas",,False,Sun Apr 01 14:00:12 +0000 2018,1,980444722559963136
3,joe.sentry,"Great visit to Gillette, where I discussed a number of my policies for Wyoming. By protecting &amp; promoting natural r… https://t.co/aKeTyaof7d",,False,Tue Jul 31 14:00:04 +0000 2018,0,1024293622060072961
7,Twitter Web Client,Door-to-door is happening now! Thanks to the Legerski family for hitting the pavement in Cheyenne this weekend.… https://t.co/MG1c2qbESo,,False,Sun Jun 24 21:12:10 +0000 2018,4,1010994010998104064
1,Tweetbot for Mac,Please join me in celebrating the wonderful teachers and educators who go above and beyond every day to prepare Wyo… https://t.co/boeIaKLcVr,,False,Tue May 08 18:56:01 +0000 2018,0,993927517626159106
4,Twitter Web Client,"“Mark Gordon understands rural economics, small business, payroll and wages. Like most Wyoming citizens, he believe… https://t.co/RtCX6bs0mO",,False,Wed Aug 08 14:07:06 +0000 2018,2,1027194496256237568
