favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
18,Twitter Web Client,"Thanks for all of your hard work, Chris! I promise to be a governor that stands up for educators and students and f… https://t.co/3OqXuYwvS6",,False,Sat May 05 17:36:13 +0000 2018,5,992820274830569473
76,TweetDeck,"Being multicultural in New Mexico is one of our greatest strengths. As governor, I’ll appoint a task force to make… https://t.co/ufRFbHyNXl",,False,Sun Oct 28 23:31:12 +0000 2018,22,1056689870150631424
6,Twitter Web Client,"Join #TeamMichelle this Saturday, April 28th at 10am at our ABQ HQ for Donuts &amp; Door Knockin'! We're a little more… https://t.co/wEcv0ilj8y",,False,Thu Apr 26 23:55:15 +0000 2018,0,989654171182809088
12,Twitter for iPhone,Great energy at today’s event in Tierra Amarilla about creating good-paying jobs and investing back in rural New Me… https://t.co/WYomY62iKx,,False,Sat Oct 13 20:49:40 +0000 2018,4,1051213402419286016
21,Twitter Web Client,"You're incredible, Cheryl! Thank you for being such an involved member of the community and for dedicating your tim… https://t.co/AWAdeUiMth",,False,Fri May 11 02:16:47 +0000 2018,3,994763216579313667
16,Twitter Web Client,An incredible group of supporters at our Las Cruces office this afternoon during my southern swing today! So glad I… https://t.co/yzh1slaopj,,False,Sun Jun 03 22:28:39 +0000 2018,1,1003403114420957184
10,Twitter Web Client,#TeamMichelle was out in full force at today's High Plains Women's Expo in Clovis! Thanks to everyone who stopped b… https://t.co/9sd6Lon6p5,,False,Sat May 05 21:13:51 +0000 2018,2,992875043263692800
37,Twitter Web Client,Thank you to @NEANewMexico for having me today and thank you to every single educator across this state who is work… https://t.co/VpymcWIIms,,False,Sat Oct 27 22:05:40 +0000 2018,13,1056305957616013312
17,Twitter Web Client,New Mexicans for Michelle's statement on high risk pools: https://t.co/kF369mVe72 #nmpol #TeamMichelle https://t.co/VBzfxEHmr2,,False,Thu May 31 23:28:53 +0000 2018,10,1002331107369472000
40,Twitter for iPhone,".@Morales4LtGovNM and I are working hard to build a stronger, more prosperous New Mexico for all our families. We n… https://t.co/WTdAV6CvWT",,False,Tue Sep 04 23:55:22 +0000 2018,17,1037127009879482369
