favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
106,Twitter for iPhone,"In 6th grade, I would bounce my basketball past @FranDeWine’s house. One day I showed up at her door with a silver… https://t.co/ZF9l3dgcw2",,False,Sat Oct 20 22:45:15 +0000 2018,17,1053779206872666116
58,Twitter for iPhone,I’m proud of the work we have done in Ohio to lock these predators behind bars and ensure we are getting justice an… https://t.co/CthGYf0Fft,,False,Thu Aug 16 20:39:27 +0000 2018,23,1030192335584473089
20,Twitter for iPhone,Thank you to @OhioRepGavarone for hosting us at @MrSpotsBG along the Rock Solid Conservative tour this morning &amp; fo… https://t.co/RVuUmHJlXV,,False,Fri May 04 15:47:16 +0000 2018,5,992430468153913344
92,Twitter for iPhone,"Happy Father’s Day to all fathers and to those who serve in the role of father! My dad died ten years ago, and I st… https://t.co/YFJ259QoP2",,False,Sun Jun 17 14:01:44 +0000 2018,20,1008348974410067968
15,Twitter for Android,A unique event that's always a good time! https://t.co/5QaHfsVjel,,False,Sun Mar 11 17:36:52 +0000 2018,1,972889102319308806
29,Twitter for Android,Happy New Year from @JonHusted and I. Here's to a great 2018! https://t.co/Jnw2khuXcO,,False,Sun Dec 31 14:24:20 +0000 2017,9,947473500113162241
40,Twitter for iPad,Happy birthday to the great State of Ohio! Also want to say happy birthday to my friends and tremendous supporters… https://t.co/ZpnAfVLIkO,,False,Thu Mar 01 13:33:33 +0000 2018,13,969203993158316032
13,Twitter for Android,Fran and I are finishing up a busy day in southern Ohio. I'm getting ready to speak to the Gallia County Republican… https://t.co/86JK73GK7j,,False,Thu Mar 01 23:51:41 +0000 2018,5,969359552222294016
23,Twitter for iPhone,Thanks to everyone who braved the rain and came out in Central Ohio this afternoon to go door-to-door for the… https://t.co/7REyVslR7z,,False,Sat Sep 08 16:45:38 +0000 2018,7,1038468414728232960
31,Twitter for Android,Having a great time at the Pickaway County Republican Lincoln Day Dinner tonight. Glad to have the support of State… https://t.co/B2KiOfYNlA,,False,Fri Mar 09 00:48:38 +0000 2018,8,971910596521287681
13,Twitter for Android,Check out this video from some of our stops on my Fight the Crisis tour last week. https://t.co/VJIJIGN6qv,,False,Mon Nov 20 19:17:50 +0000 2017,6,932689460805988352
45,Twitter for iPhone,. @JohnKasich &amp; @MaryTaylorOH have made great progress with the Common Sense Initiative to cut regulations.… https://t.co/d7tCiYVBp6,,False,Wed Oct 24 11:57:53 +0000 2018,17,1055065841606295552
31,Twitter for iPhone,"Thanks to our family, friends and many volunteers who joined us this weekend for the Grove City Arts in the Alley P… https://t.co/R3zw04lVvM",,False,Mon Sep 17 20:43:32 +0000 2018,13,1041789775387262977
211,Twitter for iPhone,Just voted! ✔️ https://t.co/oxJGOjJz8j,,False,Tue Nov 06 13:49:52 +0000 2018,49,1059805065073098753
75,Twitter for iPhone,Great to be in beautiful Geauga County! https://t.co/6JCGNk9bX2,,False,Sun Nov 04 22:16:33 +0000 2018,25,1059207801887690753
158,Twitter for iPhone,My office was in court today working to #SaveTheCrew! https://t.co/jC9CcdGHxU,,False,Tue Sep 04 21:32:41 +0000 2018,40,1037091100870230016
62,Twitter for iPhone,Fran &amp; I were honored to lay a wreath at the Law Enforcement Memorial in D.C. to honor fallen Westerville Police Of… https://t.co/xwwNwt5MrB,,False,Thu May 17 23:41:11 +0000 2018,19,997260772911742978
56,Twitter for iPhone,Fran and I had a great time taking a few of the grandkids to the Easter Egg hunt at the community park in Cedarvill… https://t.co/orFcvmiLO0,,False,Sat Mar 31 23:45:17 +0000 2018,6,980229576063373312
31,Twitter for Android,"Happy Thanksgiving!  Here is the turkey our son, John, raised on their organic farm! https://t.co/DqC77vZvzx",,False,Thu Nov 23 20:23:40 +0000 2017,2,933793189265313792
30,Twitter for iPhone,It was great to speak at the first ever Soapbox at the @OhioStateFair! https://t.co/5eQdjSNZR1,,False,Sat Jul 28 18:51:34 +0000 2018,8,1023279815095472128
42,Twitter for iPhone,"Last night, @FranDeWine &amp; I stopped by the Minster Oktoberfest before heading home! Thanks to everyone who came out… https://t.co/4S47RCxeaa",,False,Sat Oct 06 13:10:37 +0000 2018,12,1048561164362440704
3,Twitter for iPad,"@lbischoff Those were pretty cool shoes, right?",lbischoff,False,Fri Jan 05 17:21:30 +0000 2018,0,949330026268430337
21,Twitter for iPhone,Thanks for all your help - and to the County GOP leaders who are coming in from across the state to help our campai… https://t.co/UhPpgda8Kg,,False,Sat Aug 18 15:17:00 +0000 2018,4,1030835965080817664
64,TweetDeck,I strongly disagree with the court's ruling that there's a categorical right to abortion that prevents any consider… https://t.co/CgO2V8Ufpa,,False,Fri Mar 16 11:53:50 +0000 2018,28,974614716378157056
28,Twitter for iPhone,Just arrived at @700wlw to talk with @Willie700WLW at noon! Listen live here: https://t.co/6VYIDoYbVM https://t.co/NH4jhCO1hN,,False,Mon Sep 17 15:48:51 +0000 2018,5,1041715615055138817
41,TweetDeck,I was on CBS News this Sunday talking about Ohio's opioid epidemic and what I'm doing to hold the companies who lie… https://t.co/IfOpFYLXo2,,False,Mon Feb 26 13:19:44 +0000 2018,28,968113353301381120
124,Twitter for Android,Fran and I voted this morning in Cedarville and talked with Dayton TV. Get out and vote today on this beautiful day! https://t.co/zaehiWlgma,,False,Tue May 08 12:53:01 +0000 2018,24,993836168591675392
10,Twitter for Android,"""As governor of this state, my focus will always be on jobs. I know that small businesses like this one are where O… https://t.co/xjuKVInNmJ",,False,Thu Dec 21 18:04:53 +0000 2017,2,943905124522647552
29,Twitter for iPhone,Great to visit with friends and supporters in Urbana today! https://t.co/VkN9rfVXFI,,False,Sat Oct 20 18:37:28 +0000 2018,9,1053716848250970112
37,Twitter for iPhone,I was honored to speak and answer questions tonight at the Asian American Commerce Group Candidate Forum. https://t.co/uapScjF24b,,False,Mon Oct 29 01:03:33 +0000 2018,19,1056713111758090240
84,Twitter for iPhone,"Fran and I are saddened by the violence that occurred this weekend, both in the Kentucky grocery store and in the S… https://t.co/NY9tVzYDyn",,False,Mon Oct 29 00:02:17 +0000 2018,21,1056697696470339589
48,Twitter for iPhone,"So glad the bus took a detour to Tom’s Ice Cream Bowl. Thanks for having us, Bill Sullivan! https://t.co/TSh8iS4CYH",,False,Thu Oct 25 20:36:29 +0000 2018,13,1055558739619659778
50,Twitter for iPhone,.@FranDeWine and I had a great time with the team at the Grove City Arts in the Alley Parade this morning! So grate… https://t.co/DPaCAwURk1,,False,Sat Sep 15 15:00:38 +0000 2018,22,1040978703424135169
103,TweetDeck,"Today, all 13,931 old, untested rape kits have been completed. We've indicted more than 650 rapists in Cuyahoga Cou… https://t.co/ua87Em4wFW",,False,Fri Feb 23 14:29:32 +0000 2018,68,967043753268609024
27,Twitter for iPhone,"We’re kicking off the Red, White, and Bluegrass tour this morning in Fairfield w/@RadioRamblers at @JungleJimsMrkt!… https://t.co/i9NuIlIOh5",,False,Sat Oct 13 17:33:10 +0000 2018,13,1051163951193567233
85,Twitter Web Client,#MemorialDay is a chance for every American to express gratitude to the many men and women who have given their own… https://t.co/7U0OJ0R7ON,,False,Mon May 28 12:26:42 +0000 2018,32,1001077300316778496
14,Twitter for iPhone,"Richland County✅♥️ Meet us in Stark County for our final stop of the day! -Anna

#HeartOfItAll #FranFor1stLady https://t.co/pKW2R1aBYw",,False,Wed Oct 17 21:28:42 +0000 2018,6,1052672779437391883
28,Twitter for iPad,@joevardon I think whenever @KingJames starts dancing the rest of the NBA should be worried! https://t.co/4dxDQudK8F,joevardon,False,Tue Feb 13 15:50:03 +0000 2018,9,963440136292847619
44,Twitter for Android,#NewProfilePic https://t.co/ggPqXtkJiW,,False,Thu Nov 30 18:23:29 +0000 2017,9,936299660934828032
18,Twitter for Android,Getting ready for events in Miamisburg and Lebanon today with @JonHusted. Looking forward to taking about some grea… https://t.co/GpSRalj3Vo,,False,Thu Dec 21 14:14:12 +0000 2017,10,943847070607093761
67,Twitter for iPhone,"Glad to be with the next great Congressman from #Ohio, @Troy_Balderson this morning! #OHGov #OH12 https://t.co/XWXNudox3M",,False,Sat Jun 09 15:11:15 +0000 2018,20,1005467364480217089
25,Twitter for iPhone,We have a great team across Ohio working hard every day to move our state forward! #OHGov https://t.co/CGcgwhmZCY,,False,Fri Oct 19 00:30:21 +0000 2018,2,1053080879579435013
43,Twitter Web Client,"""When it comes to Medicaid Expansion, I believe there needs to be a reasonable work requirement, and I believe we n… https://t.co/jxVPUXzEhd",,False,Mon Oct 08 23:10:47 +0000 2018,19,1049436978234699777
19,Twitter for iPhone,I’ll be live on @1370wspd w/@fredlefebvre in just a minute! Tune in to hear more about our workforce and jobs initi… https://t.co/D6B2KwteNz,,False,Mon Aug 20 12:35:40 +0000 2018,4,1031520140268134400
119,Twitter for iPhone,"3 MILLION VOTERS CONTACTED! Thank you to everyone who has made calls and knocked on doors to elect me, @JonHusted &amp;… https://t.co/klUOOTa8iH",,False,Sun Sep 30 23:12:55 +0000 2018,52,1046538411493011457
47,Twitter Web Client,"The @OhioChamber represents some of Ohio's greatest job creators &amp; they know that on #DayOne, @JonHusted and I are… https://t.co/gQek5SOjk5",,False,Mon Aug 06 17:34:22 +0000 2018,20,1026521879933341697
17,Twitter Web Client,.@JonHusted &amp; I believe every student should be college or career ready when they graduate &amp; we're proud to have ea… https://t.co/HY9GskQRuX,,False,Fri Jun 01 14:57:55 +0000 2018,8,1002564909551489024
7,Twitter for Android,Tremendous crowd here at @ThinkPatented. It's safe to say these guys never run out of paper! https://t.co/SpfKI9Rn5h,,False,Thu Dec 21 15:09:42 +0000 2017,1,943861041301159936
38,Twitter Web Client,"""@JonHusted and I have a plan - it's a plan for education - it's a plan for prosperity - it's a plan to move all of… https://t.co/zZQVbBjHAM",,False,Mon Oct 01 23:04:07 +0000 2018,17,1046898584032034818
116,Twitter for iPhone,Proud to have the support of many law enforcement officers across the state who work hard every day to keep our com… https://t.co/PXxl5XIU16,,False,Tue Nov 06 21:43:43 +0000 2018,35,1059924311975305217
43,Twitter for iPhone,We kicked off the day in Jackson County! https://t.co/8x0bF4qClW,,False,Sat Oct 27 14:32:05 +0000 2018,16,1056191813009203200
47,Twitter for iPhone,Thanks to everyone who came out to welcome @FranDeWine &amp; I to Marietta for this evening’s debate! We’re grateful fo… https://t.co/swwjJY5jBz,,False,Mon Oct 01 21:11:46 +0000 2018,14,1046870309947789313
48,Twitter for iPhone,Tomorrow @FranDeWine kicks off her two-day statewide “Getting to the Heart of it All” tour! ♥️ Meet her on the camp… https://t.co/nUO3GaAZcp,,False,Tue Oct 16 12:09:45 +0000 2018,22,1052169723956350981
62,Twitter for iPhone,What a fun Get Out The Vote Rally with Gov. @JohnKasich last night! https://t.co/C6Jr4YxLfT,,False,Sat Nov 03 22:15:11 +0000 2018,26,1058845068080173056
32,Twitter for iPhone,".@FranDeWine and I were at the Clark County Fair this morning to see our granddaughter, Josie, show her goat! https://t.co/zftjgEhNoA",,False,Tue Jul 24 20:39:07 +0000 2018,2,1021857329795538949
26,Twitter Web Client,.@WhiteHouse released new ads targeted at young people warning of the dangers of opioid addiction today. It is so i… https://t.co/XUgX3l9FWX,,False,Thu Jun 07 20:00:47 +0000 2018,10,1004815455616425985
36,Constant Contact,Happy to announce that we received the unanimous endorsement of the Scioto County GOP Party https://t.co/QiDFoEW1fo https://t.co/hSOme4c1JZ,,False,Thu Jan 11 18:18:48 +0000 2018,23,951518772363431936
74,Twitter for iPhone,".@FranDeWine has done it again! Since April, Fran has been traveling Ohio, visiting with people in all 88 counties.… https://t.co/RbtpWOGGwN",,False,Tue Sep 25 14:31:42 +0000 2018,24,1044595302836195328
1017,Twitter for iPhone,Looking forward to joining U.S. Senator @LindseyGrahamSC on @seanhannity this evening at 9:45pm. Hope you can tune in!,,False,Tue Oct 30 22:25:44 +0000 2018,195,1057398174636216320
23,Twitter for iPhone,"A quick interview talking about opportunity for every Ohio kid! #OHGov 

- Caroline https://t.co/1Y57J5YAYC",,False,Fri Jun 29 14:45:54 +0000 2018,5,1012708746206867456
37,Twitter for iPhone,"My grandpa and Secretary Husted are preparing for a round table discussion here in Cincinnati! #OHGov 

- Caroline https://t.co/FQHDzV7aTK",,False,Fri Jun 29 14:15:07 +0000 2018,5,1012700997871734784
9,Twitter for iPad,Exciting development for future tech happening here in Ohio! https://t.co/Pjc5JLnMrY,,False,Tue Jan 23 18:53:09 +0000 2018,5,955876071282544643
28,Twitter for iPhone,"@JonHusted and I agreed to be running mates over breakfast.  No back room deals.  No smoke filled rooms.  Just Jon,… https://t.co/vYN51KmFzq",JonHusted,False,Sat Dec 02 16:22:24 +0000 2017,11,936993965592719360
96,Twitter for iPhone,.@FranDeWine now has 128 pies out of the oven! She has about 75 more to bake. Hope to see you tomorrow at the… https://t.co/fVhGs0O3Ps,,False,Sun Jun 24 02:22:39 +0000 2018,20,1010709761149538305
28,Twitter for iPad,Welcome back to Ohio @realDonaldTrump! https://t.co/ef52iEiINn,,False,Mon Feb 05 18:45:39 +0000 2018,9,960585228350836737
158,Twitter Web Client,.@MikeDeWine It is important for the Governor of the State of Ohio to have a good working relationship with the Pre… https://t.co/9cb9GZzFzo,,False,Wed Sep 19 23:46:44 +0000 2018,49,1042560654949986304
38,Twitter for iPhone,I’m always impressed by Summit County GOP! Here at their fall rally. https://t.co/VnoK91IHOT,,False,Thu Nov 01 23:35:35 +0000 2018,17,1058140528540336129
40,Twitter for iPhone,".@FranDeWine and I had fun at the Allen county fair. Chairman Keith Cheney, Sheriff Matt Treglia, and Kurt Kaufman… https://t.co/Z1uflKCNmF",,False,Sun Aug 19 21:32:55 +0000 2018,9,1031292953808056320
40,Twitter for iPhone,Just left Zanesville! Thanks to all who came out for this stop on the #ProtectOhio tour. https://t.co/zvyfrybFzt,,False,Thu Oct 25 22:47:32 +0000 2018,20,1055591720161853442
36,Twitter for iPhone,.@FranDeWine &amp; I started the day right at the South Vienna Corn Festival Pancake Breakfast this morning! #OHGov https://t.co/kL6UFB1Dvq,,False,Sat Sep 08 15:03:58 +0000 2018,9,1038442828219797506
24,Twitter for Android,"Thanks Dorothy, I'm honored to call you a friend! https://t.co/tfg0l7TbvO",,False,Thu Jan 04 01:22:38 +0000 2018,4,948726332216807430
22,Twitter for iPad,@MaryTaylorOH Thanks Mary! Looking forward to a lot of great things this year.,MaryTaylorOH,False,Fri Jan 05 17:17:53 +0000 2018,1,949329117647982592
59,Twitter for iPhone,I stopped in Delaware County to introduce @Troy_Balderson to a large group of volunteers who are getting ready to k… https://t.co/rx0XJSsW28,,False,Sat Jul 28 16:22:02 +0000 2018,17,1023242185414725632
45,Twitter for iPhone,"Just finished our final stop of the Red, White and Bluegrass tour with Joe Mullins and the @RadioRamblers in Marysv… https://t.co/KPmLFis1gX",,False,Sun Oct 14 20:50:47 +0000 2018,16,1051576072310001664
46,Twitter for iPhone,#FranFor1stLady https://t.co/NXFkOc0qTT,,False,Thu Oct 18 17:43:54 +0000 2018,13,1052978594077655042
25,Twitter for Android,It's Game Day! Let's #GoBucks #BeatUSC https://t.co/WbFyZksN46,,False,Fri Dec 29 14:50:57 +0000 2017,6,946755424421863426
54,Twitter for iPhone,"Eight years ago, Ohio had an $8 billion budget hole, just 89 cents in savings, and 400,000 people lost their jobs.… https://t.co/YnWpQWEF9l",,False,Thu Oct 25 16:08:09 +0000 2018,26,1055491209421115393
95,Twitter for iPhone,.@FranDeWine &amp; I made it to Ohio Stadium to talk with people heading in for today’s game! I even wore my Ohio State… https://t.co/8ohPNglUbG,,False,Sat Oct 06 18:56:49 +0000 2018,22,1048648289527242754
52,Twitter for iPhone,"Tonight, I got the chance to do something pretty rare - I accompanied Fran to a speaking engagement where SHE was t… https://t.co/dUjgloH0iL",,False,Fri Apr 20 23:11:34 +0000 2018,14,987468848667480066
2621,Twitter Web Client,Thanks to my friend @LindseyGrahamSC for helping us remind people of the stakes in this election and rally voters t… https://t.co/rWhIJXgmRN,,False,Wed Oct 31 19:06:56 +0000 2018,806,1057710530620780544
75,Twitter for Android,Fran and I send our prayers to the families of these two fallen heroes. Such a tragedy. https://t.co/oB3p8gbqoe,,False,Sat Feb 10 19:42:21 +0000 2018,25,962411433400074241
30,Twitter for iPhone,"Thanks for the warm welcome, Westerville, and to all the energetic supporters who met us! -Anna

#HeartOfItAll… https://t.co/x5ZlugjFo2",,False,Wed Oct 17 18:33:58 +0000 2018,13,1052628803946782720
102,Twitter for iPhone,"Thank you, @VP Mike Pence for coming to Ohio! It was so great to be with you in Mansfield! https://t.co/V1EcklMT4g",,False,Wed Oct 31 17:18:18 +0000 2018,28,1057683193602760713
50,TweetDeck,"Thank you to all of Ohio's more than 30,000 law enforcement officers. I appreciate your willingness to put your lif… https://t.co/0NBHCXh7L4",,False,Tue Jan 09 17:28:17 +0000 2018,23,950781283663273984
