favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
4,Twitter for iPhone,"At @trinitycollege yesterday, I spoke with students and @directorsilk about climate change, energy efficiency, and… https://t.co/fqv9CsUwDB",,FALSE,Wed Mar 28 16:49:36 +0000 2018,1,9.79038E+17,neg
39,Twitter for iPhone,"When he says his ""objective"" is ""to take care of women,"" Stefanowski shows that a Trump Republican can hold Eisenho… https://t.co/qcgYjla8rZ",,FALSE,Wed Oct 17 21:59:22 +0000 2018,8,1.05268E+18,neg
15,Twitter for iPhone,"I spent some time at E.C. Goodwin Technical High School yesterday, talking to career educators about the role VoTec… https://t.co/9EdNCJvISj",,FALSE,Sat Jun 02 16:35:47 +0000 2018,7,1.00295E+18,neg
15,Twitter for iPhone,Change never comes from one person — it’s built by a movement. https://t.co/AWVq9rdG8F,,FALSE,Fri May 04 21:07:04 +0000 2018,7,9.92511E+17,neg
15,Twitter for iPhone,"#TeamNed is out statewide this weekend, knocking on doors, making calls, and talking to Connecticut voters about th… https://t.co/zJlIYIOkcC",,FALSE,Sat Aug 04 16:39:23 +0000 2018,4,1.02578E+18,neg
11,Twitter Web Client,I had a blast yesterday at the Five Towns Chili Cookoff in Stratford. Good food and great people. https://t.co/ps3rzHcMzf,,FALSE,Mon Jul 23 21:58:58 +0000 2018,4,1.02152E+18,neg
358,Twitter for iPhone,“I accept your nomination for Governor of the state of Connecticut!” https://t.co/4y7dZmodVR,,FALSE,Wed Aug 15 01:43:13 +0000 2018,83,1.02954E+18,neg
38,Twitter for iPhone,"The first debate is on the schedule: June 14 on @WFSBnews.

I’m in.",,FALSE,Mon May 21 00:05:09 +0000 2018,10,9.98354E+17,neg
72,Twitter for iPhone,"Stefanowski's scheme to funnel money to the wealthiest and slash education, transportation, and health care is radi… https://t.co/JSn7pPASdT",,FALSE,Mon Oct 15 22:31:18 +0000 2018,37,1.05196E+18,neg
157,Twitter for iPhone,"Property tax hits middle class and working families in Connecticut the hardest. I’m going to reduce that burden, be… https://t.co/yFO6n4mxrt",,FALSE,Thu Aug 23 13:26:51 +0000 2018,28,1.03262E+18,neg
