favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,TweetDeck,"On Sunday, Sept. 30, #TeamRicketts is excited to host the second annual Nebraska Steak Fry, celebrating Nebraska's… https://t.co/TFHBfaWhxC",,False,Fri Sep 14 13:32:03 +0000 2018,0,1040594025588445185
6,Twitter Web App,"We had a great time at the Governor's Tailgate, and are looking forward to a good game this afternoon. Thanks to al… https://t.co/921NrQfYux",,False,Fri Nov 24 20:45:37 +0000 2017,1,934161102912462848
2,TweetDeck,"Yesterday, @GovRicketts addressed the @SelectUSA Investment Summit, sharing the great opportunities here in Nebrask… https://t.co/dBxUbQqw3A",,False,Fri Jun 22 14:42:10 +0000 2018,1,1010171090772127744
2,TweetDeck,#ICYMI: @GovRicketts on @realDonaldTrump's nomination of Judge Brett Kavanaugh to the U.S. Supreme Court #SCOTUS https://t.co/hdLWLQpBQ2,,False,Tue Jul 10 14:35:30 +0000 2018,2,1016692393113018369
4,TweetDeck,"ICYMI: @GovRicketts proclaimed yesterday Stand for the Flag #SuperBowl Sunday in Nebraska. Win or lose,… https://t.co/xUiLbjzkVx",,False,Mon Feb 05 16:39:34 +0000 2018,1,960553495706460161
7,TweetDeck,".@GovRicketts: ""We can’t be a healthy state if we just grow in Lincoln and Omaha. We have to create the jobs that y… https://t.co/rY4hfpEzWX",,False,Tue Jun 19 14:01:27 +0000 2018,1,1009073679702126597
22,TweetDeck,I hope you and your family have enjoyed a great Christmas Day shared together. https://t.co/7Q1xAkYKSx,,False,Tue Dec 26 00:59:07 +0000 2017,2,945458923783454725
7,TweetDeck,"#ICYMI: This morning, @NEFarmBureau PAC named @GovRicketts a Friend of Agriculture. Watch this morning's announceme… https://t.co/jINdb6Bcx9",,False,Sun Aug 26 21:35:54 +0000 2018,3,1033830418255175680
1,TweetDeck,"Check out our latest TV ad, ""Whole World."" https://t.co/yn7FuLu5Gh",,False,Tue Sep 18 13:57:00 +0000 2018,0,1042049853940027392
8,TweetDeck,.@GovRicketts will join a @CPAC 2018 panel tomorrow at 10:50 a.m. CT to discuss his work to promote Nebraska's cult… https://t.co/6zDRJF8wlb,,False,Fri Feb 23 19:15:00 +0000 2018,4,967115594448424961
5,Twitter Web Client,"Today, @GovRicketts joined @LIBAlincoln to discuss his work to cut red tape, reduce taxes, and open new markets for… https://t.co/IsV3Xar74O",,False,Tue Dec 19 18:51:14 +0000 2017,2,943192016086798337
4,Twitter for iPhone,"#TeamRicketts started Election Day the right way-voting! Remember, polls close at 8pm CT / 7pm MT. https://t.co/sXfca70hap",,False,Tue Nov 06 15:49:33 +0000 2018,1,1059835184143630336
2,TweetDeck,"This morning, at his polling place, @GovRicketts spoke with @WOWT6News about the importance of voting today.… https://t.co/WaWmtoUr1e",,False,Tue May 15 14:56:52 +0000 2018,1,996404051754569728
1,TweetDeck,"Check out @GovRicketts' @CPAC panel, where he discussed Nebraska's work to preserve and promote the dignity of huma… https://t.co/L8LZ8b4unw",,False,Sun Feb 25 17:59:06 +0000 2018,0,967821268660649985
19,TweetDeck,We enjoyed a beautiful Nebraska morning hunting with @BabeWinkelman and the crew of Outdoor Secrets. It was fun sho… https://t.co/nWNhyAmDgF,,False,Tue Dec 12 21:44:22 +0000 2017,3,940698869251403781
5,TweetDeck,"In March of 2017, @GovRicketts signed a bill ending criminal penalties for public school teachers wearing religious… https://t.co/c8gLjAkC9x",,False,Tue Jan 16 21:11:23 +0000 2018,1,953374145789808643
3,TweetDeck,Read @OWHopinion's editorial on the turnaround of @NEDHHS AccessNebraska: https://t.co/lTVHHjT3H0,,False,Wed Aug 01 14:14:33 +0000 2018,0,1024659654557749248
3,TweetDeck,".@GovRicketts: ""I am happy to report that the state of the state is strong and growing.""",,False,Wed Jan 10 16:11:39 +0000 2018,1,951124385288671232
11,TweetDeck,"""Governor Pete Ricketts has made a tremendous difference for the economy, and the families, and the farms, and the… https://t.co/p8HnJRPgRH",,False,Wed Mar 07 21:03:47 +0000 2018,3,971491623510126593
8,TweetDeck,Some pictures from today's ceremony honoring Nebraska's #KoreanWarHeros. https://t.co/yY0U3O6zLU,,False,Fri Jul 27 22:10:21 +0000 2018,1,1022967455059255297
