favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
1597,Twitter Web Client,I honor and stand with all law enforcement across Florida that put themselves in harm’s way to stand in the gap for… https://t.co/DYs19pka7f,,FALSE,Tue Oct 16 15:03:59 +0000 2018,699,1.05221E+18,neg
70,Twitter Web Client,"Today we are celebrating our state marine mammal, the manatee! #ManateeAppreciationDay #LoveFL https://t.co/yvgLsjwoeP",,FALSE,Wed Mar 28 19:50:00 +0000 2018,38,9.79083E+17,neg
1891,Hootsuite Inc.,"Hey, #Orlando! Mark your calendar: @marcorubio and I are coming to your Victory Office this Monday! We're looking f… https://t.co/uSY0VPIzxm",,FALSE,Sat Nov 03 22:50:04 +0000 2018,897,1.05885E+18,neg
2321,Twitter for iPhone,"Words can’t describe what we saw today in Bay County, our hearts break for these families and the utter devastation… https://t.co/Le0edut91N",,FALSE,Sat Oct 13 23:11:29 +0000 2018,1351,1.05125E+18,neg
3629,Twitter Web Client,The tragedy in Parkland was not the fault of our second amendment or law-abiding gun owners. It was an utter failur… https://t.co/nuB3HU1C4O,,FALSE,Sat Jun 30 15:29:42 +0000 2018,1176,1.01308E+18,neg
484,Twitter Web Client,"It’s your money, and you should keep more of it. @AndrewGillum wants to raise taxes by a BILLION dollars, which wou… https://t.co/5dzL82CQP0",,FALSE,Wed Oct 24 23:22:37 +0000 2018,296,1.05524E+18,neg
5939,Hootsuite Inc.,Praying for our great state and the future of Florida. Get out and vote! https://t.co/m16T5W8ic7,,FALSE,Tue Nov 06 18:00:27 +0000 2018,2126,1.05987E+18,neg
14,Twitter Web Client,.@FLGovScott has championed these efforts in Florida and I want to continue that legacy. #sayfie,RonDeSantisFL,FALSE,Thu Mar 08 21:19:31 +0000 2018,5,9.71858E+17,neg
899,Hootsuite Inc.,I’m running for Governor because I want Florida to be a place where my children will want to live when they grow up… https://t.co/AL11mAMxIA,,FALSE,Fri Oct 05 14:00:48 +0000 2018,508,1.04821E+18,neg
11499,Hootsuite Inc.,"As part of Andrew Gillum’s anti-police views, he believes law enforcement should not be able to use weapons. That’s… https://t.co/nkxtLE49Pd",,FALSE,Sat Oct 27 19:10:07 +0000 2018,7967,1.05626E+18,neg
2283,Twitter Web Client,.@VP Mike Pence: Friends don't let friends vote alone. Go get a friend and vote for Ron DeSantis! https://t.co/e77SM1Sokr,,FALSE,Thu Oct 25 21:04:04 +0000 2018,910,1.05557E+18,neg
683,Twitter Web Client,Enough is enough! Florida’s waterways are being ravaged by toxic algae and It’s time to take a stand for clean wate… https://t.co/SyHUTFLHRH,,FALSE,Thu Aug 09 19:35:27 +0000 2018,302,1.02764E+18,neg
129,Twitter for iPhone,Conservatives across Florida aren't buying the false attacks paid for by the establishment and special interests. T… https://t.co/5WYWSsSv8z,,FALSE,Wed May 09 19:41:29 +0000 2018,57,9.94301E+17,neg
2110,Twitter Web Client,"The momentum is shifting our way! We need all hands on deck, let's get out there and secure Florida's future! https://t.co/aZFxMlK09X",,FALSE,Wed Oct 03 17:20:41 +0000 2018,1127,1.04754E+18,neg
