favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
17,Twitter for Android,"If you can dream it, they can build it in Vegas! So great to speak to this incredible crowd gathered here for the g… https://t.co/uDICYcQEmr",,False,Wed Oct 31 02:14:31 +0000 2018,11,1057455748567822336
40,Twitter for iPhone,Stopped by Adrian’s small business in East LV — Paletería Mexicana! He makes wonderful homemade ice cream while pro… https://t.co/YjONb6B70q,,False,Sun Nov 04 00:17:48 +0000 2018,11,1058875926388199426
27,Twitter for iPhone,Had such a great time at the candidates forum. The energy was amazing — now let’s bring it to the polls! #NVGov https://t.co/QFloH7n1e0,,False,Sat Oct 06 03:49:11 +0000 2018,8,1048419876065267712
14,Sprout Social,"It was a pleasure talking with @SilveradoHSLV @JAGNevada1 students about their paths after high school, whether it… https://t.co/UYEfw0ykct",,False,Fri Feb 02 19:44:00 +0000 2018,2,959512746130923520
28,Sprout Social,One of the toughest parts of breaking out of unemployment is the application process. That's why the American Job C… https://t.co/vc13Udb6KA,,False,Fri Oct 12 20:04:34 +0000 2018,19,1050839667267067909
28,Sprout Social,This is heartbreaking and shameful. https://t.co/u5ueN7tWsr,,False,Sat Mar 17 18:12:18 +0000 2018,10,975072347840483328
23,Sprout Social,Great to chat with @chucktodd from @MeetThePress about #NVGov and Nevada priorities after speaking to that fired up… https://t.co/DNgLJcjkPP,,False,Thu Oct 18 18:04:18 +0000 2018,8,1052983725036892160
2,Twitter Web Client,Today we get to see and hear @DOHS_ORourke Choir.  A great Holiday treat! https://t.co/KcNrpCQ7Z0,,False,Fri Dec 08 18:05:39 +0000 2017,0,939194275614433281
8,Twitter Web Client,"Great interview with @TelemundoLV's @nlvmichelle talking about representing all Nevadans, protecting #DACA, and def… https://t.co/8LsBZsgzg2",,False,Tue Oct 16 00:13:50 +0000 2018,5,1051989557795672064
22,Hootsuite,Thank you Laborers 872 for being so supportive and for being such an integral part of our community. https://t.co/V7zlkL7SOa,,False,Tue Nov 07 14:50:11 +0000 2017,6,927911062497890305
10,Twitter Web Client,Thank you for believing in me - I promise to fight for you. #nvgov https://t.co/Y3c7uwy9x4,,False,Wed Feb 07 21:03:22 +0000 2018,7,961344658029740032
29,Sprout Social,As governor I will take on the NRA and anyone who stands in the way of commonsense gun safety reforms… https://t.co/6TTuy4YMEo,,False,Mon Mar 26 16:13:47 +0000 2018,10,978304012272439296
5,Sprout Social,"Great to spend time with @ClarkDems for #MojitoMonday! Strong party, strong state. https://t.co/64EENvCMpZ",,False,Tue Jan 30 04:28:35 +0000 2018,3,958195211057934342
24,Twitter for Android,You can’t get any better than the East LV “United We Vote” Celebration and some @TacosElGordo_ for lunch. Remember… https://t.co/Xjl9YytMHJ,,False,Sat Oct 20 20:21:00 +0000 2018,11,1053742903133036544
16,Sprout Social,Great seeing @CatherineForNV and @AaronDFordNV at Mari &amp; Chuy's Mexican Kitchen here in Reno! #nvgov https://t.co/7hfLf5gs0b,,False,Sat Jun 23 01:57:45 +0000 2018,6,1010341104124821510
2,Twitter Web App,Hat trick for @WKarlsson71!!! #goknightsgo https://t.co/8ghunaSMxf,SteveSisolak,False,Sun Mar 18 21:38:40 +0000 2018,1,975486669376770049
16,Twitter for iPhone,.@NYNYVegas’ Lady Liberty is showing some @GoldenKnights pride. Game 2 tonight! #GoKnightsGo #VegasBorn https://t.co/4jnOXZuxry,,False,Fri Apr 13 15:46:10 +0000 2018,3,984820045233586176
12,Twitter for iPhone,Honored to meet the great employees at @JerrysNuggetLV. Great food and terrific service. Jerry’s Nugget is a proud… https://t.co/ze9kx7JDK9,,False,Sat Jun 02 02:23:44 +0000 2018,5,1002737501117636608
45,Twitter for Android,Great meeting vets and their families at the @NV_Dem_Vets and Military Families Caucus BBQ @VetsVillageLV. #nvgov https://t.co/nDpIctYisK,,False,Sat Jul 07 19:39:40 +0000 2018,19,1015681775513800704
3,Sprout Social,Playoff football. Soon. @RAIDERS,,False,Sun Jan 14 18:45:05 +0000 2018,1,952612553078792196
6,Twitter for Android,Thank you to the nurses at @SunriseLasVegas for your support. Thank you for all you do for our community.… https://t.co/ZxEkI3aOFl,,False,Thu May 24 02:40:51 +0000 2018,2,999480314664599552
95,Twitter Web Client,"As the @realdonaldtrump administration continues to attack #TPS and #DACA, it's more important than ever that peopl… https://t.co/bsWcl97j35",,False,Thu Aug 09 02:02:16 +0000 2018,36,1027374471970058240
2,Twitter for Android,.@SmithCenterLV and The Rogers Foundation recognizing outstanding teachers. Nominations now being accepted. https://t.co/pthsSBQVCG,,False,Sun Nov 26 04:45:44 +0000 2017,2,934644316886122496
48,Twitter for Android,"Thank you, @WashoeDEMS for being out in force today! We can’t win in November without your support and dedication!… https://t.co/xHeasT7Br4",,False,Sat Jul 28 18:37:29 +0000 2018,17,1023276273211076610
31,Sprout Social,"Neysa Tonks. We remember you.

#1October #VegasStrong https://t.co/BN0no3xWRu",,False,Mon Oct 01 23:10:01 +0000 2018,11,1046900066617823232
5,Sprout Social,Be sure to check out the beautiful display honoring #BlackHistoryMonth in the County building rotunda this week. https://t.co/uzSltHUn3o,,False,Mon Feb 12 23:19:55 +0000 2018,3,963190963651907584
6,Twitter Web Client,Los votantes no olvidaran que cuando el aliado de Trump — Adam Laxalt — tuvo la oportunidad de defender a nuestros… https://t.co/BXLYN5UWrQ,,False,Wed Sep 05 23:30:25 +0000 2018,3,1037483117907308544
76,Sprout Social,Nevadans have a clear choice this November. @AdamLaxalt has failed to stand up for our hardworking families. Instea… https://t.co/S4anMClzYh,,False,Wed Jun 13 18:34:24 +0000 2018,27,1006968043975708672
21,Twitter Web Client,"""@AdamLaxalt has declined to answer questions about the details of his [education] plan and has avoided interviews… https://t.co/2OR87CH6OV",,False,Sun Nov 04 19:13:26 +0000 2018,8,1059161718398435328
6,Twitter for iPhone,Enjoying #CincodeMayo here @texasstation! https://t.co/API0LKHPl9,,False,Sun May 06 00:37:00 +0000 2018,3,992926165143715841
6,Sprout Social,Thank you @SNVCLC for your endorsement. I am inspired by your grassroots work to stand up for working families.… https://t.co/kCuZ1pVrTa,,False,Mon Apr 23 15:57:44 +0000 2018,5,988446834015207432
5,Sprout Social,Big thanks to #TeamSisolak for canvassing today at the @RTOdyssey! #nvgov https://t.co/3i7jViSRxS,,False,Sat Jun 02 23:29:01 +0000 2018,2,1003055916613324801
17,TweetDeck,I had a great time stopping by Stewart Pines game day. Thank you for having me. #NVGov https://t.co/yccFPiiRW8,,False,Mon Jun 11 21:55:01 +0000 2018,6,1006293752128737281
92,Twitter Web Client,"Exciting day here at the SW Vegas field office opening! Every call dialed, every door knocked, and every voter regi… https://t.co/wAjG3PfnFV",,False,Sun Aug 05 20:56:47 +0000 2018,51,1026210429754720256
42,Twitter Web Client,Up early firing up the volunteers from @iatselocal720 for their GOTV Rally this morning. #UnionStrong #NVGov… https://t.co/vVVawNO4Dx,,False,Sun Oct 28 16:43:20 +0000 2018,12,1056587229500342272
15,Sprout Social,Speaking at the @eclipsetheaters with the Las Vegas Bar Association and @LVUL! And so glad to be joined by… https://t.co/qXqry255vj,,False,Wed Oct 31 19:27:56 +0000 2018,8,1057715814646845441
13,Sprout Social,Thanks to everyone at @JerrysNuggetLV for taking the time to talk with me this evening in between shifts and thank… https://t.co/3ZR7Fymxgw,,False,Sat Jun 02 01:40:41 +0000 2018,4,1002726665448054784
34,Sprout Social,"Austin Davis. We remember you.

#1October #VegasStrong https://t.co/DJONY3nukd",,False,Mon Oct 01 10:22:00 +0000 2018,13,1046706792057778178
3,Sprout Social,There is still time to recycle your Christmas tree. For more visit https://t.co/eEn85YDadv @SNVTreeRecycle  #MulchMadness,,False,Tue Jan 02 22:30:02 +0000 2018,1,948320506331172867
68,Sprout Social,"Christiana Duarte. We remember you.

#1October #VegasStrong https://t.co/fyRSaoGoea",,False,Mon Oct 01 15:34:01 +0000 2018,13,1046785310716301312
19,Twitter Web Client,"October 18th: Interview request from @News3LV

Status — Dodged! 

“After several emails and phone calls, the… https://t.co/caiVZRi9wz",SteveSisolak,False,Wed Oct 24 21:12:16 +0000 2018,8,1055205355284684800
43,Sprout Social,Thank you @8Newsnow for hosting tonight’s informative #NVGovDebate. I always appreciate the chance to talk about th… https://t.co/MQYpHeW2Wm,,False,Tue May 22 01:59:55 +0000 2018,10,998745240914849793
12,Twitter for Android,Early game today. Puck drops at noon. Official watch party is at Toshiba Plaza at @TMobileArena. Let's cheer our… https://t.co/4iFy3tHr0G,,False,Sun May 20 15:17:31 +0000 2018,4,998221187028168705
9,Twitter Web Client,The Southern Nevada Sporting Events Committee is meeting today to work on attracting more exciting events to Southe… https://t.co/xqT1Owg4ms,,False,Wed Oct 10 22:15:00 +0000 2018,3,1050147714338439168
21,Twitter Web Client,What's one more dangerous idea that @AdamLaxalt wants to look into as #NVGov? Slashing hundreds of millions in educ… https://t.co/s6pDOqos5a,,False,Fri Oct 12 00:18:03 +0000 2018,17,1050541067278249984
23,Twitter for Android,"Nothing like the annual @lvGreekfest — gyros, amazing music, A+ hand-made crafts, and great company! #nvgov https://t.co/UIw6AvttYb",,False,Mon Sep 17 00:49:40 +0000 2018,4,1041489326469656576
3,Twitter Web Client,"Today is the LAST DAY to request an absentee ballot. For more information, please visit https://t.co/BjP4oPYF1h #nvgov",,False,Tue Jun 05 22:40:38 +0000 2018,3,1004130908071292929
7,Twitter Web Client,Cake donated by Granello Bakery.  Thank you. https://t.co/AAl0IXRrYS,,False,Tue Nov 07 17:00:40 +0000 2017,2,927943900093808640
3,Twitter for Android,The @SanJoseSharks are in the House. Go @GoldenKnights! #VegasBorn https://t.co/uBEHxqvZCn,,False,Fri Nov 24 23:16:44 +0000 2017,2,934199131307778048
48,Buffer,The @raiders are already making a positive impact on Southern Nevada. Their community benefits plan only solidifies… https://t.co/PJDxGigqF3,,False,Fri Dec 15 16:31:08 +0000 2017,14,941707204851269632
13,Twitter Web Client,Great interview with @FanninJim on Reno's @NewsTalk780KOH. He would have interviewed @AdamLaxalt before… https://t.co/5m2g6RQWo7,,False,Tue Nov 06 23:45:03 +0000 2018,5,1059954849578545152
7,Sprout Social,Domestic violence courts are critical in meeting the needs of victims and survivors. Eliminating them would be turn… https://t.co/bzJv4anXUW,,False,Mon Apr 02 23:06:26 +0000 2018,4,980944574859415552
22,Twitter Web Client,So proud to have @lvlcc President @OfficialPeterG_ on #TeamSisolak! #NVGov https://t.co/5VRWADJyL3,,False,Sat Oct 13 23:49:01 +0000 2018,8,1051258538532659203
42,Twitter for Android,Appreciate the opportunity to address @nevadaNOW at their monthly meeting. Good discussion and great questions.… https://t.co/OrtgBtz53X,,False,Sun Jul 22 21:57:56 +0000 2018,15,1021152390924328960
2,Hootsuite,"I'd like to welcome Liz Robertson as our Finance Director and Barb Solish, Communications Director to #TeamSisolak.… https://t.co/r5aWnUPFIL",,False,Thu Nov 16 21:15:05 +0000 2017,2,931269415269789696
20,Sprout Social,The Nevada Faculty Alliance knows that they can count on me to be a governor who will always stand up for them — an… https://t.co/k84YXwdknl,,False,Thu Sep 20 19:36:01 +0000 2018,11,1042859949297213440
14,Sprout Social,Humbled to address @AAGLasVegas and recognize their contributions to our community. Diversity makes us stronger. https://t.co/x4GCT4OdFp,,False,Sat May 19 04:31:55 +0000 2018,3,997696326434508800
3,Sprout Social,I agree. There is no justification for this cruel decision that breaks up families. #TPS. https://t.co/RhFgXzweqO,,False,Mon Jan 15 23:37:01 +0000 2018,2,953048405051346944
20,Sprout Social,Here at @Donna_West’s famous grassroots garage getting ready to canvass! And I have to say — she has the best shoes… https://t.co/ikBH2LjbrF,,False,Sat Nov 03 18:57:35 +0000 2018,10,1058795342039302147
5,Twitter for Android,"Thank you to Legacy Penning and Sorting Championships for your $1,575 donation to the Las Vegas Victims' Fund. https://t.co/Em081JH4Un",,False,Fri Nov 10 23:35:31 +0000 2017,0,929130431676424192
44,Twitter for iPhone,Welcoming back some of our incredible volunteers who were out knocking doors this evening — and still a few dozen o… https://t.co/Fa9VMb2h7A,,False,Sun Oct 21 01:24:43 +0000 2018,13,1053819334596845569
6,Twitter for Android,Special jerseys for Military Appreciation Night!!  Go @GoldenKnights!! https://t.co/Dih5Nucevq,,False,Sat Nov 11 03:03:41 +0000 2017,1,929182815362494464
51,Sprout Social,I’m in awe of the community that came together tonight to support our Jewish brothers and sisters at Temple Beth Sh… https://t.co/Oeq8pcxtC2,,False,Fri Nov 02 03:26:11 +0000 2018,17,1058198560582311936
14,Twitter Web Client,Building education from the ground up! Proud to support a brand new K-12 school in Sandy Valley. #NVEd https://t.co/w4oM6fOjeJ,,False,Wed Sep 05 17:34:18 +0000 2018,4,1037393498184413184
17,Twitter for Android,"Proud to have voted for and, consistently supported the Convention Center expansion and the thousands of jobs it wi… https://t.co/NiA3npgFF8",,False,Tue Jan 09 05:05:56 +0000 2018,4,950594467291062272
10,Sprout Social,"Thank you Another Joy Foundation for your generous donation of an additional 5,000 items of clothing to… https://t.co/XUXDBGQvaQ",,False,Sat Jun 09 15:48:20 +0000 2018,2,1005476700023676928
22,Sprout Social,Here speaking at the @AAUW Candidates Luncheon. Thank you for leading the charge for equality in higher education a… https://t.co/DoYkOl85xk,,False,Sat Sep 15 19:37:51 +0000 2018,5,1041048467957792768
3,Twitter for Android,Thank you to @mbofwalnutcreek for your $630 donation to the Las Vegas Victims' Fund.,,False,Tue Nov 07 01:07:52 +0000 2017,2,927704118889611264
7,Twitter Web Client,After a great trip to @CityofReno it was a little chilly this morning. Our plane needed some de-icing before we lef… https://t.co/YQUNOUEtoj,,False,Sun Feb 11 22:08:53 +0000 2018,1,962810699960303617
29,Sprout Social,Ashley's dog Bandit is working his tail off canvassing for Election Day— but he needs YOUR HELP to #GOTV. Tag 3 fri… https://t.co/a8hlCtHpIX,,False,Sat Nov 03 22:32:18 +0000 2018,14,1058849376628547585
35,Sprout Social,"""@AdamLaxalt...has been evasive &amp; inconsistent on where he stands on NV women’s constitutionally protected right to… https://t.co/wnGabQjqkf",,False,Mon Jul 23 21:08:53 +0000 2018,17,1021502433162354694
7,Twitter for iPhone,.@AdamLaxalt has failed to fight for NV's public lands. @AskLaxalt why he's not standing with the majority of Nevad… https://t.co/IrHqVqJtYb,SteveSisolak,False,Wed Jul 18 17:08:28 +0000 2018,4,1019629990726340608
32,Sprout Social,"Nothing better than coffee, donuts, and democracy in action to start your Saturday morning. A great conversation wi… https://t.co/XKSgUNyvfL",,False,Sat Aug 04 17:07:10 +0000 2018,13,1025790258909204480
10,Twitter Web Client,#TeamSisolak is all over town! Thank you for the support ladies! #VoteSisolak #RiseNVote #NVGov https://t.co/ylQci7L4cB,,False,Sun Oct 28 20:48:37 +0000 2018,3,1056648954887069696
13,Sprout Social,"The room tax collection for June directed to the @RAIDERS @UNLV Stadium was $3,529,152",,False,Thu Jul 19 17:16:15 +0000 2018,7,1019994338980450304
7,Twitter for Android,My friend and colleague Commissioner @LawrenceWeekly's class looking #VegasStrong! https://t.co/41y9luitO1,,False,Thu Nov 09 03:15:03 +0000 2017,0,928460903153987590
10,Twitter for Android,"Despite efforts in DC, Nevada #ACA enrollment higher than last year. It's a critical program &amp; we must protect it f… https://t.co/viwdaeC99R",,False,Fri Dec 22 00:56:36 +0000 2017,2,944008739002114048
8,Sprout Social,Alden Crowley and Another Joy Foundation are helping our community to assist those in need https://t.co/UpAAyIxomY,,False,Wed Mar 14 23:31:27 +0000 2018,2,974065502174826496
28,Sprout Social,Stopped by Mario’s WestSide Market for a cold drink and met a supporter. Get out and vote today! #GOTV #NVGov… https://t.co/lPODLKrAYr,,False,Tue Jun 12 17:48:54 +0000 2018,9,1006594204452179968
41,Twitter for Android,This great crowd is fired up and ready to go! We’re just a few minutes away from welcoming President @BarackObama t… https://t.co/IcMmGvVmDT,,False,Mon Oct 22 19:07:58 +0000 2018,14,1054449298404892673
5,Twitter for iPhone,"Stopped by the Reno Labor Temple to talk with Marc Ellis, president of @CWAUnion Local 9413. Great way to start off… https://t.co/zBApwB28Hl",,False,Fri Jun 08 16:17:43 +0000 2018,2,1005121703402397697
18,Twitter Web Client,"Today, I had the privilege of touring the new Reno Behavioral Healthcare Hospital with CEO Steve Shell. It’s the fi… https://t.co/1UDHn85ofW",,False,Thu Aug 02 19:52:01 +0000 2018,5,1025106969894342656
23,Hootsuite,These kids had a lemonade stand and raised money for the Las Vegas Victims' Fund. #VegasStrong https://t.co/J5NwlDG52g,,False,Thu Nov 09 14:45:09 +0000 2017,3,928634571343781888
7,Sprout Social,Excited to be up in @CityofReno at our HQ’s open house! Thanks to all that came out tonight! #NVGov https://t.co/6UZ2Q8fzmO,,False,Sat May 12 01:21:20 +0000 2018,3,995111649580388353
6,Sprout Social,Thank you for having me! https://t.co/Wjcqhlstqc,,False,Sun May 06 21:14:14 +0000 2018,1,993237527166439424
2,Twitter for Android,Truly inspirational!!#VegasProud https://t.co/rvN4qIz6pV,,False,Sun Nov 12 23:59:39 +0000 2017,2,929861277031186432
26,Twitter for Android,Solid victory by @GoldenKnights tonight. We'll see you Wednesday @TMobileArena. #VegasBorn #GoKnightsGo,,False,Tue May 15 03:04:31 +0000 2018,5,996224782365376512
17,Twitter for iPhone,Had the chance to tour some of the new buses on @RTCWashoe’s electric fleet. Investing in infrastructure like publi… https://t.co/dO1MJNcx9a,,False,Fri Jun 08 21:50:12 +0000 2018,7,1005205378676584448
196,Twitter for Android,Thank you @SenatorReid for your years of service to Nevada. It’s an honor to count you as a supporter of our campai… https://t.co/CgjR3BOzyF,,False,Thu Jan 25 03:37:32 +0000 2018,62,956370423066673153
