favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
88,Twitter for iPhone,Beautiful day to be at @GameFairUSA - thanks for having me for the Outdoors Issues Forum! Always a good day when pu… https://t.co/0bnuO8KvOD,,False,Sat Aug 18 19:54:28 +0000 2018,12,1030905791094640645
110,Twitter Web Client,"I wake up in Mankato. Mayor Frey wakes up in Minneapolis. Together, we can build our shared vision for… https://t.co/bZSuqWYpB5",Tim_Walz,False,Sun Aug 12 21:50:30 +0000 2018,20,1028760665761230848
14,Twitter Web Client,"In October 1998, Matthew Shepard was found in Laramie, Wyoming, beaten and tortured, left to die, in a homophobic h… https://t.co/HxAiWVjSaF",Tim_Walz,False,Sat Jun 23 17:22:12 +0000 2018,5,1010573749656145926
24,Twitter Web Client,"Thanks for having me on this morning, @JoelKFGO! https://t.co/BCDMw3tmjV",,False,Wed Oct 31 15:06:49 +0000 2018,2,1057650104658726913
177,Twitter for iPhone,"“I was bleeped on WCCO recently for saying a Repub proposal was bs, the reality is, denying emergency school fundin… https://t.co/RELlGlTVQe",,False,Sat May 19 00:25:56 +0000 2018,34,997634425952391168
16,Twitter for iPhone,First stop: Mrs. Poppenberg’s 6th grade math class! https://t.co/i9oueN1SQi,,False,Wed Mar 28 15:08:00 +0000 2018,3,979012236462231553
28,Twitter for iPhone,3/3 We are extremely grateful that today Chairman DuPuis and Fond du Lac Councilmembers made time for us. Thank you… https://t.co/DmLxkuZ2iS,Tim_Walz,False,Thu Apr 05 01:10:39 +0000 2018,3,981700612587966464
212,Twitter Web Client,"Climate change is an existential threat. If Washington won't lead on it, Minnesota will. Minnesota's future is in t… https://t.co/4PNT8USalE",,False,Sat Nov 03 00:22:05 +0000 2018,61,1058514616005877760
96,Twitter Web Client,This is only the beginning. @PeggyFlanagan and I pledge to continue fighting for every Minnesotan's freedom to join… https://t.co/dG8lk6y75o,,False,Wed Jun 27 16:53:13 +0000 2018,28,1012016009937653760
4,Twitter for iPhone,"@LaurieKrivitz @St_Paul_Girl @mikesonn Yep, we will!",LaurieLK82,False,Mon Jan 01 04:54:02 +0000 2018,0,947692366525329408
10,Twitter for iPhone,h/t to our intern team for putting this together!,Tim_Walz,False,Tue May 29 16:37:22 +0000 2018,1,1001502772817285120
97,Hootsuite,"In the past 24 hours - 3 more unions have joined the team. 15 unions representing over 220,000 members across Minne… https://t.co/bGqQP3r9dT",,False,Fri May 25 17:11:38 +0000 2018,30,1000061842448945155
9,TweetDeck,@amandanbabcock @epmurphymn @peggyflanagan @Rebecca_Otto @ZarinaBaber And since healthy agriculture needs healthy s… https://t.co/4Kohbs4rJw,Tim_Walz,False,Thu May 31 03:19:22 +0000 2018,0,1002026725407100929
218,Twitter for iPhone,A favorite Mankato West tradition: hosting my daughter Hope’s soccer team for a pasta feed tonight! https://t.co/dfxcFKMVPu,,False,Mon Sep 10 23:58:23 +0000 2018,24,1039302093352390659
72,Twitter for iPhone,"Congratulations @paulthissen, your experience and passion for justice will serve MN well. https://t.co/Oe9z7Kpy6M",,False,Tue Apr 17 15:20:10 +0000 2018,8,986263053770592257
104,Twitter for iPhone,Beautiful sunrise on the way to Nisswa this morning! #OneMinnesota https://t.co/mrjcUqhwEp,,False,Fri Aug 17 13:22:49 +0000 2018,13,1030444842323779584
43,Twitter Web Client,"Honored to announce we've received the endorsement of @MNpipetrades. As Governor and Lt. Governor, we will work tog… https://t.co/uxTdJ2XTE6",,False,Tue Apr 10 20:04:48 +0000 2018,15,983797968867348480
665,Twitter for iPhone,The last 19 months have been inspiring to the point of overwhelming. Thank you for your belief in this campaign and… https://t.co/Zy7OzYz5V6,,False,Tue Nov 06 13:53:37 +0000 2018,69,1059806007327711233
18,Twitter for iPhone,Team #walzflanagan is burning the midnight oil with new stickers and lit for caucus captain packets - 12 days until… https://t.co/ZvHaCERf45,,False,Fri Jan 26 02:40:30 +0000 2018,7,956718461329330176
22,Twitter for iPhone,Beautiful evening in Stillwater with @mwilhelmi and his friends and neighbors #walzflanagan https://t.co/fk4lNA0zVw,,False,Tue Feb 20 00:54:05 +0000 2018,3,965751377107607552
73,Twitter for iPhone,#NationalNightOut with Minneapolis City Council Member @AbdiYWarsame! https://t.co/ED7mhlWiVa,,False,Tue Aug 07 22:36:59 +0000 2018,16,1026960425081024513
32,Twitter Web Client,Peggy is a true trailblazer for Native women and her quote perfectly sums up the importance of her work: “But my jo… https://t.co/q9cAXIVRcJ,Tim_Walz,False,Thu Jun 21 14:16:49 +0000 2018,3,1009802323324006401
444,Hootsuite Inc.,Today marks eight weeks until election day. I just wanted to say that I'm so grateful to have you by my side. Let's… https://t.co/5ZiY4Sujld,,False,Tue Sep 11 23:00:24 +0000 2018,46,1039649891641901057
23,Twitter for iPhone,We’ll see you in June @JustinDFTBA - so honored to have you on team #walzflanagan! https://t.co/MrAvX4u7Ry,,False,Sat Feb 24 22:37:03 +0000 2018,0,967528827927883777
19,Twitter for iPhone,Day 22 - @CLYouakim knows Tim and Peggy will bring together Minnesotans to make decisions- we’re honored to have he… https://t.co/5eeVKNYm0A,,False,Sat Jan 27 19:58:52 +0000 2018,7,957342163305684992
52,Twitter Web Client,Hundreds of people participating in our democracy on a Friday night in Coon Rapids. Senate District 35 DFLers are e… https://t.co/TpOUcCJy0C,,False,Sat Mar 03 00:54:09 +0000 2018,8,969737661161332736
