favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
38,Twitter for iPhone,We cannot forget the years of cuts to public education that have forced a million Wisconsinites to raise their own… https://t.co/vpgSYDTUWU,,False,Wed Jan 24 23:11:25 +0000 2018,23,956303456125509632
8,Twitter for iPhone,.@ScottWalker has raised your taxes. https://t.co/P4Xutd790r,,False,Fri Jan 05 01:09:53 +0000 2018,4,949085510332448768
395,Twitter for iPhone,.@scottwalker is just another politician that puts himself before the people he’s elected to represent. It’s time f… https://t.co/hUyU4vd6Fd,,False,Sun Aug 26 17:15:49 +0000 2018,213,1033764968439705602
0,Twitter for iPhone,"@ScottWalker is touting a report that WI ended the year with a ""surplus."" The devil is in the details. What he didn… https://t.co/d91ES1qQ2r",ScottWalker,False,Thu Mar 08 15:52:44 +0000 2018,0,971775735529697281
74,Twitter Web Client,All Scott Walker has done is give vague promises that he would protect pre-existing conditions without saying how.,Tony4WI,False,Thu Sep 20 20:00:11 +0000 2018,26,1042866031000276993
110,Twitter Web Client,"Instead of giving billions of taxpayer dollars to a foreign corporation, my administration will increase support fo… https://t.co/ZppvYgiH2a",Tony4WI,False,Wed Sep 12 19:45:45 +0000 2018,65,1039963292687589376
21,Twitter for iPhone,"Yet, here we are with Walker promising over $4 billion in state funds to a Taiwanese manufacturer. 

I want to inve… https://t.co/CzrTPMXYGF",Tony4WI,False,Tue Jul 24 13:15:30 +0000 2018,8,1021745691847262208
8,Twitter for iPhone,Packed house for tonight’s @lacrossedems and @OurWisconsinRev Democratic candidate forum! https://t.co/AYHtTu4gkj,,False,Tue Nov 07 00:32:58 +0000 2017,3,927695338055634946
75,Twitter for iPhone,"Earlier this week, @ScottWalker called me ""pathetic"" for using language he found offensive in my DPW Convention Spe… https://t.co/cdOVljAbDB",,False,Wed Jun 06 13:00:21 +0000 2018,32,1004347261655142401
20,Twitter Web Client,"Hello -- this is Nathan Henry, Tony's campaign manager. I'm going to be taking over Tony's twitter account this mor… https://t.co/Umn3Nrvfwv",,False,Fri Jan 12 15:19:09 +0000 2018,5,951835948538646528
269,Twitter for iPhone,Waukesha is fired up to take our state back on Tuesday! #TourForChange https://t.co/pUIDd4HiKh,,False,Sun Nov 04 01:48:50 +0000 2018,84,1058898834632437760
234,Twitter Web Client,"Excessive flights on the taxpayer’s dime, rewards for political supporters, making it harder to vote — that’s Walke… https://t.co/B4vrqyOw5P",,False,Fri Oct 05 17:38:13 +0000 2018,155,1048266121378455557
7,Twitter for iPhone,There’s still time to vote! Take a minute and show your support for Tony! https://t.co/hTYIswucwH,,False,Sun Feb 18 19:27:14 +0000 2018,2,965306733114613760
484,Twitter for iPhone,"Packed room this morning in Milwaukee for @BernieSanders and Wisconsin Democrats! In every corner of the state, fol… https://t.co/GonfzhL0Pe",,False,Mon Oct 22 15:50:39 +0000 2018,191,1054399641721147400
9,Twitter Web Client,"When voters were asked ""which candidate do you think has the best chance of beating Scott Walker in November?"" Tony… https://t.co/9Mo697yWcg",Tony4WI,False,Fri Jan 12 15:47:08 +0000 2018,0,951842992838627329
23,Twitter for iPhone,"Unlike ⁦@ScottWalker⁩, at least ⁦@dominos⁩ has a plan to fix our roads! #SadButTrue  https://t.co/keBsOetl4x",,False,Tue Jun 12 12:48:06 +0000 2018,11,1006518504051404800
18,Twitter for iPhone,"“Over time, the budget cuts to public schools have accumulated. Between 2012 and 2019, the state provided $3.5 bill… https://t.co/yutPJGBrH7",,False,Tue Jul 03 14:08:32 +0000 2018,10,1014148893544714241
71,Twitter Web Client,"Enough broken promises, enough putting special interests and personal ambitions before the people of Wisconsin, and… https://t.co/zOQWdQ886E",Tony4WI,False,Sun Sep 09 18:50:44 +0000 2018,27,1038862285991804928
442,Twitter for iPhone,"I hear this from Wisconsin families everywhere I go. We must do better. As Governor, I will focus on expanding new… https://t.co/oi3oS4TzMI",,False,Thu Aug 30 13:57:00 +0000 2018,270,1035164485621829632
358,Twitter for iPhone,"What an incredible afternoon in Milwaukee with @BarackObama, @TammyBaldwin, and our Wisconsin Democratic ticket.

O… https://t.co/CJxJ76az7T",,False,Fri Oct 26 22:45:22 +0000 2018,123,1055953563220934658
50,Twitter for iPhone,"More election year stunts from @ScottWalker. 145 days until Election Day, not like he’s counting, right?

Our poore… https://t.co/XVJyV7oGr6",,False,Thu Jun 14 15:38:23 +0000 2018,24,1007286133951270913
31,Twitter for iPhone,"What Scott Walker is doing, isn't working. Our roads are some of the worst in the country. We must find a sustainab… https://t.co/ChzyLEZHsA",,False,Wed May 30 17:34:37 +0000 2018,16,1001879566640705537
14,Twitter for iPhone,"“It’s just another indication why people in this state believe it’s rigged. It’s rigged against me right now, I’ll… https://t.co/heUTtzgx01",,False,Mon Nov 27 14:06:13 +0000 2017,3,935147755399516160
22,Twitter Web Client,"""I thought Scott Walker would help me protect kids, but I was wrong"" - Ed Wall, Former Walker Department of Correct… https://t.co/eGlgUfeqfp",,False,Thu Jun 21 15:48:21 +0000 2018,12,1009825356210167809
7,Twitter for iPhone,"Aside from Betsy DeVos furthering the school privatization scheme, this proposal does nothing to help military-conn… https://t.co/HGNeqpGv4v",,False,Tue May 08 13:47:24 +0000 2018,4,993849853972303874
149,Twitter for iPhone,"Walker’s former transportation chief agrees: Walker hasn’t been honest about the state’s transportation.

We deserv… https://t.co/ryw2o77cCs",,False,Tue Sep 25 21:58:09 +0000 2018,92,1044707656492101632
42,Twitter Web App,"Ensuring every child has a quality public education, no matter their zip code, is what got Tony into the race for g… https://t.co/45KemuWMzt",,False,Sat Oct 20 01:14:25 +0000 2018,27,1053454357964951552
7,Twitter for iPhone,https://t.co/OleN8osYtf,,False,Mon Nov 27 15:05:34 +0000 2017,7,935162689357336576
5,Twitter for iPhone,"""One of the strengths we have as a state is these young people who have great stories to tell, from where they've l… https://t.co/Rpb0aqnYEH",,False,Sun Apr 15 16:12:38 +0000 2018,2,985551483134464001
19,Twitter for iPhone,I signed the @WIConservation Conservation Pledge! https://t.co/xHNBHabIs9,,False,Sat May 05 19:23:03 +0000 2018,7,992847156779388928
36,Twitter Web App,".@ScottWalker’s attacks on our health care don’t stop with pre-existing conditions.

In order to boost his own poli… https://t.co/OQnGex2YLk",Tony4WI,False,Mon Oct 29 18:31:39 +0000 2018,34,1056976877347373056
353,Twitter for iPhone,Waiting for results with my family... nothing better than a game of euchre to pass the time! https://t.co/CSd6ffXsAK,,False,Wed Aug 15 01:08:03 +0000 2018,38,1029535154996473856
21,Twitter for iPhone,If our kids safety was really a top priority @scottwalker would be here in Madison working to get it done. He’s not. https://t.co/nFhfgkuBHp,,False,Tue Mar 20 15:19:12 +0000 2018,10,976115950075432961
616,Twitter Web App,Tony just challenged @ScottWalker to pull out of the lawsuit that would end protections for pre-existing conditions… https://t.co/2dexa6VXhM,,False,Sat Oct 20 01:22:35 +0000 2018,306,1053456410279845888
15,Twitter for iPhone,Had a great meeting today with these members of JustLeadershipUSA and EXPO on important criminal justice reforms we… https://t.co/J1CrdgQWUG,,False,Wed May 16 21:03:58 +0000 2018,4,996858823389405184
251,Twitter for iPhone,From investing in our schools to ensuring everyone has access to health care — we’re running to create a Wisconsin… https://t.co/l68WBVbULH,,False,Fri Oct 12 20:08:22 +0000 2018,147,1050840623400521728
8,Twitter for iPhone,Today’s the day! Let’s collect those nomination paper signatures! https://t.co/lP8WwW3W8R,,False,Sun Apr 15 13:40:42 +0000 2018,1,985513244772233216
5,Twitter for iPhone,"This is disappointing. 

Now is the time for change and action.  https://t.co/XpObOF7gEG",,False,Fri Jul 13 20:26:31 +0000 2018,1,1017867894812762113
641,Twitter for iPhone,"What a crowd! Folks are fired up to vote early for Tony, Mandela, Tammy, and Democrats up and down the ballot.

Tha… https://t.co/E0cz2ylR03",,False,Sun Oct 21 23:01:59 +0000 2018,227,1054145805840510977
