,twitterHandle,numTweets
0,kayiveyforgov,188
0,mikedunleavygov,0
0,dougducey,2052
0,asahutchinson,648
0,gavinnewsom,763
0,jaredpolis,472
0,nedlamont,1331
0,rondesantisfl,784
0,briankempga,3436
0,govhawaii,1752
0,governorlittle,436
0,jbpritzker,1728
0,kimreynoldsia,961
0,laurakellyks,631
0,janetmillsforme,355
0,larryhogan,599
0,charliebakerma,214
0,gretchenwhitmer,1458
0,tim_walz,1109
0,stevesisolak,2375
0,rickettsforgov,130
0,chrissununu,265
0,michelle4nm,1188
0,andrewcuomo,598
0,ltcnmi,0
0,mikedewine,539
0,govstitt,584
0,katebrownforor,1690
0,wolfforpa,1189
0,govraimondo,585
0,henrymcmaster,528
0,kristinoem,566
0,billleetn,1016
0,gregabbott_tx,1074
0,phillscott4vt,0
0,albertbjr,139
0,tony4wi,1149
0,mark_gordon_wy,381
