,twitterHandle,sentiment
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,kayiveyforgov,neg
0,kayiveyforgov,neg
0,kayiveyforgov,pos
0,kayiveyforgov,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,pos
0,dougducey,neg
