favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
20,Gain App,I’m thanking all teachers for their dedication to Pennsylvania’s students. I will continue to keep our education sy… https://t.co/hSTs2I2ps4,,False,Tue May 08 19:18:00 +0000 2018,7,993933049934106625
17,Gain App,"Graduation rates are up, students are spending less time on standardized testing, and we’re expanding apprenticeshi… https://t.co/EKclUN3oQ7",,False,Fri Apr 13 13:07:31 +0000 2018,6,984780118424944640
25,Gain App,"Investments in mental health services, better security, and trainings are crucial to keeping classrooms across PA s… https://t.co/BsYpx7dpp0",,False,Fri Jul 06 14:25:52 +0000 2018,10,1015240417988808704
33,Gain App,I’m fighting to change Harrisburg to work better for every day Pennsylvanians → https://t.co/xJIlct1F9a,,False,Fri Mar 02 15:00:55 +0000 2018,14,969588366315573249
38,Gain App,"I will continue my commitment to helping PA'ians thrive from childhood to joining the workforce, growing their fami… https://t.co/zGY4usORZy",,False,Thu Jul 26 15:08:15 +0000 2018,20,1022498842506395649
84,Gain App,I am proud to take this latest step towards equality for our #LGBTQ community. I created the PA Commission on LGBTQ… https://t.co/NJsXIsVhq3,,False,Tue Aug 07 16:08:10 +0000 2018,34,1026862576112680961
20,Twitter Web Client,"Unfortunately, the Trump administration seems intent on impeding those suffering, including children and veterans,… https://t.co/73OqfrRvu9",,False,Thu Jan 04 19:29:18 +0000 2018,12,948999798828433410
24,Gain App,"The opioid crisis is devastating lives across the country. In Pennsylvania, we’re taking an all-hands-on-deck appro… https://t.co/6pNUXgpIYi",,False,Wed Mar 28 14:14:53 +0000 2018,10,978998867164311552
38,Gain App,"Since day one, I have been fighting for historic investments in education at all levels. Our children need us to fi… https://t.co/uC18M73oqn",,False,Wed Feb 07 13:20:36 +0000 2018,3,961228202684354562
46,Gain App,We must be doing more. That’s why I’m urging Congress to ban military style weapons that have been used to commit h… https://t.co/VfbgFKO9ht,,False,Sat Mar 24 14:10:36 +0000 2018,18,977548239539986437
60,Gain App,This is the choice we face: https://t.co/ZbQ5rNAZLs,,False,Fri Dec 15 13:20:56 +0000 2017,26,941659338430734337
39,Gain App,"Under Scott Wagner, a women’s right to choose is at risk. This is what we are up against in November. RT if you agr… https://t.co/9btFJDdxDy",,False,Thu Aug 09 14:15:53 +0000 2018,35,1027559091634352128
9,Gain App,Governor Wolf is our first line of defense against Republican extremists. Chip in now keep Governor Wolf fighting →… https://t.co/gGRcXHIFa8,,False,Tue Dec 19 17:30:31 +0000 2017,4,943171700925091843
9,Gain App,Medical marijuana is helping people and their communities. Read more ⇢ https://t.co/DEJ47ubCtZ,,False,Mon Feb 05 23:06:47 +0000 2018,4,960650943992909824
178,Gain App,We simply cannot afford to have people working full time in Pennsylvania who are working below the poverty line.,,False,Mon Jan 15 00:00:16 +0000 2018,45,952691869506592768
80,Gain App,"Pennsylvanians, get ready to vote! Find out where your polling place is located → https://t.co/ex0NlXDOno #PAVotesBlue",,False,Sun Nov 04 18:38:29 +0000 2018,48,1059152921953210373
151,Gain App,"This #WomensHistoryMonth, I promise to continue defending women's rights. https://t.co/ogkWfTpmyi",,False,Thu Mar 01 13:40:22 +0000 2018,53,969205709211619328
33,Twitter Web Client,"This #PrideMonth, stand with me and the LGBTQ community against discrimination and violence toward LGBTQ individual… https://t.co/R6l2bCtZfR",,False,Tue Jun 12 16:50:25 +0000 2018,6,1006579486782115840
263,Gain App,"✔️  Expanded Medicaid to 720,000 Pennsylvanians 
✔️  Re-authorized CHIP to help 176,000 children
✔️  Restored the $… https://t.co/t23uONMmbj",,False,Sat Dec 23 20:31:49 +0000 2017,90,944666879150444545
6,Twitter Web Client,"I’ve long advocated for unrigging the system and drawing fair maps that are representative of the people, not politics. (2/7)",WolfForPA,False,Fri Feb 23 15:30:56 +0000 2018,2,967059206925844480
12,Gain App,Experiencing workplace sexual harassment – whether it is verbal or physical – is never your fault. You have options… https://t.co/RSnON6UYUQ,,False,Sun Apr 08 22:05:55 +0000 2018,6,983103673206235136
37,Gain App,Happy #InternationalWomensDay! Today I’m grateful for organizations like @PPFA that fight to protect women’s rights… https://t.co/NOsSZ5rPne,,False,Thu Mar 08 14:00:31 +0000 2018,9,971747492722339840
10,Gain App,"#WolfPack, there is still time to get a special Wolf pup onesie and our new Wolfpack tee! Use code: LABORDAYSALE fo… https://t.co/AnQAVLTGpH",,False,Mon Sep 03 20:45:04 +0000 2018,1,1036716731547439105
7,Twitter Web Client,We need to continue working on every level to help people suffering from substance use disorder. https://t.co/VdJmrykeNz,,False,Tue Jan 09 17:56:45 +0000 2018,0,950788447639400449
86,Gain App,When we have a new map that’s fair we’re going to have a legislature that is fair and more representative of the pe… https://t.co/fArCpa9qwQ,,False,Sat Jan 27 15:15:39 +0000 2018,16,957270887157387264
44,Gain App,"Thanks to @FiveThirtyEight, you can learn more about gerrymandering and the effect it has on voting rights through… https://t.co/m0R10Zjgzt",,False,Mon Jan 29 13:20:28 +0000 2018,20,957966675680342016
333,Gain App,"It’s time to get Democrats up and down the ballot elected on November 6! 

↻ RT if you agree",,False,Wed Oct 31 18:23:23 +0000 2018,257,1057699569130262529
37,Gain App,↺ RT if you made a plan to vote on November 6! → https://t.co/aYlVRrEt9d #WolfForPA,,False,Fri Oct 26 17:18:00 +0000 2018,39,1055871177405751297
109,Gain App,"Same day voter registration, automatic voter registration, and modernizing absentee ballots. These are all commonse… https://t.co/RnsWM36R2n",,False,Mon Mar 26 16:05:24 +0000 2018,57,978301903397425152
22,Gain App,Happy Holidays! https://t.co/ZpncLlrbBj,,False,Sun Dec 24 23:00:44 +0000 2017,0,945066741536903169
13,Twitter Web Client,Proud to be here with @KeithEllison @womensmarchPA @maketheroadPA to support #DreamActNow https://t.co/ZKKxlrBoug,,False,Fri Jan 12 20:43:28 +0000 2018,7,951917567773429761
64,Twitter Web Client,"When I took office as Governor, I knew that I had to set a new tone here in Harrisburg. That’s why I banned anyone… https://t.co/HnvEyNVRys",,False,Tue Feb 06 16:56:35 +0000 2018,24,960920165318905856
26,Twitter Web Client,"Over the weekend, I had the honor of attending @conciliophilly’s annual Hispanic Fiesta, celebrating the culture an… https://t.co/WcC12vrlJO",,False,Tue Jul 10 17:26:35 +0000 2018,4,1016735449400913920
21,Twitter Web Client,"I had a great time trunk or treating with York County families on the #PAVotesBlue bus tour with @bob_casey,… https://t.co/UghYjUpnXI",,False,Thu Nov 01 16:16:31 +0000 2018,14,1058030033569230854
235,Gain App,Are you unable to go to the polls on #ElectionDay? @JohnFetterman and I want to remind you to submit your absentee… https://t.co/wmPR0ksz7u,,False,Wed Oct 17 17:05:10 +0000 2018,140,1052606455440990209
13,Gain App,Medical marijuana offers patients possibilities that were never there before. Hear this @wbrewyou story about a fat… https://t.co/tVPStczuoM,,False,Thu Apr 05 16:05:54 +0000 2018,7,981925909442842624
125,Gain App,"It has been more than three months since the tragedy in Parkland, Florida, yet state lawmakers have failed to pass… https://t.co/Wi9q5PwHdp",,False,Tue May 22 17:15:55 +0000 2018,48,998975759787143169
202,Gain App,The people of Pennsylvania are listening and they don't like what they hear. Scott Wagner's plans to gut education… https://t.co/UFSi6HEBZ1,,False,Thu Oct 04 15:32:02 +0000 2018,97,1047871978848342016
13,Gain App,The #PA18 Special Election is just one week away. RT to help support @ConorLambPA → https://t.co/2wzh0fx6g1,,False,Tue Mar 06 15:05:20 +0000 2018,12,971039030891687936
156,Gain App,I made a plan and voted today. Thank you to the many volunteers who are staffing polling locations across PA. There… https://t.co/Kf0DHGhHC9,,False,Tue May 15 23:00:22 +0000 2018,30,996525728509452288
7,Gain App,I talked with @905wesa about 3 things we can do here in Pennsylvania to prevent gun violence. Make sure to listen a… https://t.co/EDQ04Yhijf,,False,Thu Mar 08 21:45:16 +0000 2018,6,971864453854658561
100,Twitter Web Client,"Our Republican opponent and climate change denier, Scott Wagner, told a voter who asked him about climate change th… https://t.co/5mnqT7YbDg",,False,Fri Jul 20 20:53:50 +0000 2018,52,1020411484394983424
107,Gain App,Scott Wagner wants to tax seniors' retirements. PA can't afford someone like Wagner who would turn his back on thou… https://t.co/Sryko3IdA0,,False,Sat May 19 19:30:06 +0000 2018,74,997922361302188034
11,Twitter Web Client,The opioid crisis is an epidemic that we need to face now. That's why Gov. Wolf made it a priority of his administr… https://t.co/3Mp5qHuDji,,False,Thu Dec 21 19:05:24 +0000 2017,3,943920354170429441
47,Twitter Web Client,"Your dedication, rain or shine, is what will keep Pennsylvania moving forward! Thank you #WolfPack https://t.co/aj04zTmsSv",,False,Mon Sep 10 17:21:32 +0000 2018,20,1039202223035691008
43,Gain App,Thanks @GovInslee for supporting fair maps in PA! We’re putting an end to gerrymandering so we can bring the voice… https://t.co/ZUCr87SXdN,,False,Wed Feb 21 15:51:01 +0000 2018,15,966339486165561344
17,Gain App,"It’s Tom’s birthday on Friday! Will you help Frances, Katie &amp; Sarah with a special surprise from the Wolf Pack? Sig… https://t.co/KOPn9Nidmv",,False,Tue Nov 14 14:05:39 +0000 2017,4,930436569579782144
112,Twitter Web Client,This is an unprecedented and undemocratic attempt to retaliate against the judicial branch. The legislature should… https://t.co/OxLKrCscgW,,False,Wed Mar 21 16:32:39 +0000 2018,63,976496824033955840
11,Twitter Web Client,Our campaign just launched a NEW shop! Get our limited edition #PRIDE tee with discount code: WOLFSHOPLAUNCH and sh… https://t.co/iA6UYA7d5i,,False,Wed Jun 27 20:44:04 +0000 2018,5,1012074103413596160
114,Gain App,"Last week, I signed an executive order to #RaiseTheWage to $12/hr for thousands of hard working commonwealth employ… https://t.co/M3KhjOCDmJ",,False,Tue Jul 03 18:25:09 +0000 2018,53,1014213473591595013
39,Gain App,"The Republican legislature only has until February 9th to draw new maps. RT if you support free and fair maps now ↻ 
https://t.co/hOOtGNBoc6",,False,Wed Jan 31 16:35:11 +0000 2018,66,958740453440049152
170,Gain App,Congress can overturn the FCC’s decision to gut #NetNeutrality. RT if you want them to take action now ↻,,False,Sun Jan 28 23:40:52 +0000 2018,247,957760417991929856
263,Gain App,"Since taking office, I restored massive education cuts, stood with women who deserve to make their own health care… https://t.co/kPWoAlMlje",,False,Wed Aug 29 14:15:06 +0000 2018,87,1034806652640350208
78,Gain App,"#ICYMI I’m really looking forward to continuing my fight to change Harrisburg with @johnfetterman, but there’s one… https://t.co/evLeeYIF9p",,False,Sat Jun 23 15:45:38 +0000 2018,22,1010549451398811648
30,Twitter for iPhone,.@RepDwightEvans and I just visted voters near 52nd street in Philadelphia who are ready to get to the polls! Have… https://t.co/dIM1rhxVB7,,False,Tue Nov 06 13:41:30 +0000 2018,11,1059802959918350336
586,Gain App,"We’re so close to Election Day. 

Let’s do this.
#WolfForPA https://t.co/lC1nlpe5NS",,False,Sat Nov 03 14:20:35 +0000 2018,191,1058725634032238593
42,Twitter Web Client,"Today, I was joined by Senators @SenJudySchwank and Christine Tartaglione, and @RepSims to sign an executive order… https://t.co/qWS2xHoKlC",,False,Wed Jun 06 18:46:07 +0000 2018,13,1004434274811031553
38,Gain App,I will stand strongly against extreme and partisan gerrymandering. Let me tell you why → https://t.co/TqUmX2HXmC,,False,Thu Jan 25 14:40:15 +0000 2018,15,956537202225352704
46,Gain App,"Our budget includes increased funding for mental health services to help Pennsylvanians, including veterans with PT… https://t.co/RRIaxgXUOy",,False,Thu Feb 22 16:00:52 +0000 2018,11,966704349996077056
6,Twitter Web Client,"This will put more money in the pockets of nearly half a million hardworking Pennsylvanians, and help strengthen ou… https://t.co/rhnpLjlklb",,False,Wed Jan 17 16:51:24 +0000 2018,0,953671105457291268
82,Gain App,PA families of 2 earning minimum wage &amp; working full-time should not fall below the poverty line. It’s time to… https://t.co/9LqzqHzTch,,False,Mon Jun 18 19:29:43 +0000 2018,25,1008793902600605702
127,Gain App,Did you know Pennsylvania has a RECORD number of women running for office this year? Let's elect more women and pro… https://t.co/Pg2WAtmbP2,,False,Fri Oct 12 16:15:02 +0000 2018,64,1050781903350054913
14,Gain App,I'm putting your concerns and priorities first in 2018. Take our short survey now and help us make our new year pla… https://t.co/ernvxKL6Cu,,False,Fri Jan 12 01:05:08 +0000 2018,2,951621029239185408
33,Gain App,"When I arrived in Harrisburg, I found that special interests had an outsized influence on how things get done. This… https://t.co/JRHvNWqwKY",,False,Sun Feb 18 16:15:49 +0000 2018,11,965258563999412225
31,Gain App,My administration’s work to ensure that Pennsylvania families have access to quality health care has lowered our co… https://t.co/ZGzpJaDO22,,False,Fri Aug 17 15:45:08 +0000 2018,14,1030480655698808833
21,Gain App,The Republican-controlled legislature recessed for the summer without taking action on common sense gun reforms lik… https://t.co/aKrZysAtre,,False,Fri Jul 13 14:52:54 +0000 2018,7,1017783937110855681
29,Gain App,Experiencing problems at the polls or have a quick #ElectionDay question? The #WolfPack team is here to help. Tweet… https://t.co/C6rDyTsJ61,,False,Tue Nov 06 15:30:09 +0000 2018,22,1059830302674223105
